FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-09 00:00:00.000000,0.00093460,0.00739820,0.01667048,1,8,18,0,2,9,0.00027068,0.00269152,0.00856998,0.47527294,0.64168654,0.91990913
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-10 00:00:00.000000,0.00133539,0.00796288,0.01871371,1,8,20,0,3,11,0.00044371,0.00336467,0.01069805,0.47527280,0.64168523,0.91990913
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-11 00:00:00.000000,0.00182692,0.00955261,0.02087573,1,10,22,0,4,12,0.00066323,0.00415248,0.01187761,0.47527239,0.64168225,0.91990913
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-12 00:00:00.000000,0.00235433,0.01100641,0.02311624,2,11,25,0,5,14,0.00089870,0.00494219,0.01291381,0.47527114,0.64167546,0.91990913
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-13 00:00:00.000000,0.00291283,0.01269715,0.02549844,3,13,27,1,6,14,0.00114843,0.00565821,0.01363109,0.47526742,0.64166002,0.91990913
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-14 00:00:00.000000,0.00350524,0.01444755,0.02946358,3,15,32,1,7,15,0.00141402,0.00644355,0.01444845,0.47525628,0.64162489,0.91990913
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-15 00:00:00.000000,0.00414197,0.01617978,0.03320781,4,17,36,1,8,16,0.00169798,0.00740409,0.01528706,0.47522301,0.64154510,0.91990913
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-16 00:00:00.000000,0.00520264,0.01867978,0.03529392,5,20,38,2,9,19,0.00200291,0.00831085,0.01748534,0.47173681,0.63718869,0.91990913
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-17 00:00:00.000000,0.00631703,0.02101909,0.04021634,6,22,43,2,10,20,0.00235600,0.00974119,0.01849936,0.46454420,0.63703348,0.91990911
17099,0,USIllinoisLaSalle,Illinois,LaSalle,2020-09-29 08:43:01.871196,2020-03-18 00:00:00.000000,0.00754877,0.02294962,0.04569640,8,24,49,2,11,22,0.00274143,0.01100232,0.02078161,0.46241010,0.63258318,0.92064471
