FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-09 00:00:00.000000,0.00150027,0.02171935,0.06548702,0,6,18,0,2,7,0.00026769,0.00768240,0.02568274,0.46750980,0.63695390,0.85851254
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-10 00:00:00.000000,0.00084391,0.01634216,0.05667310,0,4,16,0,2,6,0.00035900,0.00846344,0.02307403,0.46752188,0.63684600,0.85851228
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-11 00:00:00.000000,0.00087580,0.01610926,0.05211082,0,4,14,0,1,5,0.00034426,0.00686693,0.02058208,0.46754033,0.63662506,0.85851135
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-12 00:00:00.000000,0.00086312,0.01369967,0.04776883,0,3,13,0,1,5,0.00032795,0.00637281,0.01805529,0.46756877,0.63617363,0.85850791
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-13 00:00:00.000000,0.00085185,0.01252436,0.04378341,0,3,12,0,1,4,0.00027609,0.00568846,0.01581539,0.46761311,0.63525566,0.85849525
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-14 00:00:00.000000,0.00073885,0.01148134,0.04012432,0,3,11,0,1,4,0.00023185,0.00520756,0.01511203,0.46768331,0.63340730,0.85844855
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-15 00:00:00.000000,0.00062102,0.01057104,0.03676557,0,3,10,0,1,4,0.00019440,0.00466736,0.01457167,0.46779666,0.63322772,0.85827629
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-16 00:00:00.000000,0.00368879,0.01324092,0.04280479,1,3,12,0,1,3,0.00017702,0.00409541,0.01348464,0.46798419,0.63295468,0.85764212
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-17 00:00:00.000000,0.00546400,0.01484730,0.05055886,1,4,14,0,1,4,0.00144670,0.00649312,0.01740068,0.46830386,0.63174386,0.85507695
17135,0,USIllinoisMontgomery,Illinois,Montgomery,2020-08-31 19:36:41.184968,2020-03-18 00:00:00.000000,0.00773547,0.01905903,0.05810116,2,5,16,0,2,5,0.00227878,0.00726716,0.02006052,0.46704628,0.62874352,0.79941135
