FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-09 00:00:00.000000,0.01334484,0.09045261,0.23526255,1,7,20,0,1,4,0.00235690,0.01385380,0.04898907,0.49993114,0.72196555,1.14633345
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-10 00:00:00.000000,0.01230393,0.05592724,0.18124903,1,4,15,0,1,4,0.00215133,0.01286098,0.04743275,0.49993879,0.72196574,1.14631180
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-11 00:00:00.000000,0.01076553,0.05105406,0.15822555,0,4,13,0,1,3,0.00207257,0.01199891,0.04012033,0.49995421,0.72196624,1.14626819
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-12 00:00:00.000000,0.00978103,0.04715635,0.16190593,0,4,14,0,0,3,0.00198754,0.01034228,0.03470446,0.49998566,0.72196757,1.14618005
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-13 00:00:00.000000,0.00895074,0.04223179,0.15081875,0,3,13,0,0,2,0.00186618,0.00879689,0.03198261,0.50005048,0.72197105,1.14600139
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-14 00:00:00.000000,0.00865505,0.03771008,0.14052004,0,3,12,0,0,2,0.00179681,0.00802208,0.03017561,0.50018540,0.72198016,1.14563799
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-15 00:00:00.000000,0.00839273,0.03559221,0.13082899,0,3,11,0,0,2,0.00164218,0.00695696,0.02897475,0.50046746,0.72200384,1.14489646
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-16 00:00:00.000000,0.01690712,0.05183075,0.16088433,1,4,14,0,0,2,0.00148552,0.00640109,0.02889952,0.50104992,0.72206519,1.14745139
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-17 00:00:00.000000,0.02437666,0.06865993,0.20861710,2,6,18,0,0,2,0.00295447,0.01133768,0.03046002,0.51328392,0.71905779,1.15419756
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-18 00:00:00.000000,0.02686218,0.08999208,0.22608967,2,7,19,0,1,3,0.00439171,0.01362735,0.03661816,0.52458865,0.73302385,1.15441588
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-19 00:00:00.000000,0.03043358,0.10455523,0.24152218,2,9,21,0,1,3,0.00542907,0.01596165,0.04063158,0.51499042,0.72595172,1.15768004
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-20 00:00:00.000000,0.03531919,0.12128613,0.25679624,3,10,22,0,1,4,0.00641613,0.01794756,0.04685205,0.50945323,0.71395963,1.16809393
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-21 00:00:00.000000,0.03942262,0.13507168,0.28263665,3,11,24,0,1,4,0.00715748,0.02061566,0.05326960,0.48214492,0.69179833,1.18251329
18007,0,USIndianaBenton,Indiana,Benton,2020-09-29 08:13:43.803478,2020-03-22 00:00:00.000000,0.04286486,0.14722923,0.31832222,3,12,27,0,2,5,0.00739012,0.02356623,0.05981947,0.46270366,0.69260693,1.19219802
