FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-09 00:00:00.000000,0.00527230,0.02211154,0.06800792,1,7,22,0,2,8,0.00119857,0.00772302,0.02453984,0.50105216,0.75577597,1.05299829
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-10 00:00:00.000000,0.00440556,0.02036534,0.06882774,1,6,23,0,2,7,0.00126333,0.00722313,0.02342098,0.50105216,0.75553096,1.05300068
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-11 00:00:00.000000,0.00462944,0.02133064,0.07134239,1,7,23,0,2,8,0.00152726,0.00714610,0.02497912,0.50105216,0.75510768,1.05300971
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-12 00:00:00.000000,0.00491789,0.02222205,0.07265650,1,7,24,0,2,8,0.00156288,0.00745530,0.02513413,0.50105216,0.75438200,1.05303870
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-13 00:00:00.000000,0.00523548,0.02375403,0.07424380,1,7,24,0,2,8,0.00155959,0.00756883,0.02561058,0.50105215,0.75315444,1.05312562
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-14 00:00:00.000000,0.00532656,0.02446544,0.07600522,1,8,25,0,2,8,0.00155409,0.00769404,0.02623522,0.50105213,0.75112438,1.05337695
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-15 00:00:00.000000,0.00523181,0.02508985,0.07788826,1,8,26,0,2,9,0.00154701,0.00793596,0.02725475,0.50105743,0.74788982,1.05408847
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-16 00:00:00.000000,0.01144201,0.03223536,0.08735909,3,10,29,0,2,9,0.00154000,0.00805043,0.02933630,0.50113772,0.74409385,1.05607224
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-17 00:00:00.000000,0.01508128,0.03968754,0.09868674,5,13,33,0,3,11,0.00268851,0.00971774,0.03515599,0.50282851,0.74382504,1.06151098
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-18 00:00:00.000000,0.01883037,0.04632880,0.11670946,6,15,39,1,3,12,0.00377056,0.01120301,0.03842756,0.50383781,0.73879689,1.07597480
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-19 00:00:00.000000,0.02106676,0.05443893,0.13752045,7,18,46,1,4,14,0.00487734,0.01359755,0.04197785,0.49334689,0.71398290,1.11183149
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-20 00:00:00.000000,0.02301887,0.06285138,0.15936079,7,21,53,2,5,15,0.00617084,0.01501779,0.04737737,0.47011726,0.70022468,1.11694190
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-21 00:00:00.000000,0.02462299,0.07021585,0.18175924,8,23,61,2,5,18,0.00753811,0.01718489,0.05396570,0.45912700,0.68595024,1.09602883
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-22 00:00:00.000000,0.02654518,0.07798598,0.20399165,8,26,68,2,6,20,0.00846010,0.01966246,0.05963096,0.44688649,0.67268216,1.11237975
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-23 00:00:00.000000,0.03184118,0.08624536,0.22131827,10,28,74,3,7,22,0.00949083,0.02177617,0.06564523,0.44562963,0.65242851,1.11449839
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-24 00:00:00.000000,0.03729112,0.09543752,0.23843222,12,32,80,3,8,24,0.01061936,0.02404829,0.07159290,0.41378914,0.64943158,1.10923045
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-25 00:00:00.000000,0.04191506,0.10359442,0.25524433,14,34,85,4,9,25,0.01225146,0.02705637,0.07667915,0.42773645,0.64871949,1.10451479
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-26 00:00:00.000000,0.04253390,0.11266075,0.27174191,14,37,91,4,10,28,0.01291777,0.03039612,0.08342958,0.40537959,0.64927080,1.14072559
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-27 00:00:00.000000,0.04281935,0.12117773,0.28617733,14,40,96,4,10,30,0.01386826,0.03251589,0.09101212,0.39432979,0.63770718,1.19551322
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-28 00:00:00.000000,0.04597580,0.13041537,0.31164324,15,43,104,4,11,33,0.01416029,0.03533108,0.09907707,0.39099103,0.64896107,1.25458076
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-29 00:00:00.000000,0.04539458,0.13970563,0.33319674,15,46,111,4,13,36,0.01477117,0.03906880,0.10739731,0.39047171,0.62712278,1.29708664
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-30 00:00:00.000000,0.04686551,0.15052954,0.35189581,15,50,118,5,14,38,0.01535039,0.04221631,0.11566430,0.39036113,0.61601827,1.31344507
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-03-31 00:00:00.000000,0.05098795,0.15917874,0.37152899,17,53,124,5,15,41,0.01699543,0.04532944,0.12313073,0.38835073,0.61786660,1.30240359
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-01 00:00:00.000000,0.05529075,0.16798797,0.39215116,18,56,131,6,16,43,0.01866600,0.04893872,0.12995878,0.36945466,0.61012676,1.26225084
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-02 00:00:00.000000,0.05911944,0.17869146,0.41383527,19,59,138,6,17,45,0.01965849,0.05076719,0.13636210,0.34244452,0.60625902,1.19309267
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-03 00:00:00.000000,0.06245557,0.18647465,0.43672172,20,62,146,6,17,47,0.02033262,0.05321681,0.14204619,0.34228651,0.60226476,1.10814960
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-04 00:00:00.000000,0.06303753,0.19680594,0.46089132,21,66,154,7,18,50,0.02098429,0.05623537,0.14962654,0.34189895,0.59848890,1.06214197
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-05 00:00:00.000000,0.05996799,0.20266781,0.47882056,20,68,160,6,19,53,0.02052434,0.05950336,0.15847401,0.32377378,0.58230313,1.06926918
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-06 00:00:00.000000,0.06137604,0.22201860,0.49277503,20,74,165,6,21,56,0.02006765,0.06293604,0.16731527,0.31244565,0.58038457,1.04379072
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-07 00:00:00.000000,0.07564143,0.23741193,0.50703254,25,79,170,6,22,60,0.02031803,0.06639802,0.17944042,0.30349461,0.57594791,1.01335163
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-08 00:00:00.000000,0.07530035,0.25222736,0.52218539,25,84,175,6,23,64,0.02022192,0.07067640,0.19194844,0.28710162,0.57899457,1.00014305
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-09 00:00:00.000000,0.07478798,0.26236410,0.53980194,25,88,181,6,24,68,0.02011366,0.07331815,0.20375143,0.28771870,0.58227226,0.97041430
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-10 00:00:00.000000,0.07408844,0.27002201,0.58713161,24,90,197,6,25,69,0.02004287,0.07616344,0.20749506,0.28439877,0.57183436,0.98487606
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-11 00:00:00.000000,0.07311842,0.28025565,0.61957497,24,94,207,6,26,73,0.02004505,0.07972457,0.21878329,0.25635782,0.56699730,0.93826499
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-12 00:00:00.000000,0.07179261,0.28749407,0.63651987,24,96,213,6,27,76,0.02004347,0.08312311,0.22886682,0.24516652,0.55904499,0.92899411
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-13 00:00:00.000000,0.07621006,0.29767437,0.64890636,25,99,217,6,28,81,0.02003821,0.08404088,0.24187299,0.24180302,0.53310185,0.92385636
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-14 00:00:00.000000,0.08809912,0.30605980,0.66595988,29,102,223,8,28,86,0.02552138,0.08530696,0.25866348,0.24038691,0.51730070,0.91673704
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-15 00:00:00.000000,0.08628835,0.31495011,0.69429198,28,105,233,9,29,90,0.02867898,0.08695371,0.26957091,0.23740195,0.50866121,0.91411242
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-16 00:00:00.000000,0.09771516,0.32667168,0.72348250,32,109,242,10,30,94,0.03077328,0.08960246,0.28096966,0.22929896,0.49813746,0.91311694
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-17 00:00:00.000000,0.11334896,0.33463330,0.75324352,38,112,252,10,30,98,0.03033311,0.09231950,0.29282980,0.21279521,0.49352496,0.90837956
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-18 00:00:00.000000,0.12775207,0.34535024,0.78300810,42,115,262,10,32,102,0.03044203,0.09683673,0.30524270,0.19821287,0.48871131,0.88533919
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-19 00:00:00.000000,0.14134146,0.35401053,0.81195400,47,118,272,11,33,109,0.03410496,0.10089250,0.32578682,0.18608811,0.48318797,0.84661922
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-20 00:00:00.000000,0.15604119,0.36336728,0.84115269,52,121,282,12,34,116,0.03758483,0.10396937,0.34724523,0.18302660,0.47088679,0.81188291
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-21 00:00:00.000000,0.16774311,0.37068977,0.86753907,56,124,291,13,36,124,0.04144108,0.10818198,0.36970284,0.18229360,0.45255519,0.79252108
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-22 00:00:00.000000,0.16479737,0.37511218,0.89130819,55,125,299,15,37,131,0.04508586,0.11254668,0.39311538,0.18196637,0.43644833,0.78965848
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-23 00:00:00.000000,0.16156069,0.37961255,0.91326255,54,127,306,15,38,140,0.04764422,0.11592268,0.41734135,0.17292486,0.43031272,0.77707512
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-24 00:00:00.000000,0.17427946,0.38903418,0.93417329,58,130,313,16,39,148,0.04873362,0.11807449,0.44157471,0.15724370,0.43043104,0.77804722
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-25 00:00:00.000000,0.18517724,0.40267206,0.95315818,62,135,319,16,41,155,0.04981807,0.12258515,0.46323346,0.14742388,0.41484246,0.77418846
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-26 00:00:00.000000,0.19462845,0.40836827,0.96081120,65,137,322,17,41,161,0.05089882,0.12464132,0.48046596,0.14354535,0.40372354,0.74965093
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-27 00:00:00.000000,0.17993820,0.40858978,0.97856200,60,137,328,17,42,165,0.05186988,0.12690007,0.49399612,0.14130411,0.39638873,0.69344738
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-28 00:00:00.000000,0.16352220,0.40851609,0.99584417,54,137,334,17,43,169,0.05111930,0.12892484,0.50433329,0.14017672,0.38086835,0.65422449
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-29 00:00:00.000000,0.14349527,0.40384556,1.01297500,48,135,339,16,43,172,0.04911700,0.12985519,0.51261309,0.13968743,0.36367711,0.61659146
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-04-30 00:00:00.000000,0.13466006,0.39947310,1.02973783,45,134,345,15,43,174,0.04671044,0.12973453,0.51954762,0.13947933,0.35439342,0.61523603
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-01 00:00:00.000000,0.13190700,0.39368751,1.04543743,44,132,350,14,42,176,0.04246074,0.12671067,0.52552960,0.13860911,0.35049576,0.61237434
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-02 00:00:00.000000,0.12544895,0.37928761,1.05917841,42,127,355,13,41,178,0.03970047,0.12482783,0.53066637,0.13335088,0.33650693,0.58718502
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-03 00:00:00.000000,0.11486927,0.36388794,1.07092942,38,122,359,13,40,179,0.03881408,0.12204012,0.53478982,0.12992811,0.32491257,0.55677233
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-04 00:00:00.000000,0.10438598,0.34704598,1.07567593,35,116,361,12,40,180,0.03765620,0.12085010,0.53765828,0.12991888,0.31933048,0.55108352
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-05 00:00:00.000000,0.09529863,0.33267593,1.08000974,31,111,362,12,40,180,0.03656269,0.11962012,0.53903096,0.12627686,0.32079134,0.55654930
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-06 00:00:00.000000,0.08722809,0.33052941,1.08499663,29,110,364,11,39,180,0.03528475,0.11761646,0.53923501,0.12991010,0.31372642,0.55636035
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-07 00:00:00.000000,0.08058243,0.32894959,1.09503685,27,110,367,11,37,180,0.03377453,0.11310588,0.53861022,0.13117727,0.31646989,0.55576654
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-08 00:00:00.000000,0.07512855,0.32472773,1.11099252,25,108,372,10,36,180,0.03072531,0.10826960,0.53729373,0.13560417,0.31654246,0.55360628
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-09 00:00:00.000000,0.06981449,0.31262016,1.12806916,23,104,378,9,35,179,0.02736528,0.10553488,0.53547133,0.13508956,0.31759371,0.56886513
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-10 00:00:00.000000,0.06296406,0.30087885,1.14511930,21,100,384,8,35,179,0.02669691,0.10495729,0.53337696,0.13460098,0.32480099,0.59097163
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-11 00:00:00.000000,0.06706420,0.29559938,1.15965096,22,99,389,8,35,178,0.02619095,0.10429354,0.53103711,0.13212161,0.33067656,0.59805587
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-12 00:00:00.000000,0.06763432,0.29210479,1.17406690,22,98,394,8,34,177,0.02563237,0.10253174,0.52806259,0.13039244,0.32992890,0.61456477
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-13 00:00:00.000000,0.07134174,0.28955986,1.18788044,23,97,398,9,33,175,0.02773514,0.10071177,0.52437010,0.13358204,0.32867852,0.61441698
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-14 00:00:00.000000,0.07582186,0.29059935,1.19993981,25,97,402,9,33,174,0.02823070,0.09909759,0.52002947,0.13462593,0.32475640,0.59567288
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-15 00:00:00.000000,0.08095132,0.28971987,1.20799134,27,97,405,9,32,172,0.02864249,0.09754739,0.51523069,0.13622008,0.32993718,0.57089156
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-16 00:00:00.000000,0.08650255,0.29031627,1.20972550,29,97,406,9,31,171,0.02954182,0.09485345,0.51015110,0.13980971,0.34132742,0.59468187
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-17 00:00:00.000000,0.09210038,0.29046218,1.20535305,30,97,404,10,31,169,0.03065809,0.09345394,0.50492164,0.14495374,0.34220908,0.58178049
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-18 00:00:00.000000,0.10166638,0.28835251,1.19838085,34,96,402,10,31,167,0.03041896,0.09258246,0.49963533,0.14976428,0.33449530,0.57719027
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-19 00:00:00.000000,0.10999643,0.28559632,1.18892611,36,95,399,10,30,165,0.03267893,0.09163759,0.49404933,0.15224244,0.32736336,0.57965555
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-20 00:00:00.000000,0.10508166,0.28195299,1.17757372,35,94,395,10,30,163,0.03240105,0.09106676,0.48834900,0.15323556,0.32801899,0.61065494
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-21 00:00:00.000000,0.10106556,0.27582971,1.16451782,33,92,390,10,30,162,0.03123968,0.08968438,0.48269004,0.15359850,0.32863219,0.61574726
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-22 00:00:00.000000,0.10539514,0.27274107,1.15000211,35,91,385,10,29,160,0.03017957,0.08796428,0.47723304,0.15376466,0.32822416,0.61781510
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-23 00:00:00.000000,0.11134549,0.26794377,1.13440255,37,89,380,9,29,158,0.02974678,0.08784955,0.47216056,0.15394516,0.32750542,0.61264522
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-24 00:00:00.000000,0.11076305,0.26549435,1.11813254,37,89,375,9,29,156,0.02962859,0.08861956,0.46765485,0.16132482,0.32772042,0.60291576
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-25 00:00:00.000000,0.10877186,0.25882953,1.10364933,36,86,370,9,29,155,0.02955937,0.08935263,0.46383504,0.15935160,0.32735701,0.59521967
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-26 00:00:00.000000,0.10649943,0.25255020,1.08913974,35,84,365,9,29,155,0.02916007,0.08877438,0.46278128,0.15865736,0.32581191,0.59499448
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-27 00:00:00.000000,0.09888140,0.24703689,1.07482453,33,82,360,9,29,155,0.02876217,0.08760540,0.46362223,0.15890943,0.32481891,0.58946345
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-28 00:00:00.000000,0.09099188,0.24460576,1.06081218,30,82,356,9,28,156,0.02846024,0.08613502,0.46573766,0.15983593,0.32298371,0.59613532
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-29 00:00:00.000000,0.08419740,0.24595639,1.04721163,28,82,351,9,28,157,0.02828896,0.08467222,0.46868519,0.16116308,0.32042320,0.59937152
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-30 00:00:00.000000,0.07828168,0.24988991,1.03408594,26,83,347,9,28,158,0.02797190,0.08365018,0.47207840,0.16268277,0.31915706,0.59901451
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-05-31 00:00:00.000000,0.07310043,0.25375066,1.02146829,24,85,342,8,28,159,0.02606244,0.08452077,0.47504284,0.16438879,0.32507668,0.59876135
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-06-01 00:00:00.000000,0.06912909,0.25526040,1.01270954,23,85,339,8,28,160,0.02438043,0.08489921,0.47679770,0.16631957,0.33095464,0.62739314
18073,0,USIndianaJasper,Indiana,Jasper,2020-09-22 16:48:57.962253,2020-06-02 00:00:00.000000,0.06910668,0.25654042,1.00452094,23,86,337,7,28,159,0.02317406,0.08420388,0.47473040,0.16051023,0.33130145,0.69879838
