FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-09 00:00:00.000000,0.01771978,0.05241501,0.11305544,3,10,23,0,3,12,0.00368093,0.01536891,0.06030494,0.47723024,0.64171234,0.86454121
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-10 00:00:00.000000,0.02294414,0.05834988,0.12060817,4,12,25,1,3,12,0.00860771,0.01762276,0.05960441,0.47723018,0.64171023,0.86436616
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-11 00:00:00.000000,0.02769004,0.06713652,0.13337221,5,13,27,2,4,13,0.01034839,0.02217241,0.06506862,0.47723003,0.64170563,0.86398951
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-12 00:00:00.000000,0.03082420,0.07683983,0.16338492,6,15,33,2,5,13,0.01122342,0.02545739,0.06695595,0.47722967,0.64169549,0.86317927
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-13 00:00:00.000000,0.03104098,0.08320365,0.16827350,6,17,34,2,5,15,0.01107206,0.02795923,0.07428670,0.47722877,0.64167292,0.86143540
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-14 00:00:00.000000,0.03142343,0.08678785,0.19086590,6,18,39,2,6,16,0.01094803,0.03049339,0.08086713,0.47132260,0.64162228,0.85767019
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-15 00:00:00.000000,0.03092747,0.09431989,0.21437125,6,19,44,2,6,17,0.01137995,0.03323788,0.08519390,0.47117998,0.64150810,0.84952078
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-16 00:00:00.000000,0.03636541,0.10676700,0.24079606,7,22,50,2,7,18,0.01177893,0.03545308,0.08962351,0.47111441,0.64125137,0.83486810
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-17 00:00:00.000000,0.04177147,0.12368441,0.26642124,8,25,55,2,8,19,0.01389158,0.04145295,0.09436528,0.47099056,0.63871931,0.80930710
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-18 00:00:00.000000,0.04475892,0.13532567,0.29265247,9,28,60,3,9,21,0.01571394,0.04539949,0.10565950,0.47075738,0.63440134,0.79024132
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-19 00:00:00.000000,0.04779121,0.14430191,0.30222935,9,30,62,3,10,22,0.01683984,0.04927787,0.10904673,0.46056586,0.62077362,0.78273013
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-20 00:00:00.000000,0.05139167,0.15377578,0.33185749,10,31,69,3,10,24,0.01785325,0.05178106,0.11548796,0.43948850,0.61343514,0.77877451
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-21 00:00:00.000000,0.05203503,0.16053580,0.36605551,10,33,76,3,11,25,0.01875033,0.05424574,0.12438536,0.41730254,0.59789508,0.77208039
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-22 00:00:00.000000,0.05230215,0.16649399,0.39004801,10,34,81,4,11,29,0.01954242,0.05670042,0.14113063,0.41205796,0.57129374,0.77629598
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-23 00:00:00.000000,0.05861277,0.17056474,0.39395748,12,35,81,4,12,32,0.02024403,0.05944900,0.15833206,0.40298359,0.55687890,0.79876563
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-24 00:00:00.000000,0.06668292,0.17805092,0.41685910,13,37,86,4,13,33,0.02123332,0.06507645,0.15962514,0.39833682,0.53765387,0.79489831
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-25 00:00:00.000000,0.08190855,0.19596151,0.41912217,17,40,87,4,13,31,0.02215830,0.06434956,0.15235794,0.35324050,0.53074718,0.78906989
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-26 00:00:00.000000,0.08742309,0.19272225,0.40724877,18,40,84,5,14,32,0.02418913,0.06759480,0.15549874,0.32947841,0.51278841,0.76571374
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-27 00:00:00.000000,0.08798057,0.20002096,0.41443906,18,41,86,5,14,34,0.02609338,0.07148951,0.16419487,0.32511259,0.49919085,0.74176421
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-28 00:00:00.000000,0.08538643,0.20497180,0.43954078,17,42,91,5,15,35,0.02772280,0.07615834,0.17234982,0.31610803,0.49107357,0.73880617
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-29 00:00:00.000000,0.08378579,0.20744541,0.43573087,17,43,90,5,15,37,0.02610801,0.07504974,0.18130859,0.29956710,0.47270042,0.71840815
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-30 00:00:00.000000,0.08460788,0.20502044,0.43567348,17,42,90,5,16,39,0.02596752,0.07698070,0.19018250,0.27887710,0.46055273,0.71487859
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-03-31 00:00:00.000000,0.08038456,0.20026674,0.44368781,16,41,92,5,15,38,0.02478013,0.07522141,0.18745537,0.26813372,0.45453864,0.71059752
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-04-01 00:00:00.000000,0.07955042,0.19236237,0.43655113,16,40,90,4,15,38,0.02392937,0.07309260,0.18576225,0.26351237,0.44632314,0.68928858
18119,0,USIndianaOwen,Indiana,Owen,2020-08-21 18:35:57.918206,2020-04-02 00:00:00.000000,0.07845596,0.19124260,0.43678696,16,39,90,4,15,38,0.02349451,0.07345843,0.18421278,0.26034650,0.42426720,0.67613325
