FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-09 00:00:00.000000,0.01329985,0.05023457,0.13684340,2,8,23,0,2,6,0.00266421,0.01369405,0.03735272,0.44095238,0.67435017,0.92010120
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-10 00:00:00.000000,0.00857302,0.04195174,0.12201073,1,7,20,0,2,6,0.00330872,0.01246195,0.03662428,0.44095238,0.67430529,0.91861924
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-11 00:00:00.000000,0.00883264,0.04218723,0.12279356,1,7,20,0,1,6,0.00314063,0.01105113,0.03677629,0.44095239,0.67420873,0.91648377
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-12 00:00:00.000000,0.00862254,0.04060113,0.12349786,1,6,20,0,1,6,0.00303590,0.01001227,0.03748546,0.44095242,0.67400148,0.91477727
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-13 00:00:00.000000,0.00794938,0.04090494,0.12387242,1,6,20,0,1,6,0.00285677,0.00951562,0.03835328,0.44095255,0.67355850,0.91436316
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-14 00:00:00.000000,0.00708968,0.04004919,0.12406559,1,6,21,0,1,6,0.00268432,0.00914449,0.03882679,0.44095308,0.67261891,0.91309098
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-15 00:00:00.000000,0.00660086,0.03929167,0.12412209,1,6,21,0,1,6,0.00252151,0.00886647,0.03952960,0.44095534,0.66880156,0.90898832
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-16 00:00:00.000000,0.01174366,0.05100277,0.13550131,1,8,22,0,1,6,0.00236856,0.00868301,0.04058410,0.44096651,0.66663124,0.89609536
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-17 00:00:00.000000,0.01685721,0.05975798,0.13965617,2,10,23,0,1,7,0.00386433,0.00988633,0.04332948,0.44104073,0.66635315,0.86634087
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-18 00:00:00.000000,0.02108052,0.07004351,0.15916799,3,11,26,0,2,8,0.00522968,0.01253457,0.04814336,0.45053291,0.65952265,0.86644997
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-19 00:00:00.000000,0.02212007,0.07873657,0.18682456,3,13,31,1,2,9,0.00599448,0.01518960,0.05903456,0.44175707,0.64833867,0.86656430
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-20 00:00:00.000000,0.02515510,0.08551239,0.21979326,4,14,37,1,2,11,0.00673318,0.01760355,0.06785845,0.43758845,0.63477158,0.86625297
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-21 00:00:00.000000,0.02653902,0.09195491,0.24613214,4,15,41,1,3,12,0.00656548,0.02017676,0.07402473,0.42859588,0.61967766,0.85677134
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-22 00:00:00.000000,0.02760634,0.09903130,0.26230104,4,16,44,1,3,13,0.00641074,0.02150354,0.07964632,0.42469766,0.60140515,0.84081443
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-23 00:00:00.000000,0.03539083,0.11237106,0.26465379,5,19,44,1,3,14,0.00626778,0.02356139,0.08476437,0.41912431,0.59632860,0.83620567
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-24 00:00:00.000000,0.04221439,0.12117944,0.28695712,7,20,48,1,4,15,0.00921262,0.02731420,0.09053667,0.40432911,0.57840904,0.83758932
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-25 00:00:00.000000,0.05123026,0.13592652,0.30633639,8,23,51,1,4,16,0.00970388,0.02938602,0.09651206,0.37430829,0.57473802,0.82672611
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-26 00:00:00.000000,0.05853876,0.14044983,0.34242223,9,23,57,1,5,17,0.01015697,0.03290935,0.10253572,0.36429218,0.57343874,0.82644662
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-27 00:00:00.000000,0.06330527,0.14913987,0.38191196,10,25,64,1,5,18,0.01053306,0.03533705,0.10902730,0.35184208,0.56259647,0.80615407
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-28 00:00:00.000000,0.06384023,0.15847794,0.41606096,10,26,70,1,6,19,0.01112838,0.03577784,0.11601459,0.33739406,0.54553924,0.76457498
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-29 00:00:00.000000,0.06371701,0.16597062,0.42993081,10,28,72,2,6,20,0.01238057,0.03657332,0.12290073,0.32684217,0.54124274,0.75413960
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-30 00:00:00.000000,0.06975430,0.18008234,0.43617316,11,30,73,2,6,21,0.01352609,0.03714438,0.12966584,0.30510800,0.54004738,0.75240254
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-03-31 00:00:00.000000,0.08342775,0.19367622,0.44194144,14,32,74,2,7,22,0.01614196,0.04196464,0.13344404,0.29378830,0.53744624,0.74703486
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-04-01 00:00:00.000000,0.08737864,0.21525316,0.44723637,14,36,75,2,8,23,0.01608610,0.04829041,0.13621897,0.28827155,0.53687185,0.71740832
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-04-02 00:00:00.000000,0.08777345,0.22580105,0.45223038,14,38,76,2,8,23,0.01652906,0.05297094,0.13853970,0.29311105,0.53347688,0.71672652
18121,0,USIndianaParke,Indiana,Parke,2020-08-21 18:15:22.306094,2020-04-03 00:00:00.000000,0.08831890,0.23931080,0.45700756,14,40,77,2,9,23,0.01618624,0.05615734,0.13788800,0.29892641,0.52434973,0.71563142
