FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-09 00:00:00.000000,0.02002342,0.04142202,0.17111542,5,10,43,0,2,9,0.00000000,0.00847212,0.03870736,0.52067823,0.66670899,0.81199333
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-10 00:00:00.000000,0.01365343,0.02717164,0.07532835,3,6,19,0,4,7,0.00070813,0.01609116,0.02756761,0.52033086,0.66670225,0.81203030
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-11 00:00:00.000000,0.00937714,0.03670679,0.08240329,2,9,20,0,2,7,0.00000000,0.00870484,0.03090864,0.51979544,0.66667875,0.81208657
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-12 00:00:00.000000,0.01180868,0.02766870,0.05457831,3,7,13,0,3,6,0.00037563,0.01294653,0.02598295,0.51933991,0.66658592,0.81217286
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-13 00:00:00.000000,0.00957187,0.03667110,0.06524070,2,9,16,0,2,7,0.00000000,0.01115908,0.02844924,0.51932249,0.66619221,0.81230674
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-14 00:00:00.000000,0.01164386,0.02961402,0.05775192,2,7,14,0,2,7,0.00020024,0.01179575,0.02921568,0.51611952,0.66518303,0.81251780
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-15 00:00:00.000000,0.01067514,0.03733634,0.06195071,2,9,15,0,3,7,0.00000000,0.01184654,0.02824706,0.51281816,0.66265559,0.81262937
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-16 00:00:00.000000,0.01165329,0.03232141,0.05753545,2,8,14,0,2,8,0.00004345,0.01172638,0.03181974,0.50856431,0.65939857,0.81188498
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-17 00:00:00.000000,0.01379307,0.03777467,0.06111707,3,9,15,0,3,6,0.00000000,0.01384622,0.02732915,0.50298917,0.65786661,0.81038362
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-18 00:00:00.000000,0.01257057,0.03771101,0.06112316,3,9,15,0,3,8,0.00000000,0.01273524,0.03252265,0.50290136,0.65437045,0.80749454
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-19 00:00:00.000000,0.01597121,0.03806426,0.06310142,4,9,16,0,3,7,0.00000000,0.01485223,0.02837591,0.49967906,0.65025903,0.80240254
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-20 00:00:00.000000,0.01227764,0.03732872,0.06448702,3,9,16,0,3,8,0.00000000,0.01238732,0.03230855,0.48072841,0.64064640,0.79676043
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-21 00:00:00.000000,0.01687361,0.03603399,0.06582697,4,9,16,0,3,7,0.00000000,0.01441251,0.03012204,0.46750051,0.63022925,0.79842991
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-22 00:00:00.000000,0.01186388,0.03507295,0.06963341,3,8,17,0,3,7,0.00000000,0.01219369,0.03029762,0.45098401,0.61963171,0.79936371
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-23 00:00:00.000000,0.01744245,0.03474364,0.07155765,4,8,18,0,3,8,0.00000000,0.01383223,0.03152041,0.43830160,0.59515473,0.80029615
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-24 00:00:00.000000,0.01073154,0.03331183,0.07194208,2,8,18,0,2,7,0.00000000,0.01107626,0.02988477,0.43077010,0.57946906,0.80127652
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-25 00:00:00.000000,0.01688298,0.03398486,0.07492464,4,8,19,0,3,8,0.00000000,0.01438121,0.03158743,0.42716780,0.56907598,0.80240024
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-26 00:00:00.000000,0.01022708,0.03268232,0.06835277,2,8,17,0,2,7,0.00000000,0.01027971,0.02970461,0.42883909,0.56383925,0.80352660
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-27 00:00:00.000000,0.01622322,0.03359962,0.07632031,4,8,19,0,3,7,0.00000000,0.01394762,0.03098406,0.43619856,0.55890373,0.80408891
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-28 00:00:00.000000,0.01001763,0.03189096,0.06575495,2,8,16,0,2,7,0.00000000,0.00983754,0.02975819,0.43991022,0.56021878,0.80392082
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-29 00:00:00.000000,0.01590717,0.03253118,0.07594144,4,8,19,0,3,7,0.00000000,0.01340845,0.03052623,0.43526179,0.55609603,0.80878087
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-30 00:00:00.000000,0.01016173,0.03076717,0.06673194,2,7,16,0,2,7,0.00000000,0.00958391,0.02945514,0.44306183,0.55046317,0.83036789
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-03-31 00:00:00.000000,0.01491944,0.03200581,0.07391929,3,8,18,0,3,7,0.00000000,0.01308394,0.02934171,0.44637933,0.54711792,0.83659245
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-01 00:00:00.000000,0.01004121,0.03007896,0.06879787,2,7,17,0,2,7,0.00000000,0.00927636,0.02866388,0.44140499,0.53265880,0.83620740
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-02 00:00:00.000000,0.01380527,0.03199577,0.07189247,3,8,18,0,3,7,0.00000000,0.01292647,0.02906528,0.43039565,0.53076291,0.85383871
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-03 00:00:00.000000,0.00995511,0.02908702,0.07119060,2,7,18,0,2,7,0.00000000,0.00915070,0.02814098,0.42201060,0.53049595,0.87338586
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-04 00:00:00.000000,0.01320370,0.03174094,0.07118690,3,8,18,0,3,7,0.00000000,0.01263574,0.03085993,0.41964416,0.52787160,0.88231125
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-05 00:00:00.000000,0.00991356,0.02843203,0.07358100,2,7,18,0,2,7,0.00000000,0.00915984,0.03078172,0.43155713,0.53830805,0.88619431
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-06 00:00:00.000000,0.01312311,0.03136332,0.07568003,3,7,19,0,3,8,0.00000000,0.01231719,0.03388979,0.42195339,0.53640198,0.88809254
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-07 00:00:00.000000,0.00968538,0.02851123,0.07625791,2,7,19,0,2,8,0.00000000,0.00937743,0.03383889,0.42025302,0.54320088,0.88896045
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-08 00:00:00.000000,0.01314772,0.03086776,0.07703284,3,7,19,0,3,9,0.00000000,0.01217139,0.03706519,0.41742993,0.53597296,0.87698724
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-09 00:00:00.000000,0.00960127,0.02683938,0.07693263,2,6,19,0,2,9,0.00000000,0.00954475,0.03740107,0.41203616,0.53802216,0.87376642
18129,0,USIndianaPosey,Indiana,Posey,2020-07-31 04:41:01.051614,2020-04-10 00:00:00.000000,0.01330015,0.03053644,0.07752417,3,7,19,0,3,10,0.00000000,0.01217224,0.04140862,0.40342491,0.54489836,0.86834857
