FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-09 00:00:00.000000,0.00897106,0.03579320,0.08222252,2,8,20,0,1,6,0.00186779,0.00668721,0.02440035,0.54242116,0.70212557,0.94543045
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-10 00:00:00.000000,0.00775025,0.02415640,0.05972502,1,5,14,0,1,4,0.00132177,0.00634900,0.01960263,0.54231767,0.70210131,0.94543009
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-11 00:00:00.000000,0.00705056,0.02367816,0.05489368,1,5,13,0,1,4,0.00121050,0.00631801,0.01945024,0.54214694,0.70205640,0.94542934
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-12 00:00:00.000000,0.00642349,0.02105613,0.05376343,1,5,13,0,1,4,0.00113327,0.00584616,0.01627687,0.54186562,0.70197322,0.94542765
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-13 00:00:00.000000,0.00596966,0.02007538,0.04960307,1,4,12,0,1,3,0.00107356,0.00527770,0.01535529,0.54140295,0.70181920,0.94542356
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-14 00:00:00.000000,0.00564049,0.01989821,0.05240376,1,4,12,0,1,3,0.00102567,0.00500080,0.01445188,0.54064440,0.70160301,0.94541232
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-15 00:00:00.000000,0.00540420,0.01850940,0.05604369,1,4,13,0,1,3,0.00098615,0.00490489,0.01353064,0.53940699,0.70150364,0.94537663
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-16 00:00:00.000000,0.00951562,0.02678984,0.06487674,2,6,16,0,1,3,0.00095266,0.00486346,0.01359474,0.53740451,0.70128150,0.94524771
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-17 00:00:00.000000,0.01309334,0.03522422,0.07347540,3,8,18,0,1,4,0.00161648,0.00640237,0.01992699,0.53420506,0.70077905,0.93775255
18135,0,USIndianaRandolph,Indiana,Randolph,2020-10-02 09:34:28.350585,2020-03-18 00:00:00.000000,0.01543776,0.04083572,0.08140181,3,10,20,0,1,6,0.00203530,0.00776740,0.02547202,0.52939425,0.69951144,0.89938765
