FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-09 00:00:00.000000,0.01001761,0.01952876,0.05701301,3,6,17,0,1,3,0.00177439,0.00599329,0.01277217,0.55647958,0.67383131,0.85940093
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-10 00:00:00.000000,0.01207202,0.02129689,0.03074476,3,6,9,1,3,5,0.00523801,0.01261623,0.01910321,0.55648012,0.67380517,0.85939929
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-11 00:00:00.000000,0.01618286,0.02613161,0.03674589,5,8,11,1,3,5,0.00532949,0.00973879,0.01808986,0.55648116,0.67375713,0.85939586
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-12 00:00:00.000000,0.01962996,0.02403547,0.03582099,6,7,11,2,3,6,0.00838428,0.01281248,0.02061137,0.55648324,0.67366798,0.85938871
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-13 00:00:00.000000,0.02266204,0.02711439,0.03977005,7,8,12,1,3,7,0.00544026,0.01119626,0.02299012,0.55578544,0.67349735,0.85937378
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-14 00:00:00.000000,0.02041617,0.02691179,0.04357012,6,8,13,2,4,7,0.00827927,0.01319573,0.02527321,0.55431840,0.67314458,0.85934263
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-15 00:00:00.000000,0.02197307,0.02894624,0.04667463,6,8,14,1,4,8,0.00549488,0.01295319,0.02706860,0.55266611,0.67229699,0.85927770
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-16 00:00:00.000000,0.01986188,0.02904577,0.04869428,6,9,15,2,4,8,0.00783210,0.01476063,0.02854786,0.55082876,0.66983370,0.85914245
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-17 00:00:00.000000,0.02211777,0.03065540,0.05090325,6,9,15,1,4,9,0.00540894,0.01484072,0.02971099,0.54883301,0.66517108,0.85886131
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-18 00:00:00.000000,0.01969395,0.03122779,0.05307335,6,9,16,2,4,9,0.00760663,0.01565229,0.03103698,0.54681887,0.65556202,0.85827947
18169,0,USIndianaWabash,Indiana,Wabash,2020-07-31 03:39:02.793930,2020-03-19 00:00:00.000000,0.02116503,0.03205952,0.05554489,6,9,17,1,4,10,0.00549585,0.01563351,0.03235187,0.54554558,0.65917887,0.85708606
