FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-09 00:00:00.000000,0.00897589,0.02977326,0.06923365,2,8,19,0,3,10,0.00160239,0.01195922,0.03751076,0.55496903,0.73460689,1.02383668
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-10 00:00:00.000000,0.00652505,0.02871811,0.07573515,1,8,21,0,3,10,0.00202523,0.01316704,0.03601349,0.55496332,0.73461508,1.02383672
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-11 00:00:00.000000,0.00681950,0.03038578,0.08315685,1,8,23,0,3,10,0.00247920,0.01388084,0.03700780,0.55495371,0.73462362,1.02383684
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-12 00:00:00.000000,0.00711082,0.03077113,0.08722788,1,8,24,0,4,11,0.00273963,0.01449270,0.04047420,0.55493753,0.73462723,1.02382797
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-13 00:00:00.000000,0.00723611,0.03231697,0.08721926,2,9,24,0,3,12,0.00291466,0.01418484,0.04400962,0.55491035,0.73460823,1.02359626
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-14 00:00:00.000000,0.00713065,0.03288029,0.08709069,1,9,24,0,4,12,0.00300041,0.01484666,0.04487364,0.55486480,0.73450533,1.01939277
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-15 00:00:00.000000,0.00703248,0.03403031,0.08689423,1,9,24,0,4,12,0.00276647,0.01550075,0.04475647,0.55478892,0.73407758,1.00190045
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-16 00:00:00.000000,0.01332544,0.04356006,0.09412588,3,12,26,0,4,12,0.00255048,0.01616045,0.04462198,0.55466376,0.73188539,1.00189891
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-17 00:00:00.000000,0.01805414,0.05543753,0.11148593,5,15,31,1,5,14,0.00473584,0.01932744,0.05274456,0.55446077,0.71904301,1.00189841
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-18 00:00:00.000000,0.02343981,0.06570920,0.13060469,6,18,36,2,6,17,0.00755381,0.02285576,0.06405451,0.55414039,0.71191486,1.00190472
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-19 00:00:00.000000,0.02840052,0.07538475,0.14997594,7,21,42,2,8,21,0.01057027,0.02911475,0.07612553,0.53026880,0.70621957,1.00192986
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-20 00:00:00.000000,0.03302681,0.08360713,0.17046041,9,23,47,3,9,24,0.01259206,0.03418748,0.08888090,0.51724969,0.70131501,1.00136826
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-21 00:00:00.000000,0.03697848,0.09175446,0.19630411,10,25,55,4,11,28,0.01428429,0.03984525,0.10215501,0.50275832,0.69169356,0.99897588
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-22 00:00:00.000000,0.04015945,0.10350457,0.22181062,11,29,62,4,12,32,0.01580045,0.04518699,0.11560929,0.48519781,0.68549979,0.98029324
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-23 00:00:00.000000,0.05655856,0.11527528,0.23321829,15,32,65,4,14,36,0.01716757,0.04993836,0.12905034,0.47033523,0.67809553,0.98158563
18175,0,USIndianaWashington,Indiana,Washington,2020-08-10 00:58:55.249670,2020-03-24 00:00:00.000000,0.06831687,0.13624937,0.25420764,19,38,71,6,15,39,0.02198072,0.05557874,0.13952426,0.46997138,0.67103376,0.98969868
