FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-09 00:00:00.000000,0.04160165,0.23225444,0.49768555,1,8,17,0,1,4,0.00612659,0.03472275,0.13414421,0.52449862,0.71113586,0.97203827
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-10 00:00:00.000000,0.03539379,0.13622737,0.33476543,1,4,12,0,1,4,0.00854239,0.04119585,0.12917346,0.52449803,0.71031175,0.97203821
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-11 00:00:00.000000,0.03872464,0.12742071,0.31504030,1,4,11,0,1,3,0.00822045,0.03223607,0.10530984,0.52449582,0.71063318,0.97203809
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-12 00:00:00.000000,0.02956550,0.10395174,0.28992709,1,3,10,0,0,3,0.00720001,0.02745289,0.09357341,0.52448795,0.71136461,0.97203784
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-13 00:00:00.000000,0.02228392,0.09026676,0.24767438,0,3,8,0,0,2,0.00615770,0.02235559,0.07318905,0.52446046,0.71276450,0.97203729
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-14 00:00:00.000000,0.01602499,0.07695746,0.22020616,0,2,7,0,0,2,0.00514532,0.01976888,0.06664131,0.52436578,0.71384046,0.97203599
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-15 00:00:00.000000,0.01067720,0.06661750,0.21130796,0,2,7,0,0,2,0.00333964,0.01719402,0.06048848,0.52404193,0.71380270,0.97203256
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-16 00:00:00.000000,0.00636233,0.05785538,0.19969798,0,2,7,0,0,2,0.00202322,0.01463938,0.05704385,0.52294533,0.71370202,0.97202200
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-17 00:00:00.000000,0.00383456,0.05049808,0.18166870,0,1,6,0,0,1,0.00120247,0.01252410,0.05081888,0.51935107,0.71343370,0.97198460
19003,0,USIowaAdams,Iowa,Adams,2020-09-29 08:29:51.420936,2020-03-18 00:00:00.000000,0.00234679,0.04398549,0.16519566,0,1,5,0,0,1,0.00072869,0.01106888,0.04840316,0.50883336,0.70797166,0.97183785
