FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-09 00:00:00.000000,0.00472655,0.02353273,0.06615670,1,5,16,0,2,10,0.00090899,0.00864587,0.04270032,0.46390370,0.66689017,1.02125235
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-10 00:00:00.000000,0.00303066,0.01849900,0.07312056,0,4,18,0,2,9,0.00148507,0.00947561,0.03685014,0.46395274,0.66688816,1.02126383
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-11 00:00:00.000000,0.00305707,0.01862150,0.06939297,0,4,17,0,1,9,0.00119548,0.00794011,0.03808361,0.46403098,0.66688406,1.02129142
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-12 00:00:00.000000,0.00238986,0.01598451,0.06825876,0,4,17,0,1,8,0.00106572,0.00698401,0.03489383,0.46415557,0.66687570,1.02135765
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-13 00:00:00.000000,0.00210816,0.01469550,0.06112229,0,3,15,0,1,7,0.00084245,0.00619491,0.03158145,0.46435348,0.66685866,1.02151642
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-14 00:00:00.000000,0.00187083,0.01296324,0.05466067,0,3,13,0,1,6,0.00083312,0.00569485,0.02727718,0.46466657,0.66648532,1.02189590
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-15 00:00:00.000000,0.00166686,0.01142119,0.04865547,0,2,12,0,1,5,0.00074327,0.00528169,0.02348735,0.46515876,0.66439949,1.02279619
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-16 00:00:00.000000,0.00406664,0.01551442,0.05087581,1,3,12,0,1,5,0.00066386,0.00476031,0.02195859,0.46592476,0.66382167,1.02489517
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-17 00:00:00.000000,0.00597998,0.01876482,0.05287866,1,4,13,0,1,6,0.00245262,0.00795679,0.02527255,0.46709838,0.66255265,1.02959594
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-18 00:00:00.000000,0.00692218,0.02395260,0.05772202,1,6,14,0,2,6,0.00270237,0.00884840,0.02685560,0.46675997,0.66060981,1.03923627
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-19 00:00:00.000000,0.00717397,0.02744395,0.06632777,1,6,16,0,2,8,0.00310890,0.01031033,0.03251235,0.46171967,0.65578237,1.05585619
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-20 00:00:00.000000,0.00791488,0.03021276,0.07011700,1,7,17,0,2,8,0.00308122,0.01174004,0.03466182,0.45283379,0.65281854,1.06170061
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-21 00:00:00.000000,0.00784764,0.03258690,0.07178143,1,8,17,0,3,8,0.00308895,0.01315254,0.03590620,0.45896487,0.64547834,1.04360165
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-22 00:00:00.000000,0.00775322,0.03421057,0.07541625,1,8,18,0,3,9,0.00303983,0.01414669,0.03595284,0.46432270,0.63987050,1.01078156
19017,0,USIowaBremer,Iowa,Bremer,2020-08-21 18:38:52.365959,2020-03-23 00:00:00.000000,0.01214141,0.03863903,0.08200566,3,9,20,0,3,9,0.00297962,0.01503090,0.03702508,0.46406861,0.63813319,0.96533378
