FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-09 00:00:00.000000,0.01323413,0.10101637,0.26427564,1,9,25,0,1,8,0.00187859,0.01864968,0.09002462,0.46081754,0.70759411,1.01741551
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-10 00:00:00.000000,0.00750838,0.05231633,0.17174655,0,5,16,0,2,6,0.00346345,0.02379582,0.07050415,0.46081756,0.70759527,1.01736497
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-11 00:00:00.000000,0.00647557,0.04683475,0.13433552,0,4,12,0,1,4,0.00153974,0.01137514,0.04367910,0.46081763,0.70759844,1.01712294
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-12 00:00:00.000000,0.00305790,0.02914207,0.09762572,0,2,9,0,1,3,0.00136863,0.01139103,0.03803099,0.46081781,0.70743970,1.01597864
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-13 00:00:00.000000,0.00219586,0.02372380,0.07732795,0,2,7,0,0,2,0.00056432,0.00633508,0.02787092,0.46081827,0.70700574,1.01089247
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-14 00:00:00.000000,0.00159658,0.01578761,0.05625768,0,1,5,0,0,2,0.00045117,0.00618875,0.02415291,0.46081918,0.70600564,0.99329279
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-15 00:00:00.000000,0.00123127,0.01243807,0.04248084,0,1,4,0,0,1,0.00033280,0.00367457,0.02049166,0.46081996,0.70374089,0.96903963
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-16 00:00:00.000000,0.00087316,0.00828274,0.03486563,0,0,3,0,0,1,0.00025711,0.00301969,0.01684429,0.46081385,0.70164399,0.96755560
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-17 00:00:00.000000,0.00057606,0.00621967,0.03008650,0,0,2,0,0,1,0.00019706,0.00188962,0.01386030,0.46075549,0.70168462,0.96557522
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-18 00:00:00.000000,0.00037685,0.00432472,0.02653996,0,0,2,0,0,1,0.00012818,0.00150809,0.01343066,0.45844705,0.69541147,0.96299211
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-19 00:00:00.000000,0.00023570,0.00347142,0.02559353,0,0,2,0,0,1,0.00007984,0.00108665,0.01165278,0.45574161,0.68786530,0.95950260
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-20 00:00:00.000000,0.00014688,0.00232317,0.02184655,0,0,2,0,0,0,0.00004973,0.00083678,0.01010645,0.44950143,0.68920639,0.95459960
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-21 00:00:00.000000,0.00009171,0.00167320,0.01806028,0,0,1,0,0,0,0.00003104,0.00055756,0.00876801,0.43400044,0.67982215,0.94152818
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-22 00:00:00.000000,0.00005744,0.00116307,0.01496692,0,0,1,0,0,0,0.00001949,0.00040359,0.00760230,0.42564807,0.67431726,0.93562691
19025,0,USIowaCalhoun,Iowa,Calhoun,2020-08-21 18:33:17.401005,2020-03-23 00:00:00.000000,0.00003610,0.00086698,0.01254117,0,0,1,0,0,0,0.00001225,0.00028947,0.00655816,0.39894307,0.66725575,0.93570199
