FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-09 00:00:00.000000,0.00966382,0.06930200,0.20225215,0,6,19,0,1,10,0.00303546,0.01947252,0.11070781,0.47216889,0.67100697,0.91534628
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-10 00:00:00.000000,0.00760126,0.05032201,0.19175198,0,4,18,0,1,6,0.00412245,0.02048647,0.07230560,0.47216770,0.67100476,0.91534025
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-11 00:00:00.000000,0.00764203,0.04657483,0.16424139,0,4,15,0,1,6,0.00325219,0.01851195,0.06915425,0.47216522,0.67099896,0.91532728
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-12 00:00:00.000000,0.00654189,0.04004707,0.13842937,0,3,13,0,1,5,0.00308868,0.01778577,0.05364114,0.47216008,0.67098365,0.91529939
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-13 00:00:00.000000,0.00593022,0.03762449,0.11037492,0,3,10,0,1,4,0.00263437,0.01626520,0.04995925,0.47214940,0.67094318,0.91523935
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-14 00:00:00.000000,0.00516647,0.03451605,0.10029241,0,3,9,0,1,4,0.00235681,0.01501617,0.05024274,0.47212719,0.67083662,0.91511018
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-15 00:00:00.000000,0.00456706,0.03182166,0.08917833,0,2,8,0,1,4,0.00204966,0.01366633,0.05073641,0.47098521,0.67055974,0.91483240
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-16 00:00:00.000000,0.00399414,0.02909577,0.09087161,0,2,8,0,1,4,0.00155304,0.01228466,0.05107381,0.47072812,0.66987610,0.91423598
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-17 00:00:00.000000,0.00322983,0.02589649,0.09220276,0,2,8,0,1,4,0.00111753,0.01128395,0.05199308,0.45751838,0.66984348,0.91296046
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-18 00:00:00.000000,0.00232604,0.02248737,0.09268078,0,2,8,0,0,4,0.00080581,0.01057345,0.05281068,0.44078135,0.66948219,0.91025673
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-19 00:00:00.000000,0.00167722,0.02144703,0.09200532,0,2,8,0,0,5,0.00058053,0.00946332,0.05322618,0.42747706,0.66442131,0.91197489
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-20 00:00:00.000000,0.00120989,0.02000627,0.09047951,0,1,8,0,0,4,0.00041924,0.00885415,0.05305111,0.41600737,0.64895372,0.90091533
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-21 00:00:00.000000,0.00089771,0.01868311,0.09301144,0,1,8,0,0,5,0.00032851,0.00793027,0.05392393,0.39689357,0.64173288,0.87639248
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-22 00:00:00.000000,0.00072863,0.01638415,0.09455853,0,1,8,0,0,5,0.00028230,0.00689258,0.05613810,0.38795724,0.62668722,0.87857737
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-23 00:00:00.000000,0.00932189,0.02654717,0.11934536,0,2,11,0,0,5,0.00020338,0.00624499,0.05760620,0.37706471,0.60393603,0.87410688
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-24 00:00:00.000000,0.01486505,0.03783645,0.15231126,1,3,14,0,1,6,0.00586014,0.01443757,0.06652208,0.35977177,0.60530125,0.87510725
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-25 00:00:00.000000,0.02387326,0.05121012,0.18822517,2,4,17,0,1,7,0.00798315,0.01822478,0.08126535,0.34291590,0.60411005,0.87348180
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-26 00:00:00.000000,0.02755594,0.06140030,0.21253432,2,5,19,1,2,9,0.01104133,0.02331645,0.10082020,0.33170457,0.59417959,0.87288079
19039,0,USIowaClarke,Iowa,Clarke,2020-09-22 15:40:46.150047,2020-03-27 00:00:00.000000,0.03230025,0.06886929,0.23522610,3,6,22,1,2,10,0.01281141,0.02508220,0.11609588,0.32685117,0.58631949,0.87179936
