FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-09 00:00:00.000000,0.01801530,0.05838860,0.16605986,2,8,25,0,2,7,0.00176570,0.01666015,0.05019781,0.52760189,0.71474062,0.99806988
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-10 00:00:00.000000,0.01224738,0.04730481,0.14083725,1,7,21,0,2,6,0.00150889,0.01367606,0.04515678,0.52760187,0.71474078,0.99806827
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-11 00:00:00.000000,0.01321589,0.05165712,0.14199305,1,7,21,0,1,7,0.00156374,0.01203098,0.04732037,0.52760183,0.71474116,0.99806359
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-12 00:00:00.000000,0.01246551,0.05692733,0.16267927,1,8,24,0,1,7,0.00162411,0.01054917,0.05030215,0.52760178,0.71474207,0.99804955
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-13 00:00:00.000000,0.01221381,0.05889519,0.16502412,1,8,24,0,1,8,0.00167974,0.00976694,0.05405168,0.52760180,0.71474417,0.99800667
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-14 00:00:00.000000,0.01217450,0.05962480,0.18028773,1,9,27,0,1,8,0.00173075,0.00935328,0.05854539,0.52760225,0.71474890,0.99787427
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-15 00:00:00.000000,0.01227468,0.06097159,0.20678273,1,9,31,0,1,9,0.00177765,0.00939356,0.06377891,0.52750248,0.71475883,0.99746306
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-16 00:00:00.000000,0.02370959,0.07825137,0.24442315,3,11,36,0,1,10,0.00182095,0.00928010,0.06976298,0.52672031,0.71500888,0.99618503
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-17 00:00:00.000000,0.03140064,0.09505823,0.29163266,4,14,44,0,1,11,0.00227056,0.00987257,0.07693188,0.52529329,0.71438774,0.99224360
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-18 00:00:00.000000,0.03981986,0.11069293,0.32112514,6,16,48,0,1,12,0.00275229,0.01071252,0.08525414,0.51674071,0.71313649,0.98576654
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-19 00:00:00.000000,0.04307908,0.12797819,0.34461565,6,19,52,0,1,14,0.00309358,0.01159888,0.09471723,0.50379433,0.69695633,0.99362147
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-20 00:00:00.000000,0.04428943,0.14325253,0.39424772,6,21,59,0,1,15,0.00336330,0.01280518,0.10534101,0.47490324,0.69085435,1.02938521
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-21 00:00:00.000000,0.04716106,0.15554537,0.45160383,7,23,68,0,2,18,0.00362133,0.01384479,0.11918419,0.43216388,0.68570137,0.99943849
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-22 00:00:00.000000,0.05042676,0.16753118,0.50729605,7,25,76,0,2,19,0.00381058,0.01506878,0.12851341,0.41815899,0.67851746,1.00434788
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-23 00:00:00.000000,0.06256615,0.17362638,0.53750082,9,26,81,0,2,20,0.00400591,0.01670353,0.13783085,0.41481243,0.66762494,1.03437674
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-24 00:00:00.000000,0.07682605,0.18702224,0.62099480,11,28,93,0,2,22,0.00452199,0.01840408,0.14752544,0.41454883,0.65862982,1.05121392
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-25 00:00:00.000000,0.08300244,0.21031702,0.72480243,12,31,109,0,3,25,0.00507551,0.01986708,0.16710158,0.41109434,0.64950413,1.05136555
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-26 00:00:00.000000,0.08860044,0.22770202,0.80513877,13,34,121,0,3,28,0.00565323,0.02147387,0.18879397,0.40408732,0.63997428,1.05112106
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-27 00:00:00.000000,0.09749269,0.24914836,0.83801885,14,37,126,0,3,30,0.00615645,0.02386369,0.20494344,0.39885547,0.63582854,1.10599145
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-28 00:00:00.000000,0.10601218,0.26396217,0.88645606,16,39,133,0,3,34,0.00635322,0.02641843,0.22877207,0.36536929,0.64085797,1.11597494
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-29 00:00:00.000000,0.11426706,0.27922799,0.98693427,17,42,149,1,4,39,0.00676676,0.02862249,0.26107568,0.36010254,0.64818877,1.12224041
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-30 00:00:00.000000,0.12377734,0.29767228,1.15280593,18,44,174,1,4,44,0.00727981,0.03058070,0.29610969,0.36334891,0.65207474,1.12729814
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-03-31 00:00:00.000000,0.13322046,0.32965299,1.33238789,20,49,201,1,4,50,0.00769710,0.03279843,0.33125378,0.35900823,0.65289035,1.13154507
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-04-01 00:00:00.000000,0.14281556,0.35215288,1.52493019,21,53,230,1,5,55,0.00810315,0.03511784,0.36697126,0.34396372,0.65879794,1.13509991
19129,0,USIowaMills,Iowa,Mills,2020-08-21 18:25:35.134959,2020-04-02 00:00:00.000000,0.15275721,0.36263451,1.72890680,23,54,261,1,5,60,0.00850193,0.03713054,0.40368212,0.33829721,0.64719563,1.13755653
