FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-09 00:00:00.000000,0.00419413,0.01098886,0.02908789,2,7,19,0,2,7,0.00100792,0.00393861,0.01103265,0.42390277,0.55933273,0.67323085
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-10 00:00:00.000000,0.00557908,0.01247110,0.03060631,3,8,20,1,2,6,0.00165889,0.00440239,0.01043184,0.42390275,0.55929962,0.67323083
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-11 00:00:00.000000,0.00688832,0.01517417,0.03195659,4,10,21,1,3,8,0.00206996,0.00494119,0.01196775,0.42390272,0.55921634,0.67323080
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-12 00:00:00.000000,0.00827113,0.01737989,0.03325319,5,11,22,1,3,8,0.00251526,0.00558059,0.01330778,0.42390267,0.55900729,0.67323072
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-13 00:00:00.000000,0.00943451,0.01972892,0.03595856,6,13,24,1,4,9,0.00271095,0.00608368,0.01442231,0.42390265,0.55885121,0.67323058
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-14 00:00:00.000000,0.01095148,0.02206366,0.04093394,7,14,27,2,4,10,0.00321084,0.00651413,0.01534738,0.42390280,0.55879476,0.67323030
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-15 00:00:00.000000,0.01203032,0.02462121,0.04600144,8,16,30,2,4,11,0.00355057,0.00720478,0.01706459,0.42390381,0.55845649,0.67322974
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-16 00:00:00.000000,0.01419815,0.02701069,0.04969933,9,18,33,2,5,12,0.00414250,0.00817662,0.01923890,0.42390808,0.55356049,0.67322854
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-17 00:00:00.000000,0.01631903,0.03029191,0.05424687,10,20,36,2,6,14,0.00440321,0.00905157,0.02227826,0.42392391,0.54512891,0.67322566
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-18 00:00:00.000000,0.01837664,0.03327513,0.05819124,12,22,38,3,6,16,0.00475966,0.01000480,0.02518940,0.42379676,0.53469243,0.67321785
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-19 00:00:00.000000,0.01992610,0.03633459,0.06568609,13,24,43,3,7,18,0.00519270,0.01097189,0.02709285,0.42391467,0.52512275,0.67307293
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-20 00:00:00.000000,0.02126510,0.03906349,0.07404520,14,26,49,3,7,19,0.00570300,0.01195060,0.02896422,0.41397559,0.51184709,0.66376649
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-21 00:00:00.000000,0.02283343,0.04222578,0.08256117,15,28,55,4,8,20,0.00649696,0.01334541,0.03063499,0.39382208,0.49071639,0.65323959
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-22 00:00:00.000000,0.02431236,0.04425389,0.09141767,16,29,61,4,9,21,0.00683867,0.01425930,0.03158961,0.37876667,0.47498911,0.64107052
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-23 00:00:00.000000,0.02564955,0.04711007,0.09545043,17,31,63,5,10,23,0.00748081,0.01516948,0.03484477,0.36042268,0.45624848,0.63202096
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-24 00:00:00.000000,0.02631752,0.04929374,0.09802882,17,32,65,5,10,24,0.00815247,0.01582475,0.03657919,0.34892388,0.44424809,0.62937614
20015,0,USKansasButler,Kansas,Butler,2020-10-02 09:29:34.305493,2020-03-25 00:00:00.000000,0.02784259,0.05030859,0.10050204,18,33,67,5,11,24,0.00833618,0.01667018,0.03639876,0.35436821,0.43559918,0.61924966
