FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-09 00:00:00.000000,99.29547172,102.55487823,103.69442724,5945,6140,6209,5914,6061,6133,98.76736034,101.22233257,102.42831699,1.40438315,1.75712754,1.79804034
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-10 00:00:00.000000,101.66246483,194.61246180,200.82987937,6087,11653,12025,5491,5679,5880,91.70670031,94.85001237,98.20120619,1.40416034,1.75712742,1.79804032
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-11 00:00:00.000000,98.15860842,110.03394344,112.56763257,5877,6588,6740,5777,6404,6410,96.48877644,106.95042612,107.05765320,1.40381626,1.75712725,1.79804030
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-12 00:00:00.000000,96.45703951,108.11051719,108.66552709,5775,6473,6506,5676,5986,5988,94.79797965,99.96659987,100.00397431,1.40328888,1.75712699,1.79804025
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-13 00:00:00.000000,94.76822130,100.08687317,100.14276182,5674,5993,5996,5577,5988,5992,93.13840736,100.01500433,100.06738859,1.40248973,1.75712658,1.79804018
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-14 00:00:00.000000,93.10965334,100.01038323,100.08296247,5575,5988,5992,5479,5980,5985,91.50806083,99.87782712,99.95580578,1.40129949,1.75712590,1.79804007
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-15 00:00:00.000000,91.47994381,99.87657619,99.95697665,5477,5980,5985,5383,5975,5983,89.90629549,99.78789523,99.92230867,1.39957150,1.75712475,1.79803987
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-16 00:00:00.000000,89.87872533,99.78767953,99.92244007,5381,5975,5983,5289,5969,5981,88.33260148,99.69340187,99.88391044,1.39715340,1.75712271,1.79803951
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-17 00:00:00.000000,88.30552769,99.69329793,99.88391294,5287,5969,5981,5196,5964,5978,86.78645447,99.59947506,99.84572722,1.39393720,1.75711888,1.79803884
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-18 00:00:00.000000,86.75986189,99.59938342,99.84571274,5195,5964,5978,5105,5958,5976,85.26737639,99.50561109,99.80753644,1.38993363,1.75711141,1.79803750
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-19 00:00:00.000000,85.24125079,99.50552087,99.80751974,5104,5958,5976,5016,5952,5974,83.77488736,99.41184067,99.76936254,1.38533200,1.75709673,1.79803518
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-20 00:00:00.000000,83.74922019,99.41175070,99.76934555,5014,5952,5974,4928,5947,5971,82.30852340,99.31816016,99.73120546,1.38047797,1.75707219,1.79803773
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-21 00:00:00.000000,82.28330567,99.31807029,99.73118844,4927,5947,5971,4842,5941,5969,80.86782600,99.22456964,99.69306541,1.37573413,1.75708600,1.79813780
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-22 00:00:00.000000,80.84304987,99.22447986,99.69304839,4840,5941,5969,4757,5935,5967,79.45234628,99.13106898,99.65494238,1.37128005,1.75780292,1.79944375
20069,0,USKansasGray,Kansas,Gray,2020-07-18 14:51:09.571284,2020-03-23 00:00:00.000000,79.42800384,99.13097929,99.65492537,4756,5935,5967,4674,5930,5965,78.06164257,99.03765811,99.61683636,1.36694873,1.76544928,1.81251828
