FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-09 00:00:00.000000,0.00639027,0.03595254,0.11422085,1,6,21,0,2,8,0.00279560,0.01277371,0.04270044,0.48474319,0.68392746,1.05842465
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-10 00:00:00.000000,0.00682487,0.03599462,0.13042517,1,6,24,0,2,7,0.00256153,0.01126594,0.03714461,0.48474412,0.68392062,1.05841393
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-11 00:00:00.000000,0.00802556,0.03795823,0.14006506,1,7,26,0,2,6,0.00202750,0.01052091,0.03309636,0.48474701,0.68390994,1.05839023
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-12 00:00:00.000000,0.00818284,0.03988855,0.14495791,1,7,27,0,1,5,0.00148201,0.01026321,0.03025028,0.48475593,0.68389236,1.05833780
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-13 00:00:00.000000,0.00832989,0.04316327,0.15256587,1,8,29,0,2,5,0.00119235,0.01070584,0.03045812,0.48478350,0.68386122,1.05822189
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-14 00:00:00.000000,0.00843584,0.04615481,0.16663289,1,8,31,0,2,5,0.00104313,0.01110606,0.03124718,0.48486869,0.68380099,1.05796579
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-15 00:00:00.000000,0.00863235,0.04837982,0.18072293,1,9,34,0,2,6,0.00097119,0.01097437,0.03355248,0.48513115,0.68367360,1.05740114
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-16 00:00:00.000000,0.02106466,0.05866831,0.21157226,4,11,40,0,2,6,0.00094192,0.01093966,0.03656041,0.48593337,0.68338433,1.05616258
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-17 00:00:00.000000,0.02770915,0.06774201,0.24193560,5,12,46,0,2,7,0.00142310,0.01222695,0.03836199,0.48832661,0.68270236,1.05347704
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-18 00:00:00.000000,0.03488097,0.07860346,0.27167612,6,14,51,0,2,7,0.00264571,0.01390988,0.04059615,0.49280035,0.68112068,1.03995582
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-19 00:00:00.000000,0.04195281,0.08925415,0.30047515,7,16,57,0,2,8,0.00323974,0.01516407,0.04565820,0.49527838,0.67494298,1.00445789
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-20 00:00:00.000000,0.04949695,0.10205732,0.32885446,9,19,62,0,3,9,0.00382432,0.01648188,0.05222462,0.47407519,0.65332252,0.95893471
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-21 00:00:00.000000,0.05700576,0.11321648,0.36263211,10,21,69,0,3,11,0.00424934,0.01833535,0.05885464,0.44076197,0.62916535,0.91618173
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-22 00:00:00.000000,0.06328278,0.12579278,0.40502455,12,23,77,0,3,12,0.00480638,0.02038135,0.06551224,0.42796512,0.61108842,0.92393048
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-23 00:00:00.000000,0.06944362,0.14002395,0.43039026,13,26,81,1,4,13,0.00582475,0.02302999,0.07219772,0.42527453,0.59505620,0.91710763
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-24 00:00:00.000000,0.07026358,0.15819809,0.45767107,13,30,87,1,4,14,0.00654492,0.02570471,0.07821525,0.41855820,0.58745223,0.92072228
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-25 00:00:00.000000,0.07074069,0.17521622,0.48722422,13,33,92,1,5,16,0.00714689,0.02863484,0.08462101,0.41821658,0.58403021,0.91921348
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-26 00:00:00.000000,0.07149286,0.19371276,0.51959631,13,36,98,1,6,17,0.00789194,0.03194826,0.09102574,0.39669384,0.57377396,0.90808105
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-27 00:00:00.000000,0.07249285,0.21346268,0.55430742,13,40,105,1,6,18,0.00879813,0.03463794,0.09763982,0.38133830,0.56538924,0.92522416
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-28 00:00:00.000000,0.07343691,0.23263122,0.59168216,13,44,112,1,7,19,0.00993367,0.03728623,0.10436629,0.36099139,0.54698805,0.92298223
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-29 00:00:00.000000,0.07471079,0.25319612,0.63175626,14,48,120,2,7,21,0.01114555,0.04004919,0.11237595,0.35359485,0.53635580,0.92250832
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-30 00:00:00.000000,0.08229901,0.26148144,0.70664673,15,49,134,2,8,23,0.01242603,0.04292651,0.12191590,0.34451613,0.53027298,0.92447979
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-03-31 00:00:00.000000,0.09169065,0.27987738,0.78454096,17,53,149,2,8,24,0.01366849,0.04665263,0.13116689,0.32391778,0.52619344,0.92568790
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-01 00:00:00.000000,0.10239103,0.30217512,0.86583856,19,57,164,2,9,26,0.01488867,0.05078256,0.13908246,0.30543069,0.51214146,0.92711809
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-02 00:00:00.000000,0.11261692,0.32009967,0.95092795,21,60,181,3,10,28,0.01641970,0.05566637,0.14838069,0.30390495,0.51101079,0.92910804
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-03 00:00:00.000000,0.12240555,0.34249947,1.04019841,23,65,198,3,11,29,0.01792464,0.06007367,0.15715413,0.29103956,0.50783533,0.93080933
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-04 00:00:00.000000,0.12672603,0.36675810,1.11324189,24,69,211,3,12,31,0.01881185,0.06434614,0.16484961,0.28874336,0.49275056,0.90014341
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-05 00:00:00.000000,0.12847649,0.38955355,1.16062628,24,74,221,3,12,33,0.02065263,0.06817629,0.17415068,0.28785684,0.48352937,0.88867989
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-06 00:00:00.000000,0.13219250,0.41076241,1.20301719,25,78,229,4,13,35,0.02204815,0.07255782,0.18473134,0.28629930,0.48198392,0.88690314
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-07 00:00:00.000000,0.13891687,0.43216550,1.24647672,26,82,237,4,14,37,0.02359916,0.07689023,0.19646857,0.28289296,0.47518130,0.88659471
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-08 00:00:00.000000,0.14231390,0.44926187,1.29050650,27,85,245,4,15,39,0.02547361,0.07884968,0.20881968,0.27604614,0.46551366,0.88638580
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-09 00:00:00.000000,0.14979192,0.46868860,1.33546264,28,89,254,5,15,42,0.02754281,0.08114187,0.22079501,0.26481537,0.46082689,0.88504194
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-10 00:00:00.000000,0.15461461,0.48602557,1.37863480,29,92,262,5,15,44,0.02971870,0.08333894,0.23276414,0.25897730,0.44617943,0.83641182
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-11 00:00:00.000000,0.15350234,0.51344314,1.41785402,29,97,270,6,16,46,0.03193144,0.08766144,0.24515879,0.25710857,0.42740384,0.77243413
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-12 00:00:00.000000,0.15233917,0.53720449,1.45642286,29,102,277,6,17,49,0.03365123,0.09379143,0.25781819,0.25525580,0.41373697,0.79231214
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-13 00:00:00.000000,0.15212967,0.56269455,1.50385611,28,107,286,6,18,51,0.03536178,0.09954912,0.27061439,0.25364529,0.40166578,0.72391906
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-14 00:00:00.000000,0.15127007,0.57999622,1.55283484,28,110,295,7,19,54,0.03712114,0.10488334,0.28366591,0.25223458,0.39435636,0.70682491
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-15 00:00:00.000000,0.14993597,0.59513745,1.60334340,28,113,305,7,20,56,0.03892037,0.10932592,0.29699279,0.25060096,0.38927553,0.68565997
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-16 00:00:00.000000,0.14830135,0.61882505,1.65524621,28,117,315,7,21,59,0.04075502,0.11319268,0.31062467,0.24606911,0.38584538,0.68319523
20087,0,USKansasJefferson,Kansas,Jefferson,2020-09-17 07:27:19.080144,2020-04-17 00:00:00.000000,0.14640656,0.63651807,1.70831676,27,121,325,8,22,61,0.04262323,0.11733380,0.32458418,0.23982730,0.38402441,0.67799905
