FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-09 00:00:00.000000,0.07573645,0.28320499,0.66818115,2,8,19,0,0,4,0.00973151,0.02993503,0.16988788,0.59155368,0.70449320,1.00880691
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-10 00:00:00.000000,0.05022254,0.16528155,0.42878490,1,4,12,0,1,4,0.01038503,0.03666704,0.15991665,0.59155369,0.70449342,1.00879952
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-11 00:00:00.000000,0.04548471,0.14493035,0.37735990,1,4,10,0,0,3,0.00926216,0.03022151,0.12792674,0.59155374,0.70449377,1.00878045
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-12 00:00:00.000000,0.04157404,0.12694224,0.32433147,1,3,9,0,0,2,0.00823248,0.02610217,0.10188327,0.59155393,0.70449392,1.00873130
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-13 00:00:00.000000,0.03805566,0.10899981,0.28096062,1,3,8,0,0,2,0.00731929,0.02195358,0.07715902,0.59155459,0.70449172,1.00860466
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-14 00:00:00.000000,0.03483169,0.08956526,0.24362632,1,2,7,0,0,1,0.00651380,0.01944125,0.05937911,0.59155702,0.70447629,1.00827872
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-15 00:00:00.000000,0.03188182,0.07405862,0.21137950,0,2,6,0,0,1,0.00579703,0.01643159,0.05188922,0.59129697,0.70439806,1.00744228
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-16 00:00:00.000000,0.05387007,0.10328082,0.24185094,1,2,6,0,0,1,0.00515921,0.01368099,0.04530556,0.58997545,0.70201487,1.00531232
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-17 00:00:00.000000,0.07337371,0.14738340,0.26403256,2,4,7,0,0,1,0.00875952,0.02734560,0.05348454,0.58131164,0.70252990,0.99923243
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-18 00:00:00.000000,0.09219074,0.19770134,0.29309628,2,5,8,0,1,1,0.01108731,0.03931146,0.06564697,0.56362136,0.71048308,0.98301454
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-19 00:00:00.000000,0.10020169,0.23273187,0.31825081,2,6,9,0,1,2,0.01324608,0.04706178,0.08436974,0.55203559,0.69816522,0.95107277
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-20 00:00:00.000000,0.10593248,0.25196817,0.34723991,3,7,9,0,1,2,0.01513449,0.05304163,0.09496346,0.54964994,0.70414504,0.91963047
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-21 00:00:00.000000,0.11098772,0.26696325,0.37938395,3,7,10,0,1,2,0.01598822,0.05898143,0.10097938,0.53436689,0.69897664,0.90453328
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-22 00:00:00.000000,0.11612060,0.28792781,0.40565376,3,8,11,0,1,3,0.01668923,0.06255704,0.10532895,0.51736356,0.70038394,0.89449306
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-23 00:00:00.000000,0.15368669,0.28891657,0.42380221,4,8,12,0,1,3,0.01733445,0.06481634,0.10690152,0.51000395,0.70402214,0.88876147
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-24 00:00:00.000000,0.17352227,0.30549393,0.44027697,4,8,12,0,1,2,0.02581896,0.06624372,0.10109641,0.50314900,0.71609477,0.88304760
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-25 00:00:00.000000,0.18049224,0.30826370,0.49563090,5,8,14,0,1,3,0.03069542,0.06435078,0.10667121,0.49817690,0.71996403,0.86302762
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-26 00:00:00.000000,0.18136539,0.31783916,0.54090904,5,9,15,0,1,3,0.03192516,0.06568210,0.12174858,0.49538814,0.72090521,0.83222498
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-27 00:00:00.000000,0.16623475,0.31419855,0.59207051,4,9,17,0,1,3,0.03297820,0.06536838,0.13844037,0.49430326,0.71938200,0.82451558
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-28 00:00:00.000000,0.15607791,0.32030980,0.63765940,4,9,18,0,1,4,0.03360601,0.06387063,0.15193551,0.48957706,0.72698807,0.82694764
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-29 00:00:00.000000,0.15079426,0.32279907,0.67826891,4,9,19,0,1,4,0.03245316,0.06289031,0.16288147,0.48339167,0.72920828,0.85766138
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-30 00:00:00.000000,0.18891579,0.34555846,0.67273073,5,9,19,0,1,4,0.03145792,0.06364558,0.16586916,0.47656880,0.71312450,0.89745105
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-03-31 00:00:00.000000,0.21476261,0.36824514,0.70946440,6,10,20,1,2,4,0.04574208,0.07604752,0.15221520,0.46949870,0.69279068,0.91362480
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-04-01 00:00:00.000000,0.25003356,0.41443026,0.91834007,7,11,26,1,2,4,0.05326491,0.08465459,0.15824261,0.46272014,0.67776382,0.94429573
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-04-02 00:00:00.000000,0.26754718,0.44906042,1.10320662,7,12,31,1,2,5,0.06060846,0.09376444,0.17495120,0.47402904,0.66793230,0.98822722
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-04-03 00:00:00.000000,0.28564481,0.47491786,1.13760048,8,13,32,1,2,5,0.06141433,0.09621699,0.19140690,0.47754953,0.66770126,1.01048888
20089,0,USKansasJewell,Kansas,Jewell,2020-09-22 16:53:54.870099,2020-04-04 00:00:00.000000,0.26915987,0.47652276,1.15461798,7,13,33,1,2,6,0.05968192,0.10226232,0.21490489,0.47368367,0.65915134,1.02221582
