FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-09 00:00:00.000000,0.00602166,0.05728547,0.15649920,0,3,10,0,1,6,0.00217465,0.02610067,0.09592855,0.41694004,0.56697669,0.79495034
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-10 00:00:00.000000,0.00673229,0.04951373,0.15260099,0,3,10,0,2,6,0.00455402,0.03209913,0.09522046,0.41693802,0.56684990,0.79494963
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-11 00:00:00.000000,0.00750560,0.05450200,0.14880461,0,3,10,0,2,6,0.00519485,0.03249485,0.09927119,0.41693476,0.56661566,0.79494808
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-12 00:00:00.000000,0.00829904,0.05570783,0.15358841,0,3,10,0,2,6,0.00542909,0.03487788,0.09837465,0.41692953,0.56613368,0.79494470
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-13 00:00:00.000000,0.00829048,0.05701418,0.15207623,0,3,10,0,2,6,0.00548799,0.03480088,0.09751464,0.41692115,0.56504584,0.79493733
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-14 00:00:00.000000,0.00970139,0.05765656,0.15067563,0,3,10,0,2,6,0.00645420,0.03498065,0.09663654,0.41690780,0.56246753,0.79492130
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-15 00:00:00.000000,0.01138888,0.05878165,0.14929926,0,4,10,0,2,6,0.00756588,0.03556749,0.09577068,0.41688673,0.56045325,0.79404296
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-16 00:00:00.000000,0.01329955,0.05748357,0.14819259,0,3,10,0,2,6,0.00872893,0.03650300,0.09491691,0.41685391,0.55643804,0.79123593
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-17 00:00:00.000000,0.01489774,0.06004642,0.15440455,1,4,10,0,2,6,0.00841068,0.03853723,0.09937987,0.41680387,0.55400123,0.78550550
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-18 00:00:00.000000,0.01477841,0.06320818,0.16266662,1,4,11,0,2,7,0.00812233,0.04105937,0.10535764,0.40602932,0.54150626,0.74823649
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-19 00:00:00.000000,0.01428875,0.06304448,0.16926137,0,4,11,0,2,7,0.00786020,0.04167018,0.11064687,0.36927330,0.52713211,0.73808118
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-20 00:00:00.000000,0.01385873,0.06294420,0.17768450,0,4,12,0,2,7,0.00763174,0.04118391,0.11561880,0.32866083,0.51468327,0.66805777
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-21 00:00:00.000000,0.01348295,0.06050622,0.18682442,0,4,12,0,2,8,0.00742571,0.03943911,0.12183171,0.31497375,0.50207226,0.66522845
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-22 00:00:00.000000,0.01315542,0.05823686,0.19578417,0,3,13,0,2,8,0.00724358,0.03801466,0.12805249,0.31342946,0.49307565,0.66471158
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-23 00:00:00.000000,0.01288148,0.05684598,0.20457768,0,3,14,0,2,9,0.00725976,0.03790244,0.13412002,0.31318939,0.48176029,0.66231155
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-24 00:00:00.000000,0.01265764,0.05532508,0.21321200,0,3,14,0,2,9,0.00762589,0.03712864,0.14007309,0.31312390,0.47642944,0.65670066
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-25 00:00:00.000000,0.01247169,0.05333569,0.22139049,0,3,15,0,2,10,0.00799238,0.03498171,0.14593104,0.30390940,0.46246658,0.65399820
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-26 00:00:00.000000,0.01230832,0.05251311,0.22829628,0,3,15,0,2,10,0.00763029,0.03336904,0.15145064,0.28832353,0.45824175,0.65915496
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-27 00:00:00.000000,0.01188916,0.05145447,0.23271131,0,3,15,0,2,10,0.00699651,0.03276774,0.15600751,0.28927164,0.45086663,0.66022271
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-28 00:00:00.000000,0.01163578,0.05189233,0.23391806,0,3,16,0,2,10,0.00652060,0.03219016,0.15872013,0.28070886,0.43243111,0.61288471
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-29 00:00:00.000000,0.01078185,0.05142995,0.23237480,0,3,15,0,2,11,0.00611791,0.03197854,0.16573573,0.27603550,0.42942403,0.60480022
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-30 00:00:00.000000,0.00985428,0.05021816,0.24062104,0,3,16,0,2,11,0.00560414,0.03249302,0.17501419,0.27133496,0.42341411,0.58889480
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-03-31 00:00:00.000000,0.00895073,0.04984286,0.25374468,0,3,17,0,2,12,0.00522434,0.03170144,0.18474237,0.26629422,0.41548812,0.57774661
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-01 00:00:00.000000,0.00832236,0.05026460,0.25539952,0,3,17,0,2,12,0.00487088,0.03090804,0.18769079,0.25817484,0.40673331,0.57317084
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-02 00:00:00.000000,0.00775858,0.04886662,0.24422615,0,3,16,0,2,12,0.00454142,0.03035469,0.17946990,0.25100581,0.39896874,0.56563639
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-03 00:00:00.000000,0.00722931,0.04647524,0.23358693,0,3,16,0,2,11,0.00423391,0.03057874,0.17162123,0.24566241,0.39428270,0.55660563
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-04 00:00:00.000000,0.00637799,0.04301603,0.22338460,0,2,15,0,2,11,0.00379763,0.03045271,0.16593605,0.24233318,0.39881058,0.54848937
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-05 00:00:00.000000,0.00587833,0.04098805,0.21491147,0,2,14,0,2,10,0.00333638,0.02998995,0.16016804,0.24076418,0.39771354,0.54181889
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-06 00:00:00.000000,0.00542375,0.03967334,0.20660785,0,2,14,0,1,10,0.00307906,0.02813183,0.15200119,0.24009138,0.38913780,0.53499236
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-07 00:00:00.000000,0.00500836,0.03733916,0.19943758,0,2,13,0,1,10,0.00284356,0.02610024,0.14697217,0.22948916,0.37725427,0.51769373
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-08 00:00:00.000000,0.00462750,0.03564115,0.19236209,0,2,13,0,1,9,0.00261213,0.02408518,0.14188207,0.23048250,0.37083642,0.50717234
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-09 00:00:00.000000,0.00400521,0.03299406,0.18545469,0,2,12,0,1,9,0.00222979,0.02222226,0.13685357,0.23560054,0.36222288,0.50322809
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-10 00:00:00.000000,0.00341479,0.03099543,0.17874711,0,2,12,0,1,9,0.00190209,0.02062331,0.13193846,0.23425771,0.35883803,0.51299056
20167,0,USKansasRussell,Kansas,Russell,2020-10-02 08:28:06.436323,2020-04-11 00:00:00.000000,0.00290980,0.02978960,0.17225654,0,2,11,0,1,8,0.00162152,0.01974364,0.12716585,0.23200597,0.34670391,0.52482284
