FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-09 00:00:00.000000,0.03035890,0.11604495,0.27218983,1,5,13,0,2,7,0.01060636,0.05638608,0.15147323,0.44265186,0.55118998,0.71909039
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-10 00:00:00.000000,0.02742699,0.10313906,0.24375983,1,4,11,0,3,7,0.01707549,0.06542367,0.15704321,0.44265488,0.55112450,0.71898891
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-11 00:00:00.000000,0.02740890,0.10492534,0.24833578,1,5,11,0,3,7,0.01676135,0.06437183,0.16290483,0.44266018,0.54864981,0.71878274
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-12 00:00:00.000000,0.02652034,0.10376151,0.25035341,1,5,12,0,3,8,0.01656350,0.06348876,0.16630094,0.44266943,0.54560273,0.71836455
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-13 00:00:00.000000,0.02598424,0.10382928,0.25804878,1,5,12,0,2,8,0.01613140,0.06209294,0.16898008,0.44268544,0.54225715,0.71751905
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-14 00:00:00.000000,0.02536243,0.10214855,0.26916014,1,4,12,0,3,8,0.01578079,0.06494651,0.17172823,0.44271270,0.54123767,0.71582142
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-15 00:00:00.000000,0.02477960,0.10281972,0.27348570,1,4,13,0,3,8,0.01541188,0.06440862,0.17425154,0.44161113,0.53935805,0.71246082
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-16 00:00:00.000000,0.02418140,0.10329040,0.27633158,1,4,13,0,3,8,0.01505254,0.06340076,0.17645211,0.42604636,0.53913219,0.70599281
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-17 00:00:00.000000,0.02355528,0.10484301,0.28172280,1,5,13,0,3,8,0.01468356,0.06451085,0.17805917,0.41865763,0.53800407,0.68365055
20171,0,USKansasScott,Kansas,Scott,2020-09-29 07:09:51.479455,2020-03-18 00:00:00.000000,0.02285090,0.10431583,0.28842174,1,5,13,0,3,8,0.01428759,0.06654450,0.17873589,0.41763436,0.52619349,0.67659330
