FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-09 00:00:00.000000,0.00536630,0.02812909,0.09292341,1,6,21,0,3,11,0.00212866,0.01360761,0.05246413,0.35958544,0.58435089,0.81102116
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-10 00:00:00.000000,0.00411528,0.02597059,0.09288711,0,5,21,0,3,11,0.00237904,0.01561623,0.05105053,0.35868314,0.58425766,0.81048567
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-11 00:00:00.000000,0.00355986,0.02581832,0.09063434,0,5,20,0,3,11,0.00210219,0.01479401,0.05090893,0.35742531,0.58403299,0.80960967
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-12 00:00:00.000000,0.00336396,0.02495204,0.08892828,0,5,20,0,3,11,0.00207829,0.01423205,0.05108826,0.35573393,0.58349335,0.80818052
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-13 00:00:00.000000,0.00339677,0.02426990,0.08805549,0,5,20,0,3,11,0.00202450,0.01412304,0.04985847,0.35356641,0.58220696,0.80585941
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-14 00:00:00.000000,0.00336066,0.02337433,0.08538819,0,5,19,0,3,11,0.00202769,0.01375588,0.04841052,0.35095358,0.58195412,0.80211715
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-15 00:00:00.000000,0.00334785,0.02310199,0.08251106,0,5,18,0,3,10,0.00201200,0.01388361,0.04681461,0.34825995,0.58198785,0.79615462
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-16 00:00:00.000000,0.00820892,0.02944074,0.08448905,1,6,19,0,3,10,0.00200247,0.01404194,0.04515984,0.34778400,0.57998704,0.78683197
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-17 00:00:00.000000,0.01153210,0.03483132,0.08638218,2,7,19,1,4,11,0.00496740,0.01948267,0.04911971,0.34685061,0.57216201,0.77267802
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-18 00:00:00.000000,0.01363779,0.04335488,0.09039276,3,9,20,1,5,12,0.00647419,0.02317332,0.05334518,0.34496546,0.55558076,0.75212310
20191,0,USKansasSumner,Kansas,Sumner,2020-08-10 00:23:22.209711,2020-03-19 00:00:00.000000,0.01678346,0.05017341,0.10790136,3,11,24,1,6,13,0.00796675,0.02746355,0.06044183,0.34120745,0.53846456,0.72412603
