FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-09 00:00:00.000000,0.00055081,0.00378586,0.01217205,0,5,16,0,2,8,0.00024931,0.00160021,0.00662245,0.48133812,0.66121157,0.90282127
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-10 00:00:00.000000,0.00053893,0.00369530,0.01298025,0,4,17,0,2,9,0.00028717,0.00173974,0.00695400,0.48138785,0.66121110,0.90255422
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-11 00:00:00.000000,0.00054985,0.00394507,0.01375972,0,5,18,0,2,9,0.00030662,0.00189656,0.00745358,0.48146695,0.66120993,0.90207130
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-12 00:00:00.000000,0.00057043,0.00410041,0.01347173,0,5,17,0,2,10,0.00031269,0.00211822,0.00752211,0.48159291,0.66120705,0.90126700
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-13 00:00:00.000000,0.00058768,0.00430293,0.01356862,0,5,18,0,2,10,0.00032102,0.00215559,0.00757635,0.48179384,0.66119994,0.90069193
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-14 00:00:00.000000,0.00064292,0.00448397,0.01378895,0,5,18,0,2,10,0.00032712,0.00220437,0.00775599,0.48211546,0.66118242,0.89958513
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-15 00:00:00.000000,0.00070354,0.00459673,0.01416391,0,6,18,0,3,10,0.00033306,0.00228718,0.00799160,0.48263389,0.66113944,0.89836710
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-16 00:00:00.000000,0.00186500,0.00593228,0.01630626,2,7,21,0,3,11,0.00033852,0.00230674,0.00828767,0.48348111,0.66103583,0.90139494
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-17 00:00:00.000000,0.00275077,0.00747589,0.01957627,3,9,26,1,4,13,0.00105167,0.00317946,0.01019604,0.48490269,0.65913925,0.89586668
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-18 00:00:00.000000,0.00337862,0.00913798,0.02391020,4,12,31,1,5,15,0.00142199,0.00386723,0.01157132,0.48739595,0.66055592,0.90830763
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-19 00:00:00.000000,0.00381595,0.01063175,0.02843346,5,14,37,2,6,17,0.00161994,0.00452763,0.01312652,0.49129563,0.66435308,0.91586233
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-20 00:00:00.000000,0.00425541,0.01186879,0.03310616,5,15,44,2,7,19,0.00190046,0.00530762,0.01465054,0.48161387,0.67304890,0.91050036
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-21 00:00:00.000000,0.00470044,0.01331154,0.03786794,6,17,50,2,7,21,0.00211672,0.00598396,0.01620372,0.46189449,0.66251108,0.98892221
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-22 00:00:00.000000,0.00516008,0.01482962,0.04201173,6,19,56,3,8,24,0.00233704,0.00662905,0.01831143,0.44784729,0.65528126,0.99183594
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-23 00:00:00.000000,0.00641570,0.01741915,0.04618683,8,23,61,3,9,28,0.00256786,0.00733157,0.02120727,0.44503879,0.67382169,0.99318027
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-24 00:00:00.000000,0.00775797,0.02009450,0.04965923,10,26,66,3,11,32,0.00286911,0.00853017,0.02414703,0.44505034,0.67767760,0.99372581
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-25 00:00:00.000000,0.00982458,0.02281781,0.05316365,13,30,71,4,12,36,0.00336136,0.00956086,0.02720782,0.45348311,0.67580037,1.04113970
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-26 00:00:00.000000,0.01113052,0.02637579,0.05686735,14,35,75,5,14,40,0.00390470,0.01095332,0.03044415,0.45691449,0.68138308,1.13013516
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-27 00:00:00.000000,0.01235984,0.02937746,0.06101437,16,39,81,6,16,45,0.00478533,0.01272065,0.03389869,0.45687900,0.68289609,1.14005560
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-28 00:00:00.000000,0.01334791,0.03300769,0.06631564,17,44,88,7,19,50,0.00569635,0.01444192,0.03760322,0.45653962,0.70352594,1.14021356
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-29 00:00:00.000000,0.01432260,0.03704929,0.07577986,19,49,101,8,21,55,0.00663654,0.01576268,0.04158397,0.45949273,0.72156164,1.13952907
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-30 00:00:00.000000,0.01718703,0.04311152,0.08452313,22,57,112,10,23,61,0.00758984,0.01771708,0.04586375,0.45576423,0.72606053,1.14038289
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-03-31 00:00:00.000000,0.01934267,0.04755896,0.09447324,25,63,126,11,27,66,0.00833874,0.02025438,0.05004085,0.44915649,0.72624742,1.14498223
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-01 00:00:00.000000,0.02119048,0.05220527,0.10526755,28,69,140,13,30,72,0.01010368,0.02250583,0.05454974,0.45420433,0.73099616,1.18196850
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-02 00:00:00.000000,0.02334409,0.05720793,0.11700622,31,76,156,14,34,79,0.01069848,0.02618964,0.05940069,0.45678795,0.72749846,1.18590835
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-03 00:00:00.000000,0.02556359,0.06388993,0.12934842,34,85,172,15,39,86,0.01171047,0.02969360,0.06462090,0.45926557,0.72884780,1.17314938
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-04 00:00:00.000000,0.02800737,0.06998822,0.14234186,37,93,190,17,43,93,0.01291949,0.03219078,0.07023561,0.45322345,0.72574578,1.21662682
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-05 00:00:00.000000,0.03108478,0.07786338,0.15626183,41,104,208,18,46,101,0.01378968,0.03513320,0.07625947,0.46781550,0.72981339,1.22419070
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-06 00:00:00.000000,0.03755186,0.08504261,0.17079736,50,113,228,19,50,110,0.01483873,0.03773291,0.08266197,0.49323990,0.72858203,1.22421523
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-07 00:00:00.000000,0.04140228,0.09178028,0.18657170,55,122,249,22,58,120,0.01656772,0.04364615,0.09056124,0.50030957,0.72737283,1.25429588
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-08 00:00:00.000000,0.04493866,0.09668209,0.20362263,60,129,272,24,64,134,0.01834130,0.04832960,0.10062506,0.50286010,0.71877587,1.25574456
21015,0,USKentuckyBoone,Kentucky,Boone,2020-08-31 18:58:17.710154,2020-04-09 00:00:00.000000,0.04846466,0.10250621,0.22206714,64,136,296,26,71,146,0.02017847,0.05333996,0.10955872,0.48745491,0.70817973,1.27640914
