FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-09 00:00:00.000000,0.00373219,0.03757871,0.14143865,0,4,18,0,2,8,0.00176111,0.01841739,0.06654489,0.55975845,0.74160309,0.96739246
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-10 00:00:00.000000,0.00434096,0.04390438,0.15613012,0,5,20,0,2,9,0.00205223,0.01985983,0.07107271,0.55976153,0.74160313,0.96739910
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-11 00:00:00.000000,0.00513424,0.05060343,0.17128867,0,6,22,0,2,9,0.00241654,0.02237457,0.07189581,0.55976652,0.74160324,0.96741804
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-12 00:00:00.000000,0.00607766,0.05919743,0.18733935,0,7,24,0,3,9,0.00283245,0.02512903,0.07480397,0.55977407,0.74160344,0.96747205
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-13 00:00:00.000000,0.00715395,0.06734195,0.20414794,0,8,26,0,3,10,0.00329635,0.02861504,0.07902228,0.55978374,0.74160389,0.96762574
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-14 00:00:00.000000,0.00836586,0.07605431,0.21905479,1,9,28,0,4,10,0.00387698,0.03251302,0.08413131,0.55978955,0.74160487,0.96806153
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-15 00:00:00.000000,0.00961620,0.08565031,0.23505714,1,11,30,0,4,12,0.00445409,0.03719524,0.09585157,0.55976425,0.74160710,0.96928555
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-16 00:00:00.000000,0.02407845,0.12049336,0.27471856,3,15,35,0,5,14,0.00511749,0.04227509,0.11155928,0.55960682,0.74161244,0.97263657
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-17 00:00:00.000000,0.03401840,0.14880661,0.30918267,4,19,39,1,6,17,0.01050484,0.05117536,0.13245700,0.55898119,0.74162588,0.98120770
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-18 00:00:00.000000,0.04669064,0.17728639,0.36257823,6,22,46,2,8,20,0.01663890,0.06409342,0.15771742,0.55934091,0.73570992,0.99979348
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-19 00:00:00.000000,0.06123697,0.21023913,0.42126136,7,27,54,2,10,23,0.02272055,0.08157946,0.17914769,0.56790985,0.73925265,1.02879130
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-20 00:00:00.000000,0.07747049,0.24382963,0.48602727,9,31,62,3,12,25,0.03098944,0.09854907,0.19874385,0.54886662,0.73824662,1.02099555
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-21 00:00:00.000000,0.09569620,0.29068105,0.56502229,12,37,72,5,15,28,0.04043412,0.12210986,0.22243639,0.53286031,0.74237404,1.00392831
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-22 00:00:00.000000,0.11619316,0.35263860,0.66196217,14,45,85,6,18,33,0.05067278,0.14457411,0.26333397,0.51833393,0.74642546,1.04314633
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-23 00:00:00.000000,0.13521052,0.42012335,0.73297643,17,54,94,7,21,38,0.06180078,0.17049087,0.30118133,0.51423551,0.73294053,1.08674304
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-24 00:00:00.000000,0.16622460,0.46906390,0.84421709,21,60,108,9,25,45,0.07538328,0.19604693,0.35003157,0.52241613,0.73234928,1.08831696
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-25 00:00:00.000000,0.20390988,0.53789621,0.96488751,26,69,124,11,29,52,0.09249364,0.23231458,0.40590945,0.52185432,0.73457476,1.08863895
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-26 00:00:00.000000,0.24921888,0.61195603,1.09450665,32,78,140,14,35,60,0.11419478,0.27765816,0.46986481,0.52368505,0.74020754,1.08730404
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-27 00:00:00.000000,0.29193285,0.71272383,1.23206005,37,91,158,18,41,72,0.14013240,0.32012354,0.56603966,0.52509411,0.74426268,1.07394889
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-28 00:00:00.000000,0.32898511,0.81647192,1.44584627,42,105,186,22,46,85,0.17140098,0.36233266,0.66077384,0.52249675,0.74687185,1.02621192
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-29 00:00:00.000000,0.37001251,0.94951249,1.64270896,47,122,211,25,53,95,0.19643381,0.41312322,0.73946658,0.50751980,0.73957981,1.04225458
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-30 00:00:00.000000,0.42251663,1.08884201,1.81810904,54,140,234,28,61,106,0.22256969,0.48134502,0.82316655,0.49405426,0.72381529,1.05157287
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-03-31 00:00:00.000000,0.51148979,1.21668011,2.00707516,65,156,258,32,70,121,0.25266543,0.54520400,0.94144335,0.48570492,0.72607003,1.05416009
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-04-01 00:00:00.000000,0.61247999,1.38417443,2.34597101,78,178,302,37,78,138,0.28739181,0.60915109,1.07566111,0.48428259,0.72983383,1.05256739
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-04-02 00:00:00.000000,0.69563067,1.57231497,2.72451032,89,202,350,42,90,158,0.32801877,0.70486800,1.23350327,0.54703445,0.73974896,1.04754521
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-04-03 00:00:00.000000,0.78853866,1.79619893,3.03255495,101,231,390,48,106,180,0.37274263,0.82325340,1.40481793,0.54864373,0.73123517,1.05016338
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-04-04 00:00:00.000000,0.88963953,2.09573921,3.44091011,114,269,443,54,121,207,0.42297813,0.94367452,1.61051177,0.55739425,0.71871660,1.04921150
21031,0,USKentuckyButler,Kentucky,Butler,2020-10-11 18:40:19.105068,2020-04-05 00:00:00.000000,0.99709889,2.33541327,3.90833785,128,300,503,61,135,239,0.47834514,1.05298280,1.86010255,0.53296723,0.72508649,1.02054269
