FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-09 00:00:00.000000,0.00612097,0.02347890,0.07281121,1,6,19,0,2,9,0.00161609,0.01053376,0.03694657,0.42627551,0.59048554,0.78097590
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-10 00:00:00.000000,0.00458321,0.02040585,0.06233256,1,5,16,0,2,9,0.00229598,0.01091171,0.03655830,0.42627154,0.59048553,0.78097551
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-11 00:00:00.000000,0.00464713,0.02015702,0.06110839,1,5,16,0,2,9,0.00209557,0.01033546,0.03574504,0.42626232,0.59048548,0.78097468
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-12 00:00:00.000000,0.00457760,0.01897892,0.05980298,1,5,16,0,2,9,0.00212489,0.00985396,0.03501501,0.42624093,0.59045761,0.78097286
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-13 00:00:00.000000,0.00449861,0.01765856,0.05856277,1,4,15,0,2,9,0.00205702,0.00952127,0.03422929,0.42619131,0.59036848,0.78096891
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-14 00:00:00.000000,0.00441487,0.01675650,0.05735402,1,4,15,0,2,8,0.00204471,0.00892896,0.03325523,0.42607629,0.59018329,0.78096028
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-15 00:00:00.000000,0.00413146,0.01601117,0.05617973,1,4,15,0,2,8,0.00200963,0.00818419,0.03227964,0.42581020,0.58979295,0.78094110
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-16 00:00:00.000000,0.00573308,0.02053228,0.06083977,1,5,16,0,2,8,0.00194311,0.00785236,0.03131622,0.42519726,0.58894164,0.78089695
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-17 00:00:00.000000,0.00827007,0.02476178,0.06817819,2,6,18,0,3,9,0.00364885,0.01148941,0.03368091,0.42379796,0.58738682,0.77889596
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-18 00:00:00.000000,0.01145943,0.03141769,0.07342338,3,8,19,1,3,10,0.00479307,0.01475014,0.03776204,0.42065739,0.58161530,0.77274159
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-19 00:00:00.000000,0.01440106,0.03510612,0.07829931,3,9,20,1,4,11,0.00612575,0.01770515,0.04392629,0.40419886,0.56771792,0.76165018
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-20 00:00:00.000000,0.01480438,0.03865496,0.09483144,3,10,25,1,5,12,0.00735217,0.02000874,0.04719852,0.35910525,0.54007147,0.74459075
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-21 00:00:00.000000,0.01628715,0.04121303,0.10871408,4,11,29,2,5,14,0.00851473,0.02144261,0.05401756,0.33893327,0.51643747,0.72982557
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-22 00:00:00.000000,0.01604162,0.04451094,0.12000486,4,11,32,2,6,16,0.00888008,0.02323674,0.06188528,0.32591985,0.49709818,0.70399038
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-23 00:00:00.000000,0.01903958,0.04654572,0.12686767,5,12,33,2,6,18,0.00901193,0.02464789,0.06865807,0.31920314,0.48091466,0.68906382
21043,0,USKentuckyCarter,Kentucky,Carter,2020-10-02 08:16:07.498729,2020-03-24 00:00:00.000000,0.02258265,0.04923607,0.13232860,6,13,35,3,7,19,0.01131773,0.02723711,0.07105962,0.31317822,0.46960714,0.67755632
