FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-09 00:00:00.000000,0.01045379,0.10865613,0.82348139,1,17,132,0,1,24,0.00000000,0.00936688,0.14960741,0.58819100,0.80812594,1.03793951
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-10 00:00:00.000000,0.01962594,0.12242116,0.94678452,3,19,152,0,2,16,0.00206834,0.01771858,0.10072401,0.58819251,0.80812592,1.03793899
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-11 00:00:00.000000,0.01747667,0.11287599,0.80234010,2,18,129,0,1,13,0.00125033,0.01010717,0.08622798,0.58819587,0.80812586,1.03793791
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-12 00:00:00.000000,0.02140903,0.14130907,0.92870141,3,22,149,0,2,13,0.00214333,0.01593629,0.08130908,0.58820333,0.80812565,1.03793569
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-13 00:00:00.000000,0.02204621,0.12812523,0.79585921,3,20,128,0,1,12,0.00144389,0.01133390,0.07908572,0.58821996,0.80812495,1.03793103
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-14 00:00:00.000000,0.02267767,0.15670758,0.92694288,3,25,149,0,3,12,0.00224397,0.01864588,0.07888765,0.58825705,0.80812258,1.03792036
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-15 00:00:00.000000,0.02330462,0.16097972,0.80452160,3,25,129,0,2,13,0.00193084,0.01313165,0.08298103,0.58833999,0.80811460,1.03788859
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-16 00:00:00.000000,0.02392758,0.16814433,0.93999914,3,27,151,0,3,14,0.00235720,0.01952804,0.08866412,0.58852625,0.80808763,1.03773487
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-17 00:00:00.000000,0.02454673,0.17335377,0.86274953,3,27,139,0,2,15,0.00241760,0.01556979,0.09470972,0.57547329,0.80799665,1.03946906
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-18 00:00:00.000000,0.02516261,0.18345352,0.96549551,4,29,155,0,3,16,0.00248017,0.02083878,0.10119539,0.57073488,0.81319542,1.04496811
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-19 00:00:00.000000,0.02576238,0.19023390,0.92966544,4,30,149,0,2,17,0.00254467,0.01753859,0.11054278,0.55077692,0.80666629,1.05473630
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-20 00:00:00.000000,0.02632179,0.20541188,0.99804188,4,33,160,0,3,19,0.00261101,0.02279626,0.12067773,0.53176179,0.77388871,1.10271944
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-21 00:00:00.000000,0.02688525,0.20145546,1.00799057,4,32,162,0,3,21,0.00267926,0.01905701,0.13149683,0.49933086,0.78673510,1.15853425
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-22 00:00:00.000000,0.02744893,0.22026156,1.05346941,4,35,169,0,4,22,0.00274970,0.02593221,0.14127056,0.49126996,0.78096287,1.24235855
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-23 00:00:00.000000,0.02800972,0.21577015,1.10318522,4,34,177,0,3,23,0.00282223,0.02081587,0.14760216,0.48790208,0.77118740,1.23032843
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-24 00:00:00.000000,0.02856655,0.23846613,1.15648812,4,38,186,0,4,24,0.00289649,0.02943733,0.15423615,0.48632779,0.77955307,1.23546710
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-25 00:00:00.000000,0.02914069,0.23317173,1.21296785,4,37,195,0,3,25,0.00297224,0.02349167,0.16118384,0.46501110,0.76532528,1.22120351
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-26 00:00:00.000000,0.03017928,0.26207838,1.26394207,4,42,203,0,5,27,0.00308907,0.03323452,0.16844923,0.45291852,0.75922117,1.17476205
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-27 00:00:00.000000,0.03079482,0.25368708,1.31250970,4,40,211,0,4,28,0.00328271,0.02573258,0.17600236,0.43029117,0.75706126,1.12919934
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-28 00:00:00.000000,0.03141573,0.29034618,1.36530616,5,46,220,0,5,29,0.00337217,0.03449463,0.18382596,0.41738891,0.74371225,1.11262690
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-29 00:00:00.000000,0.03208581,0.27832649,1.42177769,5,44,229,0,4,30,0.00344155,0.02755151,0.19194152,0.40710953,0.73253375,1.10431245
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-30 00:00:00.000000,0.03281792,0.32191937,1.51270278,5,51,243,0,6,32,0.00351442,0.03762900,0.20037634,0.39665199,0.73372475,1.09689441
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-03-31 00:00:00.000000,0.03359837,0.30610838,1.61619447,5,49,260,0,5,33,0.00359184,0.03150533,0.20915262,0.39438042,0.73393770,1.09718469
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-01 00:00:00.000000,0.03438732,0.34378978,1.72636860,5,55,278,0,6,35,0.00367327,0.04283357,0.21829192,0.36169162,0.72841035,1.10162744
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-02 00:00:00.000000,0.03515529,0.33497800,1.84384035,5,54,297,0,5,36,0.00375755,0.03557026,0.22781410,0.34734652,0.73375694,1.15294401
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-03 00:00:00.000000,0.03591487,0.36776237,1.96897036,5,59,317,0,7,38,0.00384529,0.04753641,0.23773573,0.34978567,0.74006823,1.19089686
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-04 00:00:00.000000,0.03668188,0.36512874,2.09904570,5,58,338,0,6,40,0.00393147,0.03855491,0.24807142,0.35513641,0.75302348,1.15784125
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-05 00:00:00.000000,0.03746072,0.39402042,2.22307144,6,63,358,0,8,41,0.00401591,0.05066622,0.25883498,0.36335620,0.76343362,1.20295032
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-06 00:00:00.000000,0.03824908,0.40055994,2.35136826,6,64,379,0,6,43,0.00410166,0.04240142,0.27259568,0.37900434,0.77041161,1.20165826
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-07 00:00:00.000000,0.03903813,0.43387310,2.48772243,6,69,401,0,8,46,0.00418863,0.05405552,0.29048808,0.39638468,0.77153018,1.19661045
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-08 00:00:00.000000,0.03980766,0.43546787,2.63262149,6,70,424,0,7,49,0.00427626,0.04725314,0.30922546,0.39522189,0.76866904,1.18482781
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-09 00:00:00.000000,0.04051952,0.47437181,2.78625307,6,76,449,0,9,53,0.00436321,0.05775713,0.32885491,0.39149483,0.77062283,1.17199376
21103,0,USKentuckyHenry,Kentucky,Henry,2020-07-18 15:13:31.800032,2020-04-10 00:00:00.000000,0.04112300,0.48364559,2.94878571,6,77,475,0,8,56,0.00444690,0.05269577,0.34944058,0.38470044,0.75434758,1.16265619
