FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-09 00:00:00.000000,0.03384856,0.21687188,0.59706442,1,9,26,0,2,10,0.00586822,0.05671921,0.24922260,0.51470303,0.75696953,1.09624271
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-10 00:00:00.000000,0.02201192,0.14293596,0.49593838,0,6,21,0,2,5,0.01136064,0.05579960,0.13430490,0.51469761,0.75697087,1.09624188
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-11 00:00:00.000000,0.02322383,0.11726139,0.32450898,1,5,14,0,1,5,0.00446417,0.03570088,0.12925796,0.51468946,0.75697285,1.09624080
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-12 00:00:00.000000,0.01386605,0.08317769,0.24653366,0,3,10,0,1,3,0.00536859,0.03015199,0.07810918,0.51467741,0.75697578,1.09623927
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-13 00:00:00.000000,0.01275992,0.06217929,0.18535952,0,2,8,0,0,2,0.00298658,0.01951619,0.06206041,0.51466024,0.75702102,1.09623696
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-14 00:00:00.000000,0.00752503,0.04234956,0.13256809,0,1,5,0,0,1,0.00242030,0.01592455,0.04423741,0.51463776,0.75719615,1.09623310
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-15 00:00:00.000000,0.00543102,0.03370458,0.10313723,0,1,4,0,0,1,0.00154522,0.01032187,0.03328534,0.51461464,0.75770039,1.09622604
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-16 00:00:00.000000,0.00341386,0.02480090,0.07146940,0,1,3,0,0,1,0.00106139,0.00854137,0.02473365,0.51691786,0.75885916,1.09621204
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-17 00:00:00.000000,0.00208972,0.01890719,0.05779191,0,0,2,0,0,0,0.00065196,0.00563377,0.01838256,0.51647825,0.76362315,1.09618229
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-18 00:00:00.000000,0.00129566,0.01285570,0.04556825,0,0,1,0,0,0,0.00042486,0.00455718,0.01503600,0.52296499,0.76415465,1.09611387
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-19 00:00:00.000000,0.00092829,0.00971328,0.03852589,0,0,1,0,0,0,0.00029523,0.00314467,0.01064533,0.51377219,0.77362272,1.09593419
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-20 00:00:00.000000,0.00067029,0.00673184,0.02969828,0,0,1,0,0,0,0.00019754,0.00225314,0.01000493,0.51325337,0.74939596,1.09534463
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-21 00:00:00.000000,0.00042027,0.00484684,0.02401874,0,0,1,0,0,0,0.00012915,0.00154819,0.00697592,0.49649613,0.74131271,1.10531271
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-22 00:00:00.000000,0.00025259,0.00344100,0.01948859,0,0,0,0,0,0,0.00008129,0.00115912,0.00643644,0.49601046,0.73791070,1.10442705
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-23 00:00:00.000000,0.00016532,0.00246999,0.01594682,0,0,0,0,0,0,0.00005387,0.00081310,0.00457228,0.49576307,0.73564443,1.12417284
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-24 00:00:00.000000,0.00011555,0.00187527,0.01324591,0,0,0,0,0,0,0.00003722,0.00061560,0.00373566,0.49555859,0.74121445,1.13781849
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-25 00:00:00.000000,0.00007991,0.00137432,0.01047837,0,0,0,0,0,0,0.00002523,0.00045301,0.00316688,0.49535179,0.73793981,1.17651196
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-26 00:00:00.000000,0.00005430,0.00099278,0.00812903,0,0,0,0,0,0,0.00001718,0.00034413,0.00253607,0.49631647,0.74231215,1.18482766
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-27 00:00:00.000000,0.00003706,0.00068057,0.00628244,0,0,0,0,0,0,0.00001170,0.00023877,0.00198990,0.50231389,0.74398052,1.18501988
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-28 00:00:00.000000,0.00002269,0.00051299,0.00509703,0,0,0,0,0,0,0.00000728,0.00017191,0.00161816,0.47398135,0.73724153,1.18505854
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-29 00:00:00.000000,0.00001373,0.00036348,0.00413831,0,0,0,0,0,0,0.00000431,0.00011894,0.00126543,0.42789376,0.72702589,1.19338392
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-30 00:00:00.000000,0.00000847,0.00026581,0.00303378,0,0,0,0,0,0,0.00000282,0.00008777,0.00091400,0.41116667,0.72784190,1.19839578
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-03-31 00:00:00.000000,0.00000576,0.00020227,0.00220213,0,0,0,0,0,0,0.00000184,0.00006485,0.00070047,0.40706692,0.72390931,1.21325154
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-01 00:00:00.000000,0.00000382,0.00014963,0.00173696,0,0,0,0,0,0,0.00000126,0.00004920,0.00053191,0.40704087,0.72263633,1.23903686
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-02 00:00:00.000000,0.00000258,0.00010790,0.00140443,0,0,0,0,0,0,0.00000083,0.00003571,0.00042963,0.40879047,0.72214020,1.23920824
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-03 00:00:00.000000,0.00000171,0.00007390,0.00113580,0,0,0,0,0,0,0.00000055,0.00002430,0.00034704,0.42713466,0.71533625,1.23351801
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-04 00:00:00.000000,0.00000111,0.00005117,0.00091878,0,0,0,0,0,0,0.00000036,0.00001726,0.00028027,0.45987561,0.70889425,1.19690743
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-05 00:00:00.000000,0.00000072,0.00003644,0.00074340,0,0,0,0,0,0,0.00000023,0.00001202,0.00022631,0.43788478,0.70080496,1.21428393
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-06 00:00:00.000000,0.00633305,0.01637410,0.03847617,0,0,1,0,0,0,0.00000014,0.00000867,0.00018273,0.43826591,0.70324604,1.24497678
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-07 00:00:00.000000,0.01254784,0.03263083,0.07510753,0,1,3,0,0,1,0.00587766,0.01476300,0.03243203,0.44488838,0.70626723,1.31037390
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-08 00:00:00.000000,0.02078701,0.05603710,0.12036884,0,2,5,0,0,1,0.00661572,0.01679790,0.03639189,0.44944135,0.70335034,1.38732191
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-09 00:00:00.000000,0.02338527,0.06645967,0.15041511,1,2,6,0,1,2,0.00840492,0.02369858,0.04986362,0.44619477,0.69970141,1.39210491
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-10 00:00:00.000000,0.02680698,0.07715255,0.17786624,1,3,7,0,1,2,0.00889754,0.02550612,0.05550818,0.44381779,0.70136496,1.39673269
21105,0,USKentuckyHickman,Kentucky,Hickman,2020-08-10 00:20:01.795271,2020-04-11 00:00:00.000000,0.02878724,0.08129700,0.19992207,1,3,8,0,1,2,0.00989461,0.02820381,0.06140486,0.44156881,0.70508824,1.40042914
