FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-09 00:00:00.000000,0.00498009,0.01535312,0.02749246,2,8,14,0,3,7,0.00137426,0.00599913,0.01325831,0.52078220,0.69526536,0.95296908
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-10 00:00:00.000000,0.00355361,0.01410633,0.02665251,1,7,14,1,3,7,0.00194910,0.00639109,0.01369569,0.52078203,0.69526536,0.95296835
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-11 00:00:00.000000,0.00360678,0.01403946,0.02508082,1,7,13,0,3,7,0.00172914,0.00645269,0.01355761,0.52078155,0.69526534,0.95296567
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-12 00:00:00.000000,0.00328952,0.01376007,0.02464406,1,7,13,0,3,7,0.00173237,0.00626231,0.01296945,0.52078015,0.69526522,0.95295564
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-13 00:00:00.000000,0.00297048,0.01353492,0.02494718,1,7,13,0,3,7,0.00157972,0.00611150,0.01321786,0.52077611,0.69526441,0.95291783
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-14 00:00:00.000000,0.00287669,0.01371889,0.02501327,1,7,13,0,3,7,0.00143786,0.00613788,0.01338687,0.52076443,0.69525915,0.95277483
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-15 00:00:00.000000,0.00268674,0.01348526,0.02539751,1,7,13,0,3,7,0.00142249,0.00601071,0.01343834,0.52073075,0.69522503,0.95223505
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-16 00:00:00.000000,0.00424575,0.01625361,0.03212894,2,8,17,0,3,7,0.00133429,0.00599528,0.01348823,0.52063374,0.69500730,0.95022955
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-17 00:00:00.000000,0.00566588,0.01796226,0.04095279,3,9,22,1,4,9,0.00280624,0.00815123,0.01714956,0.52035565,0.69375867,0.94322449
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-18 00:00:00.000000,0.00765792,0.02161962,0.05177490,4,11,28,1,5,12,0.00358208,0.00975438,0.02329604,0.50742786,0.68939691,0.92650075
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-19 00:00:00.000000,0.00918345,0.02504675,0.06692231,4,13,36,2,5,17,0.00447445,0.01088639,0.03169292,0.50577571,0.68444089,0.92591191
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-20 00:00:00.000000,0.01063763,0.02772504,0.08035867,5,15,43,2,6,21,0.00520463,0.01185873,0.03968536,0.49880525,0.66934234,0.90856692
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-21 00:00:00.000000,0.01137216,0.02996661,0.09290740,6,16,50,3,7,25,0.00587413,0.01319193,0.04765153,0.48684751,0.64536303,0.91380681
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-22 00:00:00.000000,0.01216105,0.03239001,0.10492888,6,17,56,3,7,30,0.00607413,0.01442277,0.05548051,0.47093878,0.63892874,0.90221918
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-23 00:00:00.000000,0.02125016,0.04290343,0.10852748,11,23,58,3,8,34,0.00655290,0.01585050,0.06321117,0.44691885,0.63247645,0.87499673
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-24 00:00:00.000000,0.02963943,0.05386702,0.11113095,16,29,60,6,13,34,0.01168359,0.02408565,0.06361142,0.43087327,0.62368198,0.87499094
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-25 00:00:00.000000,0.03438068,0.06518595,0.11858064,18,35,64,7,15,34,0.01402432,0.02909602,0.06448253,0.43051629,0.61587960,0.87476342
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-26 00:00:00.000000,0.03875056,0.07389365,0.12367523,20,39,66,8,18,34,0.01507562,0.03426456,0.06452103,0.42451311,0.61013734,0.87416670
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-27 00:00:00.000000,0.04035974,0.08339010,0.12620945,21,45,68,9,20,38,0.01774320,0.03874901,0.07157414,0.42413227,0.60424866,0.87269112
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-28 00:00:00.000000,0.04168014,0.09171195,0.14589057,22,49,78,10,22,38,0.01936783,0.04213131,0.07147597,0.41024616,0.59238942,0.86189819
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-29 00:00:00.000000,0.04173744,0.10049976,0.16506141,22,54,89,10,25,42,0.01893549,0.04632694,0.07870578,0.40257943,0.57798084,0.82162165
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-30 00:00:00.000000,0.04233719,0.10201202,0.17361226,22,55,93,10,27,47,0.01856831,0.05023439,0.08847155,0.38961044,0.57384533,0.79416657
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-03-31 00:00:00.000000,0.04239170,0.10212459,0.18052519,22,55,97,9,27,49,0.01815022,0.05048966,0.09127958,0.36932202,0.56880223,0.78625301
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-01 00:00:00.000000,0.04276986,0.10186676,0.17937110,23,55,97,9,27,49,0.01828298,0.05071227,0.09201521,0.34974704,0.56292036,0.78526269
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-02 00:00:00.000000,0.04151991,0.09997670,0.18168059,22,54,98,9,27,49,0.01829352,0.05018420,0.09227437,0.32140515,0.55039828,0.78452843
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-03 00:00:00.000000,0.03876624,0.09925415,0.17927209,20,53,97,9,26,50,0.01820784,0.04829946,0.09339029,0.32082986,0.54163216,0.77544757
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-04 00:00:00.000000,0.03638651,0.09521937,0.17582215,19,51,95,9,25,49,0.01767903,0.04739530,0.09173971,0.32200974,0.53269222,0.77372324
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-05 00:00:00.000000,0.03408630,0.09313430,0.17156156,18,50,92,9,25,48,0.01708620,0.04638895,0.08980313,0.32277757,0.52935357,0.77115993
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-06 00:00:00.000000,0.04086606,0.09527010,0.17184365,22,51,92,8,24,48,0.01654865,0.04538439,0.08987827,0.32303548,0.52035431,0.80603327
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-07 00:00:00.000000,0.04602949,0.09360443,0.17842015,24,50,96,11,24,51,0.02119305,0.04590156,0.09434600,0.31763975,0.52409153,0.84707212
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-08 00:00:00.000000,0.04887778,0.09648997,0.18615120,26,52,100,12,24,53,0.02227443,0.04439373,0.09831862,0.30929275,0.52440936,0.84724520
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-09 00:00:00.000000,0.05029189,0.09581415,0.18360349,27,51,99,12,24,51,0.02288444,0.04564543,0.09515876,0.30342770,0.52349681,0.83029599
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-10 00:00:00.000000,0.05125821,0.09722052,0.17725521,27,52,95,12,26,50,0.02247026,0.04941833,0.09245536,0.29684728,0.51170904,0.80381742
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-11 00:00:00.000000,0.05146301,0.09533538,0.17111179,27,51,92,12,25,50,0.02283325,0.04787540,0.09249761,0.29252273,0.48646433,0.76922591
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-12 00:00:00.000000,0.05141958,0.09797487,0.16444364,27,53,88,12,26,50,0.02363263,0.04826585,0.09301419,0.28782296,0.47976857,0.73004910
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-13 00:00:00.000000,0.04634203,0.09611873,0.15672802,25,52,84,12,26,49,0.02359071,0.04878769,0.09088192,0.27158405,0.46467557,0.69183545
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-14 00:00:00.000000,0.04538148,0.09258797,0.15313869,24,50,82,11,24,48,0.02171592,0.04503916,0.09014946,0.26955945,0.46217617,0.65914872
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-15 00:00:00.000000,0.04424583,0.08943998,0.14941826,23,48,80,10,23,48,0.02009742,0.04253869,0.08908316,0.26444550,0.45641152,0.66036631
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-16 00:00:00.000000,0.04049110,0.08673596,0.14443589,21,46,78,10,22,47,0.01862306,0.04065869,0.08803005,0.25513011,0.45237505,0.66386971
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-17 00:00:00.000000,0.03609779,0.08198631,0.13823383,19,44,74,9,20,43,0.01723401,0.03859564,0.07993052,0.25476166,0.45433483,0.66510738
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-18 00:00:00.000000,0.03216163,0.07809709,0.13171487,17,42,71,8,20,39,0.01612141,0.03720027,0.07222614,0.23650144,0.44331001,0.66178492
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-19 00:00:00.000000,0.02901914,0.07273606,0.12544692,15,39,67,8,18,36,0.01525969,0.03471939,0.06713354,0.22964127,0.43799377,0.66196583
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-20 00:00:00.000000,0.02782416,0.06823889,0.11537818,15,36,62,7,18,34,0.01312516,0.03350455,0.06425081,0.22728194,0.43983549,0.66140257
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-21 00:00:00.000000,0.02860173,0.06474183,0.10869493,15,35,58,7,17,32,0.01383659,0.03242077,0.05962532,0.22634862,0.44211368,0.67046453
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-22 00:00:00.000000,0.02938122,0.06338880,0.10526195,15,34,56,7,17,31,0.01429227,0.03146185,0.05815449,0.22585884,0.44110809,0.68853341
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-23 00:00:00.000000,0.02897275,0.06140752,0.10406100,15,33,56,7,16,30,0.01436890,0.03066555,0.05679538,0.22505267,0.44221666,0.69042045
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-24 00:00:00.000000,0.02809366,0.06005327,0.10525142,15,32,56,6,15,30,0.01284793,0.02940354,0.05553944,0.22411649,0.43690390,0.67170643
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-25 00:00:00.000000,0.02593096,0.05756513,0.11284404,14,31,61,6,15,30,0.01181232,0.02879350,0.05659212,0.22242749,0.44121529,0.64982228
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-26 00:00:00.000000,0.02652933,0.05452084,0.11973407,14,29,64,6,15,32,0.01221454,0.02851602,0.06006260,0.21746978,0.44440725,0.63545757
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-27 00:00:00.000000,0.02731020,0.05345836,0.11432578,14,28,61,6,14,31,0.01255479,0.02762089,0.05778184,0.21387166,0.45646062,0.63836536
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-28 00:00:00.000000,0.02776064,0.05292458,0.10838438,15,28,58,6,14,31,0.01277641,0.02656738,0.05849489,0.21230017,0.45967262,0.65646568
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-29 00:00:00.000000,0.02968437,0.05343910,0.10282337,16,28,55,7,13,29,0.01311702,0.02574674,0.05472598,0.21259736,0.45846332,0.66966382
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-04-30 00:00:00.000000,0.02871631,0.05284707,0.10417261,15,28,56,7,14,29,0.01296175,0.02646035,0.05420384,0.21976164,0.44200735,0.67655897
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-01 00:00:00.000000,0.02805131,0.05281354,0.10829329,15,28,58,7,14,30,0.01313519,0.02616565,0.05613087,0.21390021,0.44715179,0.67996702
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-02 00:00:00.000000,0.02755144,0.05295223,0.10827943,14,28,58,7,13,31,0.01318456,0.02568217,0.05851474,0.20507151,0.44469788,0.68129454
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-03 00:00:00.000000,0.02698777,0.05274194,0.10780796,14,28,58,6,13,31,0.01240228,0.02576471,0.05743511,0.20325844,0.44714705,0.66110186
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-04 00:00:00.000000,0.02738953,0.05183758,0.10920572,14,28,59,6,13,30,0.01179716,0.02579372,0.05715446,0.19953057,0.45063552,0.67995156
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-05 00:00:00.000000,0.02767790,0.05334512,0.10567415,14,28,57,6,14,31,0.01205984,0.02628605,0.05774569,0.19892396,0.45254073,0.68927032
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-06 00:00:00.000000,0.02726848,0.05588377,0.09954966,14,30,53,6,14,30,0.01224855,0.02726954,0.05636633,0.19958822,0.44522636,0.68904086
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-07 00:00:00.000000,0.02419328,0.05703247,0.10016882,13,30,54,6,15,29,0.01211944,0.02776368,0.05508558,0.20443038,0.44957930,0.65404024
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-08 00:00:00.000000,0.02199415,0.05670349,0.10486405,11,30,56,5,15,29,0.01080332,0.02831138,0.05378990,0.21596140,0.45444921,0.64803475
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-09 00:00:00.000000,0.02015106,0.05663595,0.10874110,10,30,58,5,15,28,0.01003427,0.02839465,0.05338942,0.21935024,0.46078584,0.65807842
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-10 00:00:00.000000,0.01871892,0.05672036,0.10629943,10,30,57,5,15,29,0.00936862,0.02843454,0.05520961,0.21501474,0.47246646,0.67896877
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-11 00:00:00.000000,0.01790369,0.05768683,0.10278549,9,31,55,4,15,30,0.00879358,0.02866292,0.05644843,0.21339093,0.47899571,0.65153459
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-12 00:00:00.000000,0.01733000,0.05645436,0.10625507,9,30,57,4,15,29,0.00862720,0.02803221,0.05464921,0.21315853,0.47943161,0.65961829
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-13 00:00:00.000000,0.01700196,0.05428595,0.10943527,9,29,59,4,15,29,0.00842869,0.02839777,0.05540594,0.21411829,0.48371349,0.65920406
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-14 00:00:00.000000,0.01702551,0.05350152,0.10448416,9,28,56,4,14,29,0.00827933,0.02740433,0.05467116,0.21759071,0.50653409,0.64989375
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-15 00:00:00.000000,0.01717993,0.05293210,0.10862438,9,28,58,4,14,28,0.00788308,0.02638217,0.05267114,0.22683233,0.52249601,0.67988486
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-16 00:00:00.000000,0.01600033,0.05392457,0.11139540,8,29,60,4,14,27,0.00753605,0.02644274,0.05039058,0.24367739,0.53279945,0.71421252
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-17 00:00:00.000000,0.01586955,0.05490207,0.11699228,8,29,63,4,14,27,0.00767530,0.02691989,0.05048685,0.26044755,0.54034049,0.73388970
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-18 00:00:00.000000,0.01872562,0.05576983,0.11517854,10,30,62,4,14,28,0.00789239,0.02758905,0.05298556,0.26346658,0.55195488,0.74291027
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-19 00:00:00.000000,0.01969870,0.05807771,0.11302744,10,31,61,4,15,28,0.00854293,0.02850345,0.05245806,0.26538766,0.56163333,0.74648770
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-20 00:00:00.000000,0.02075820,0.05980937,0.11479098,11,32,62,5,16,29,0.00926645,0.02968689,0.05373172,0.26515759,0.56485951,0.80190526
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-21 00:00:00.000000,0.02131781,0.06294573,0.11353159,11,34,61,5,16,30,0.01016161,0.03095359,0.05604359,0.26453127,0.56723111,0.83058311
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-22 00:00:00.000000,0.02266268,0.06372135,0.11352850,12,34,61,5,17,31,0.01104623,0.03169102,0.05762019,0.26357538,0.57442719,0.83335199
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-23 00:00:00.000000,0.02269005,0.06443821,0.11560135,12,34,62,6,17,32,0.01191774,0.03194011,0.05943379,0.26993644,0.57722715,0.83640163
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-24 00:00:00.000000,0.02302877,0.06590361,0.12286178,12,35,66,6,17,33,0.01213239,0.03252945,0.06196280,0.27028028,0.57764395,0.84180774
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-25 00:00:00.000000,0.03026976,0.06904903,0.12965551,16,37,70,6,17,36,0.01237256,0.03292965,0.06738785,0.27091809,0.57825315,0.85140369
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-26 00:00:00.000000,0.03463060,0.07292126,0.13638252,18,39,73,8,19,37,0.01502874,0.03523512,0.07020754,0.27194834,0.58553457,0.85275641
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-27 00:00:00.000000,0.03806854,0.07703385,0.14172303,20,41,76,9,19,39,0.01687571,0.03671888,0.07346544,0.27336070,0.58865110,0.81183995
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-28 00:00:00.000000,0.03897355,0.08220202,0.14672018,21,44,79,10,21,41,0.01880261,0.03988940,0.07633391,0.27504664,0.59303460,0.84062242
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-29 00:00:00.000000,0.04070823,0.08626057,0.15061700,22,46,81,11,23,42,0.02116402,0.04310551,0.07878703,0.28089971,0.58654818,0.86877411
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-30 00:00:00.000000,0.04147015,0.09047736,0.15338655,22,48,83,11,24,41,0.02206545,0.04497168,0.07739861,0.29227167,0.58799774,0.89021719
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-05-31 00:00:00.000000,0.04157206,0.09448856,0.16178308,22,51,87,11,25,43,0.02123628,0.04710346,0.08083443,0.29265023,0.58989654,0.90370526
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-06-01 00:00:00.000000,0.04649493,0.09270555,0.15932699,25,50,86,11,26,44,0.02128798,0.04894788,0.08283208,0.29916247,0.59153844,0.91060851
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-06-02 00:00:00.000000,0.04996158,0.09521567,0.16488385,27,51,89,13,25,43,0.02469233,0.04643517,0.08089137,0.29851168,0.58876910,0.89668849
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-06-03 00:00:00.000000,0.05326860,0.09716468,0.16291003,28,52,88,13,25,42,0.02558477,0.04644832,0.07930886,0.29748737,0.58982573,0.90111183
21113,0,USKentuckyJessamine,Kentucky,Jessamine,2020-09-22 14:53:44.153711,2020-06-04 00:00:00.000000,0.05170158,0.09674971,0.16068684,27,52,86,13,25,42,0.02493798,0.04665654,0.07771081,0.29772072,0.59118380,0.90345920
