FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-09 00:00:00.000000,0.01539910,0.08219697,0.25241181,1,8,24,0,1,6,0.00136634,0.01099055,0.06629295,0.51460581,0.74989312,1.03548912
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-10 00:00:00.000000,0.00832796,0.05158742,0.19811249,0,5,19,0,1,6,0.00276485,0.01139983,0.06352233,0.51460370,0.74988992,1.03550450
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-11 00:00:00.000000,0.00786026,0.04806233,0.15424488,0,4,15,0,0,5,0.00145309,0.00997791,0.05126420,0.51460000,0.74988447,1.03553394
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-12 00:00:00.000000,0.00648472,0.04561562,0.12588193,0,4,12,0,0,4,0.00166569,0.00947304,0.04527617,0.51459342,0.74987590,1.03559001
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-13 00:00:00.000000,0.00618903,0.03866681,0.10960016,0,3,10,0,0,3,0.00088875,0.00861348,0.03946459,0.51458164,0.74986701,1.03569599
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-14 00:00:00.000000,0.00503121,0.03550427,0.10173403,0,3,10,0,0,3,0.00128974,0.00770903,0.03075281,0.51456057,0.74988725,1.03589402
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-15 00:00:00.000000,0.00394265,0.03343628,0.09549964,0,3,9,0,0,2,0.00058110,0.00679135,0.02828120,0.51490112,0.75011555,1.03625773
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-16 00:00:00.000000,0.00306817,0.02976015,0.09264835,0,2,9,0,0,2,0.00057467,0.00594771,0.02721138,0.51607061,0.74703946,1.03690937
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-17 00:00:00.000000,0.00240036,0.02684582,0.09002347,0,2,8,0,0,2,0.00052146,0.00535196,0.02394675,0.51419883,0.74454134,1.03804070
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-18 00:00:00.000000,0.00187140,0.02484156,0.08738479,0,2,8,0,0,2,0.00049693,0.00493090,0.02142737,0.51383177,0.74193047,1.03994458
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-19 00:00:00.000000,0.00106307,0.02182912,0.08476582,0,2,8,0,0,1,0.00031367,0.00455531,0.01872719,0.51310551,0.73892382,1.03033331
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-20 00:00:00.000000,0.00051883,0.01963093,0.08217733,0,1,8,0,0,1,0.00015285,0.00420082,0.01733137,0.48638419,0.71846882,1.01448290
21131,0,USKentuckyLeslie,Kentucky,Leslie,2020-09-17 06:38:43.258536,2020-03-21 00:00:00.000000,0.00025269,0.01710452,0.07961787,0,1,7,0,0,1,0.00007396,0.00375054,0.01604315,0.47120679,0.69486319,1.03031211
