FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-09 00:00:00.000000,0.00821731,0.01960633,0.11045987,2,6,34,0,1,5,0.00064875,0.00329644,0.01706458,0.57813558,0.63540143,0.81879616
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-10 00:00:00.000000,0.01161541,0.01550756,0.05802238,3,4,18,1,2,5,0.00363810,0.00672445,0.01626795,0.57813240,0.63540099,0.81879623
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-11 00:00:00.000000,0.01495840,0.02546148,0.06447970,4,7,20,0,1,4,0.00090130,0.00502518,0.01518326,0.57812582,0.63540032,0.81879634
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-12 00:00:00.000000,0.01210514,0.02230169,0.07083994,3,6,22,1,2,5,0.00497145,0.00899437,0.01671029,0.57811216,0.63539935,0.81879651
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-13 00:00:00.000000,0.01937321,0.03333028,0.07586361,6,10,23,0,2,5,0.00088479,0.00771343,0.01837770,0.57808351,0.63539814,0.81879679
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-14 00:00:00.000000,0.01190232,0.03070139,0.08128844,3,9,25,2,3,6,0.00680892,0.01055750,0.02036540,0.57802273,0.63539711,0.81879724
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-15 00:00:00.000000,0.02205426,0.03839633,0.08699207,6,11,27,0,2,7,0.00088301,0.00871800,0.02253273,0.57789202,0.63539771,0.81879793
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-16 00:00:00.000000,0.01189710,0.03535363,0.09263192,3,10,28,2,3,7,0.00832098,0.01197428,0.02482455,0.57760736,0.63540402,0.81879904
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-17 00:00:00.000000,0.02536863,0.04530105,0.09847484,7,14,30,0,3,8,0.00077332,0.00986297,0.02656258,0.57698777,0.63536188,0.81880079
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-18 00:00:00.000000,0.01125088,0.04047846,0.10385591,3,12,32,2,4,8,0.00780837,0.01328902,0.02847678,0.56384128,0.63075261,0.81880357
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-19 00:00:00.000000,0.02753255,0.05207414,0.10968568,8,16,34,0,3,9,0.00074327,0.01139772,0.03025675,0.52929107,0.61716129,0.81880798
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-20 00:00:00.000000,0.01096118,0.04594346,0.11714716,3,14,36,2,4,10,0.00752707,0.01477167,0.03277390,0.49189104,0.61371193,0.81881505
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-21 00:00:00.000000,0.03004689,0.05982173,0.12169433,9,18,37,0,4,10,0.00074526,0.01298514,0.03506706,0.46304224,0.63394102,0.81882778
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-22 00:00:00.000000,0.01094381,0.05025814,0.12607124,3,15,39,2,5,11,0.00761764,0.01693841,0.03767902,0.44640026,0.65451230,0.84265334
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-23 00:00:00.000000,0.03110278,0.06692614,0.13044709,9,20,40,0,4,12,0.00079979,0.01462702,0.04018612,0.43888992,0.67784322,0.84714663
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-24 00:00:00.000000,0.01163773,0.05412786,0.13462779,3,16,41,2,5,13,0.00766196,0.01914489,0.04258939,0.43578909,0.72042180,0.88029632
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-25 00:00:00.000000,0.03197195,0.07410645,0.13873101,9,23,43,0,4,14,0.00081697,0.01588457,0.04502945,0.43453949,0.74140499,0.90154931
21157,0,USKentuckyMarshall,Kentucky,Marshall,2020-07-31 03:08:30.269381,2020-03-26 00:00:00.000000,0.01224715,0.05805089,0.14486052,3,18,45,2,6,14,0.00805725,0.02136129,0.04816603,0.43320432,0.75522024,0.90543286
