FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-09 00:00:00.000000,0.02469792,0.10224994,0.13478250,3,13,17,0,2,5,0.00295412,0.02220364,0.03767848,0.47204544,0.81370961,0.89976657
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-10 00:00:00.000000,0.01475980,0.06634594,0.10033004,1,8,13,0,3,6,0.00315488,0.02959037,0.04999439,0.47204554,0.81368516,0.89976619
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-11 00:00:00.000000,0.01458957,0.06610108,0.10106057,1,8,13,0,2,4,0.00276446,0.01883118,0.03550151,0.47204582,0.81363601,0.89976445
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-12 00:00:00.000000,0.01089664,0.04900226,0.08196216,1,6,10,0,2,4,0.00249128,0.01915194,0.03600600,0.47204660,0.81353714,0.89975630
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-13 00:00:00.000000,0.00829794,0.04395904,0.07500307,1,5,9,0,1,3,0.00203858,0.01430058,0.02917884,0.47204871,0.81333837,0.89971833
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-14 00:00:00.000000,0.00630254,0.03494094,0.06521202,0,4,8,0,1,3,0.00154882,0.01332921,0.02678121,0.47205451,0.81293945,0.89954164
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-15 00:00:00.000000,0.00490010,0.02998261,0.05845134,0,3,7,0,1,3,0.00117666,0.00995861,0.02293499,0.47207045,0.81214259,0.89872532
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-16 00:00:00.000000,0.00369190,0.02539386,0.05148946,0,3,6,0,1,2,0.00089461,0.00869328,0.02038561,0.47211415,0.81056742,0.89507350
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-17 00:00:00.000000,0.00278118,0.02176554,0.04572905,0,2,6,0,0,2,0.00072898,0.00677321,0.01772152,0.46949643,0.80698263,0.88082852
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-18 00:00:00.000000,0.00209272,0.01809583,0.04027892,0,2,5,0,0,2,0.00057258,0.00571589,0.01554809,0.47057859,0.79851339,0.86612246
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-19 00:00:00.000000,0.00158412,0.01502042,0.03826884,0,1,5,0,0,1,0.00043022,0.00454184,0.01349743,0.47159678,0.78734790,0.87168696
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-20 00:00:00.000000,0.00120144,0.01261518,0.03650903,0,1,4,0,0,1,0.00032093,0.00371303,0.01202497,0.45587064,0.77131619,0.83728994
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-21 00:00:00.000000,0.00091107,0.01038609,0.03507982,0,1,4,0,0,1,0.00023395,0.00311042,0.01090515,0.44056436,0.75235676,0.82018329
21175,0,USKentuckyMorgan,Kentucky,Morgan,2020-08-21 18:46:49.505432,2020-03-22 00:00:00.000000,0.00069078,0.00828565,0.03407567,0,1,4,0,0,1,0.00017052,0.00289836,0.00926872,0.40561911,0.73124639,0.85723106
