FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-09 00:00:00.000000,0.00492167,0.05946888,0.20867569,0,6,22,0,2,13,0.00101199,0.02067838,0.12775405,0.48831733,0.63881658,0.87859187
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-10 00:00:00.000000,0.00382744,0.04701781,0.21558385,0,5,23,0,2,11,0.00129191,0.01987235,0.10949532,0.48830953,0.63878665,0.87845791
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-11 00:00:00.000000,0.00378172,0.04369553,0.19602850,0,4,21,0,1,11,0.00124130,0.01684619,0.10750393,0.48829294,0.63874061,0.87820202
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-12 00:00:00.000000,0.00330656,0.04008353,0.18965120,0,4,20,0,1,11,0.00125233,0.01514390,0.10277996,0.48825773,0.63866614,0.87771557
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-13 00:00:00.000000,0.00320779,0.03693818,0.17723573,0,4,19,0,1,10,0.00121510,0.01433905,0.09842901,0.48818326,0.63853925,0.87679966
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-14 00:00:00.000000,0.00313772,0.03341954,0.17510682,0,3,19,0,1,10,0.00125328,0.01377459,0.09198664,0.48802621,0.63831209,0.87510630
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-15 00:00:00.000000,0.00315928,0.03312201,0.17426698,0,3,18,0,1,9,0.00128781,0.01361237,0.08619854,0.48769652,0.63788854,0.87207966
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-16 00:00:00.000000,0.00321538,0.03312948,0.16554940,0,3,18,0,1,9,0.00132044,0.01272748,0.08607671,0.48701029,0.63707612,0.86737211
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-17 00:00:00.000000,0.00329852,0.03502852,0.15754525,0,3,17,0,1,9,0.00135011,0.01255182,0.08612609,0.48560565,0.63215867,0.86304013
21187,0,USKentuckyOwen,Kentucky,Owen,2020-08-31 18:34:43.723329,2020-03-18 00:00:00.000000,0.00339223,0.03273928,0.15335573,0,3,16,0,1,9,0.00138082,0.01237578,0.08617417,0.48282398,0.61789684,0.84907571
