FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-09 00:00:00.000000,0.00900513,0.02346477,0.04968749,2,7,16,0,2,6,0.00141002,0.00624524,0.02094429,0.74794311,0.90870362,1.15896318
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-10 00:00:00.000000,0.01283681,0.03019828,0.06507499,4,9,21,2,4,10,0.00656293,0.01489275,0.03186287,0.74798521,0.90870348,1.15896252
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-11 00:00:00.000000,0.01854301,0.04051153,0.08604360,6,13,27,2,6,13,0.00842750,0.02010576,0.04130303,0.74807619,0.90870358,1.15896115
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-12 00:00:00.000000,0.02210151,0.05157909,0.11225905,7,16,36,3,8,17,0.01058233,0.02706162,0.05402147,0.74827542,0.90870403,1.15895795
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-13 00:00:00.000000,0.02600956,0.06418108,0.13957468,8,20,45,4,11,22,0.01261400,0.03413160,0.06871762,0.74871580,0.90870463,1.15894928
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-14 00:00:00.000000,0.03022743,0.07819825,0.17171662,9,25,55,4,13,28,0.01479394,0.04227877,0.08699868,0.74969329,0.90870360,1.15892133
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-15 00:00:00.000000,0.03480108,0.09322853,0.20565315,11,30,66,5,17,34,0.01714115,0.05229468,0.10472921,0.75185533,0.90869293,1.15881790
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-16 00:00:00.000000,0.04816046,0.11694796,0.23760096,15,38,77,6,20,41,0.01968013,0.06230527,0.12703910,0.75655290,0.90864225,1.15840240
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-17 00:00:00.000000,0.05469860,0.14138887,0.27227615,17,45,88,8,24,47,0.02714064,0.07643014,0.14737792,0.76630081,0.90650579,1.15668734
22047,0,USLouisianaIberville,Louisiana,Iberville,2020-08-10 00:01:50.565302,2020-03-18 00:00:00.000000,0.06133479,0.16773395,0.32127905,19,54,104,9,28,56,0.03063567,0.08919148,0.17343298,0.76856379,0.90774188,1.18108634
