FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-09 00:00:00.000000,0.00783922,0.03432528,0.08894572,1,5,14,0,2,8,0.00355215,0.01513361,0.05153127,0.42316116,0.59529150,0.80057258
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-10 00:00:00.000000,0.00708803,0.02946842,0.08437305,1,4,13,0,2,7,0.00409158,0.01669492,0.05016441,0.42316116,0.59528918,0.80055899
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-11 00:00:00.000000,0.00759292,0.03001198,0.08216775,1,4,12,0,2,7,0.00413423,0.01664518,0.04696202,0.42316116,0.59528429,0.80053704
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-12 00:00:00.000000,0.00785508,0.02918504,0.08308351,1,4,13,0,2,7,0.00433723,0.01665913,0.04814505,0.42316112,0.59526563,0.80050118
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-13 00:00:00.000000,0.00827547,0.02916230,0.08482698,1,4,13,0,2,7,0.00459035,0.01688960,0.04996641,0.42316091,0.59385817,0.80044149
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-14 00:00:00.000000,0.00835967,0.02886011,0.08633447,1,4,13,0,2,8,0.00441339,0.01653637,0.05197204,0.42315985,0.59370590,0.80033869
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-15 00:00:00.000000,0.00818589,0.02847530,0.08762298,1,4,13,0,2,8,0.00411110,0.01636470,0.05340068,0.42315461,0.59189567,0.80015150
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-16 00:00:00.000000,0.01281533,0.03663029,0.09918633,2,5,15,0,2,8,0.00383259,0.01616216,0.05393011,0.42312857,0.59026931,0.79816488
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-17 00:00:00.000000,0.01740760,0.04408535,0.11136305,2,6,17,1,3,10,0.00725653,0.02198811,0.06512686,0.42299972,0.58901489,0.79016385
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-18 00:00:00.000000,0.02274765,0.05222389,0.12628762,3,8,19,1,4,11,0.00886704,0.02674435,0.07159016,0.42236317,0.58426993,0.78680675
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-19 00:00:00.000000,0.02785284,0.05879331,0.14014603,4,9,22,1,4,12,0.01117804,0.03117836,0.07874614,0.41931092,0.56233101,0.78021302
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-20 00:00:00.000000,0.03183052,0.06579681,0.15417495,5,10,24,2,5,13,0.01344050,0.03459100,0.08475380,0.40862813,0.55891988,0.76355046
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-21 00:00:00.000000,0.03258614,0.07473963,0.16788994,5,11,26,2,6,14,0.01525008,0.03833393,0.08992215,0.37757430,0.54258750,0.75380063
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-22 00:00:00.000000,0.03289932,0.08110064,0.18087184,5,12,28,2,6,15,0.01727293,0.04249444,0.09706998,0.34190154,0.53299891,0.71222860
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-23 00:00:00.000000,0.03907746,0.09054493,0.19300411,6,14,30,2,7,16,0.01904570,0.04763154,0.10592425,0.34150692,0.51879037,0.67048383
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-24 00:00:00.000000,0.04352274,0.09631937,0.20431603,6,15,32,3,8,17,0.02358324,0.05249927,0.11347586,0.34142835,0.51016839,0.65171583
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-25 00:00:00.000000,0.04906213,0.10358095,0.20553054,7,16,32,3,8,18,0.02423655,0.05466740,0.11663329,0.32149976,0.49913794,0.65175417
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-26 00:00:00.000000,0.05205105,0.11070820,0.21723113,8,17,34,4,9,18,0.02580307,0.05889295,0.11748043,0.31737049,0.49134738,0.65154574
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-27 00:00:00.000000,0.05135540,0.11294985,0.23432731,8,17,36,4,9,19,0.02761953,0.06117615,0.12352565,0.31287935,0.49030379,0.64820596
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-28 00:00:00.000000,0.05377086,0.11585047,0.25043871,8,18,39,4,9,21,0.02928100,0.06265311,0.13399010,0.30132541,0.47330208,0.61860365
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-29 00:00:00.000000,0.05629938,0.12127706,0.26741539,8,19,42,4,9,22,0.02911211,0.06217657,0.14337935,0.29090750,0.46114437,0.61639550
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-30 00:00:00.000000,0.06494564,0.12360174,0.27700947,10,19,43,4,10,23,0.02870219,0.06485282,0.15161879,0.28867740,0.45455342,0.61428395
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-03-31 00:00:00.000000,0.06736395,0.13064177,0.28679362,10,20,45,5,10,24,0.03400199,0.06539958,0.15831873,0.28833229,0.45034294,0.61055402
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-01 00:00:00.000000,0.06461214,0.14121147,0.29620688,10,22,46,5,11,25,0.03327972,0.07360991,0.16440552,0.28865722,0.44766760,0.60269038
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-02 00:00:00.000000,0.06648449,0.14275869,0.31333307,10,22,49,5,12,26,0.03255269,0.07838952,0.16992510,0.29014844,0.44566091,0.59167977
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-03 00:00:00.000000,0.06403406,0.14580408,0.33174597,10,22,52,5,12,27,0.03361462,0.08011223,0.17499632,0.29483090,0.43666020,0.58159191
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-04 00:00:00.000000,0.05922294,0.15439879,0.34739699,9,24,54,5,13,28,0.03375483,0.08466139,0.18031792,0.30440891,0.43676544,0.57389586
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-05 00:00:00.000000,0.05491555,0.16177596,0.36075894,8,25,56,4,13,31,0.03126033,0.08718639,0.19702318,0.30394049,0.43239370,0.60013094
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-06 00:00:00.000000,0.06306849,0.16173217,0.38203097,9,25,60,4,13,33,0.02905163,0.08830219,0.21432640,0.30325048,0.43965667,0.61247252
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-07 00:00:00.000000,0.06655503,0.16290695,0.40331962,10,25,63,5,13,35,0.03557373,0.08557543,0.22623490,0.30237590,0.43494915,0.61468179
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-08 00:00:00.000000,0.06444662,0.16334534,0.41796784,10,25,65,5,13,37,0.03461707,0.08652365,0.23546578,0.30158546,0.43742865,0.61099025
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-09 00:00:00.000000,0.06504391,0.16268394,0.42726674,10,25,67,5,13,38,0.03360912,0.08881162,0.24464093,0.31306360,0.43699257,0.60248845
22049,0,USLouisianaJackson,Louisiana,Jackson,2020-09-17 06:04:36.354796,2020-04-10 00:00:00.000000,0.06891377,0.16394528,0.44214878,10,25,69,5,14,39,0.03412896,0.09053882,0.25308297,0.32150768,0.44318201,0.63935156
