FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-09 00:00:00.000000,0.00434035,0.04255922,0.17155963,0,6,25,0,1,7,0.00131452,0.01061494,0.04924314,0.45854122,0.71554752,1.06525483
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-10 00:00:00.000000,0.00486521,0.03897563,0.14596499,0,5,21,0,1,6,0.00105124,0.01028237,0.04690244,0.45854111,0.71549238,1.06452871
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-11 00:00:00.000000,0.00537791,0.04390972,0.15055932,0,6,22,0,1,6,0.00095470,0.00947981,0.04605899,0.45854085,0.71538439,1.06353535
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-12 00:00:00.000000,0.00589387,0.04653781,0.15762889,0,6,23,0,1,6,0.00094991,0.00979081,0.04559638,0.45854018,0.71517340,1.06218196
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-13 00:00:00.000000,0.00642488,0.05015986,0.18031866,0,7,26,0,1,6,0.00098373,0.01016494,0.04555227,0.45853845,0.71476301,1.06034824
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-14 00:00:00.000000,0.00698028,0.05493294,0.20186755,1,8,30,0,1,6,0.00103522,0.01020444,0.04682031,0.45853386,0.71413381,1.05788223
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-15 00:00:00.000000,0.00756776,0.05968970,0.21240595,1,8,31,0,1,7,0.00109620,0.01061255,0.04701173,0.45852154,0.71418702,1.05459868
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-16 00:00:00.000000,0.01497620,0.07744835,0.23164013,2,11,34,0,1,7,0.00116356,0.01115250,0.04754087,0.45848823,0.71031530,1.05028243
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-17 00:00:00.000000,0.02151933,0.10254583,0.25135308,3,15,37,0,1,8,0.00193775,0.01215778,0.05384421,0.45839881,0.70183576,1.04469771
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-18 00:00:00.000000,0.02859377,0.13187257,0.27168288,4,19,40,0,1,9,0.00280248,0.01342600,0.06110572,0.45816734,0.69726101,1.03759437
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-19 00:00:00.000000,0.03539362,0.15205368,0.29262398,5,22,43,0,2,9,0.00352289,0.01481781,0.06411010,0.45762644,0.69724774,1.02866916
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-20 00:00:00.000000,0.04195965,0.16700042,0.31897021,6,24,47,0,2,10,0.00425391,0.01652292,0.06759121,0.44398044,0.69720630,1.01742069
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-21 00:00:00.000000,0.04833894,0.17922619,0.34911736,7,26,51,0,2,10,0.00499641,0.01822753,0.07153998,0.43946771,0.69201326,0.99806603
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-22 00:00:00.000000,0.05457335,0.19524940,0.39110581,8,29,58,0,3,11,0.00575115,0.02015694,0.07594435,0.42289507,0.67943552,0.98657809
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-23 00:00:00.000000,0.05738777,0.22636857,0.41399857,8,33,61,0,3,12,0.00651893,0.02274049,0.08309287,0.41229206,0.65049684,1.01661199
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-24 00:00:00.000000,0.06012559,0.24006063,0.46943670,8,35,69,1,3,13,0.00707058,0.02537008,0.09187048,0.39130861,0.62625310,1.02610093
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-25 00:00:00.000000,0.06270714,0.25863908,0.51476571,9,38,76,1,4,15,0.00763124,0.02821842,0.10126133,0.38393344,0.59740117,1.02715435
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-26 00:00:00.000000,0.06539950,0.28616213,0.54895377,9,42,81,1,4,16,0.00820569,0.03094494,0.11123896,0.36741604,0.58953133,1.02618122
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-27 00:00:00.000000,0.06820607,0.31233972,0.58492194,10,46,87,1,4,18,0.00901751,0.03330711,0.12179673,0.35567626,0.58912351,1.02314683
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-28 00:00:00.000000,0.07193336,0.34045959,0.62532655,10,50,93,1,5,19,0.00966824,0.03562695,0.13295850,0.34575121,0.57933205,1.01602405
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-29 00:00:00.000000,0.07579693,0.36447190,0.66913964,11,54,99,1,5,21,0.01034923,0.03902741,0.14476304,0.33705965,0.58069041,0.97052341
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-30 00:00:00.000000,0.09005227,0.40421871,0.69386240,13,60,103,1,6,23,0.01105533,0.04147258,0.15725452,0.33326616,0.58519118,0.96575172
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-03-31 00:00:00.000000,0.10440965,0.42782746,0.73044182,15,63,108,1,6,25,0.01284277,0.04461066,0.17090481,0.33163776,0.59254693,0.97810030
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-01 00:00:00.000000,0.11926308,0.45772150,0.76906186,17,68,114,2,7,27,0.01471673,0.04844904,0.18571423,0.33093694,0.59732228,1.03195536
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-02 00:00:00.000000,0.13378286,0.49310231,0.81953997,19,73,122,2,7,29,0.01663216,0.05198177,0.19971394,0.33062947,0.59895469,1.11563146
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-03 00:00:00.000000,0.14731275,0.51272092,0.87768462,21,76,130,2,8,31,0.01859012,0.05537032,0.20857390,0.33048957,0.59794483,1.16669328
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-04 00:00:00.000000,0.15910552,0.53225987,0.93709269,23,79,139,3,8,32,0.02059346,0.05870068,0.21692186,0.33042310,0.59751091,1.17877662
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-05 00:00:00.000000,0.17062442,0.55164556,0.99808379,25,82,148,3,9,33,0.02264334,0.06251796,0.22448099,0.33038965,0.59044348,1.17994506
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-06 00:00:00.000000,0.17724489,0.60559849,1.04337312,26,90,155,3,9,34,0.02473259,0.06674020,0.23201806,0.32936497,0.58518090,1.17825889
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-07 00:00:00.000000,0.18360037,0.65316697,1.09701645,27,97,163,3,10,37,0.02600902,0.07089055,0.24894930,0.32217855,0.56888509,1.17419745
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-08 00:00:00.000000,0.18748635,0.69106810,1.16158361,27,102,172,4,11,39,0.02715332,0.07626314,0.26637769,0.32161455,0.53552386,1.16532179
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-09 00:00:00.000000,0.18958560,0.72711032,1.23023352,28,108,183,4,12,42,0.02819816,0.08182595,0.28434856,0.30488554,0.54795480,1.14697528
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-10 00:00:00.000000,0.19170495,0.74571818,1.30257603,28,111,193,4,12,45,0.02920350,0.08672121,0.30290920,0.28154410,0.55940302,1.11516526
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-11 00:00:00.000000,0.19565439,0.77474079,1.37760917,29,115,205,4,13,47,0.03020020,0.09148713,0.32210790,0.27476292,0.55835057,1.05913597
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-12 00:00:00.000000,0.20056684,0.82268538,1.45434546,29,122,216,4,14,50,0.03120467,0.09619585,0.34199421,0.26904598,0.55291436,1.01524737
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-13 00:00:00.000000,0.20472661,0.86652844,1.53116216,30,129,228,4,15,54,0.03223661,0.10078348,0.36262458,0.26361130,0.55083362,0.99066587
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-14 00:00:00.000000,0.20997138,0.90305215,1.60986451,31,134,239,4,15,57,0.03331609,0.10615606,0.38455099,0.25853479,0.55503267,0.98811820
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-15 00:00:00.000000,0.21637421,0.93582564,1.69503471,32,139,252,5,16,60,0.03457495,0.11209127,0.40780465,0.25479993,0.55830012,0.97935483
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-16 00:00:00.000000,0.22367005,0.96982379,1.77084885,33,144,263,5,17,64,0.03599966,0.11880798,0.43241928,0.25888042,0.54534246,0.93971200
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-17 00:00:00.000000,0.23151514,1.00911623,1.84487640,34,150,274,5,18,68,0.03754343,0.12732289,0.45768006,0.27276500,0.53729500,0.90182380
22059,0,USLouisianaLaSalle,Louisiana,LaSalle,2020-08-21 17:48:27.809201,2020-04-18 00:00:00.000000,0.23972859,1.05126447,1.92843039,35,156,287,5,20,71,0.03922829,0.13598413,0.47999159,0.27572484,0.53136738,0.87750086
