FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-09 00:00:00.000000,0.00405186,0.02205882,0.06212903,0,4,12,0,2,6,0.00159801,0.01029244,0.03183714,0.43399347,0.60161218,0.81102944
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-10 00:00:00.000000,0.00387366,0.02193212,0.06843731,0,4,13,0,2,6,0.00165861,0.01109478,0.03272729,0.43399361,0.60161217,0.81081751
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-11 00:00:00.000000,0.00435200,0.02326114,0.07112759,0,4,14,0,2,6,0.00180950,0.01193724,0.03442221,0.43399375,0.60161209,0.81041090
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-12 00:00:00.000000,0.00462818,0.02448760,0.07300945,0,4,14,0,2,7,0.00196535,0.01298568,0.03627941,0.43399375,0.60161180,0.80963235
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-13 00:00:00.000000,0.00495871,0.02713379,0.07384882,0,5,14,0,2,7,0.00215892,0.01390742,0.03838068,0.43399302,0.60161071,0.80814764
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-14 00:00:00.000000,0.00532384,0.02861515,0.07447912,1,5,14,0,2,8,0.00234174,0.01424668,0.04032880,0.43398976,0.60160655,0.80533769
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-15 00:00:00.000000,0.00572108,0.02853764,0.07494960,1,5,15,0,2,8,0.00252705,0.01458467,0.04228799,0.43397845,0.60154689,0.80009541
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-16 00:00:00.000000,0.00924704,0.03693067,0.08849444,1,7,17,0,3,8,0.00261511,0.01501891,0.04360016,0.43394271,0.59718651,0.79057249
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-17 00:00:00.000000,0.01257752,0.04166577,0.10759375,2,8,21,1,4,9,0.00506069,0.02051310,0.04967997,0.43383455,0.59560680,0.77408361
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-18 00:00:00.000000,0.01771751,0.05071416,0.13206521,3,10,26,1,4,10,0.00705754,0.02373981,0.05422613,0.42826325,0.59412912,0.75947828
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-19 00:00:00.000000,0.02044514,0.06052115,0.15962681,4,12,32,1,5,13,0.00979015,0.02839103,0.06858420,0.41631681,0.58874586,0.74915268
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-20 00:00:00.000000,0.02291012,0.06901335,0.18565016,4,13,37,2,6,17,0.01230308,0.03341030,0.08559176,0.40039806,0.57882409,0.73933132
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-21 00:00:00.000000,0.02609206,0.07654447,0.20610985,5,15,41,2,7,20,0.01378141,0.03838097,0.10274036,0.37895722,0.56628527,0.71983322
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-22 00:00:00.000000,0.02947434,0.08666760,0.22619862,5,17,45,3,8,24,0.01501163,0.04203489,0.11973957,0.36523124,0.55059001,0.70278577
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-23 00:00:00.000000,0.03646610,0.09623623,0.23373994,7,19,47,3,9,27,0.01610663,0.04578553,0.13660611,0.35104284,0.52734183,0.70719160
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-24 00:00:00.000000,0.04257477,0.10691816,0.24988511,8,21,50,4,10,28,0.02089660,0.05423229,0.14073236,0.35293451,0.52384621,0.68414129
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-25 00:00:00.000000,0.04838622,0.11758994,0.27667503,9,23,55,4,12,29,0.02405301,0.06191182,0.14908695,0.34522958,0.51346167,0.67706341
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-26 00:00:00.000000,0.05352581,0.13216519,0.29607573,10,26,59,5,13,31,0.02716491,0.06567116,0.15753292,0.34014959,0.51180276,0.67105875
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-27 00:00:00.000000,0.05647001,0.14340237,0.30714582,11,28,61,6,13,33,0.02999825,0.06948981,0.16675814,0.33835023,0.50706427,0.69627095
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-28 00:00:00.000000,0.06056053,0.15273070,0.32765512,12,30,65,6,14,38,0.03261961,0.07330239,0.19218140,0.33774717,0.49488649,0.71902522
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-29 00:00:00.000000,0.06203390,0.16389085,0.35670789,12,32,71,7,16,42,0.03508732,0.08404095,0.21024194,0.31414071,0.49672385,0.72883666
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-30 00:00:00.000000,0.06681256,0.18087231,0.40239004,13,36,80,7,18,46,0.03647631,0.09191841,0.22863097,0.32402228,0.48387893,0.72535240
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-03-31 00:00:00.000000,0.07161160,0.19993715,0.41048756,14,40,82,8,19,50,0.04090786,0.09620077,0.25194236,0.31561562,0.47330268,0.70920435
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-01 00:00:00.000000,0.07690987,0.21106241,0.41752778,15,42,84,8,19,54,0.04409694,0.09850234,0.27135227,0.31324288,0.46198180,0.66723860
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-02 00:00:00.000000,0.08186705,0.21599249,0.42402882,16,43,85,9,21,57,0.04518651,0.10475971,0.28356315,0.31344868,0.46070122,0.66799657
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-03 00:00:00.000000,0.08678827,0.23053433,0.47791079,17,46,96,9,22,59,0.04600904,0.10953409,0.29601341,0.31412179,0.45092111,0.63569185
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-04 00:00:00.000000,0.08811300,0.23518741,0.53479790,17,47,107,9,22,65,0.04677854,0.11340427,0.32320532,0.31568547,0.44218518,0.63078047
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-05 00:00:00.000000,0.08943406,0.24638189,0.59164531,17,49,119,9,23,72,0.04754814,0.11774575,0.36129678,0.31599247,0.43826663,0.62327834
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-06 00:00:00.000000,0.11119430,0.26011883,0.60448623,22,52,121,9,24,80,0.04830893,0.12052338,0.39929804,0.31492905,0.44191195,0.61518250
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-07 00:00:00.000000,0.11515166,0.27613676,0.61656504,23,55,124,12,25,81,0.06380270,0.12832062,0.40719115,0.30989675,0.44004384,0.60795651
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-08 00:00:00.000000,0.12144665,0.28280247,0.62134525,24,56,125,13,27,82,0.06952540,0.13470665,0.41130148,0.30401788,0.44358130,0.59806775
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-09 00:00:00.000000,0.12829391,0.28602162,0.64740962,25,57,130,14,28,83,0.07304861,0.14072526,0.41419713,0.29929381,0.44356291,0.59679598
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-10 00:00:00.000000,0.13547460,0.29076660,0.69618661,27,58,140,14,29,83,0.07180503,0.14544512,0.41588884,0.29759689,0.42881426,0.62511150
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-11 00:00:00.000000,0.13900427,0.29804992,0.74508055,27,59,149,14,30,84,0.07098080,0.15082203,0.42236207,0.30153435,0.42582052,0.58125129
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-12 00:00:00.000000,0.13881721,0.30587923,0.79387582,27,61,159,14,31,86,0.07068873,0.15636404,0.43027320,0.30335895,0.42405534,0.57474516
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-13 00:00:00.000000,0.15398657,0.31523719,0.81987553,30,63,164,14,33,87,0.07076280,0.16501306,0.43667024,0.30138667,0.42452833,0.60775401
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-14 00:00:00.000000,0.15024100,0.33176110,0.84566688,30,66,170,16,33,95,0.08046016,0.16720711,0.47321647,0.30098385,0.42763193,0.63350881
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-15 00:00:00.000000,0.14006968,0.34367737,0.87051752,28,69,175,15,34,102,0.07709733,0.17017586,0.50796555,0.30054619,0.43203207,0.63527123
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-16 00:00:00.000000,0.13959772,0.36376153,0.89439536,28,73,179,16,35,109,0.08153574,0.17513352,0.54230638,0.28461907,0.43163213,0.62214707
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-17 00:00:00.000000,0.14679159,0.37795660,0.91670628,29,76,184,17,37,115,0.08609100,0.18625866,0.57529222,0.27254907,0.42780361,0.60529774
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-18 00:00:00.000000,0.15399074,0.39340743,0.93774782,30,79,188,18,40,121,0.09062546,0.19986151,0.60250073,0.25787033,0.41857831,0.58944798
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-19 00:00:00.000000,0.16115992,0.40371146,0.95822286,32,81,192,18,42,125,0.09217948,0.21245950,0.62568021,0.25622207,0.41531264,0.57577232
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-20 00:00:00.000000,0.16491503,0.41583514,0.96441535,33,83,194,17,45,130,0.08941772,0.22534353,0.64784067,0.25611322,0.41434650,0.56078561
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-21 00:00:00.000000,0.15768220,0.42158176,0.97001492,31,84,195,17,46,129,0.08466185,0.22920809,0.64119504,0.25613325,0.41371201,0.56451983
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-22 00:00:00.000000,0.14742386,0.44077678,0.97407913,29,88,196,16,47,127,0.08075556,0.23754790,0.63541910,0.25621065,0.40954658,0.56423891
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-23 00:00:00.000000,0.13646130,0.44965941,0.97584931,27,90,196,15,48,126,0.07692130,0.24188168,0.62976922,0.25643019,0.40377309,0.56011426
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-24 00:00:00.000000,0.12530314,0.45879062,0.97574759,25,92,196,14,49,125,0.07314651,0.24579660,0.62419551,0.25705271,0.40254023,0.54966319
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-25 00:00:00.000000,0.12300328,0.46510911,0.97418322,24,93,196,13,48,124,0.06938027,0.24159728,0.61880249,0.25872509,0.39975997,0.54941308
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-26 00:00:00.000000,0.12168167,0.46599992,0.97133420,24,93,195,13,50,123,0.06579702,0.24915673,0.61345601,0.26334553,0.39329580,0.53170394
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-27 00:00:00.000000,0.13963166,0.47215560,0.96310758,28,95,193,12,51,122,0.06247321,0.25364601,0.60898722,0.27193601,0.39343789,0.50782211
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-28 00:00:00.000000,0.16953250,0.48054525,0.95391619,34,96,191,17,51,121,0.08940244,0.25708752,0.60593689,0.27645632,0.39302257,0.50274595
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-29 00:00:00.000000,0.18755594,0.49278788,0.94362722,37,99,189,20,52,121,0.10110593,0.25860426,0.60386299,0.27294945,0.39118778,0.49114535
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-04-30 00:00:00.000000,0.19414929,0.48992093,0.93231758,39,98,187,21,53,121,0.10531764,0.26641026,0.60219937,0.27150464,0.38753856,0.48962897
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-05-01 00:00:00.000000,0.20134362,0.49284125,0.92012135,40,99,185,22,54,120,0.10954451,0.27057729,0.60061879,0.26383243,0.38012781,0.48684105
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-05-02 00:00:00.000000,0.20906953,0.50192405,0.90718378,42,100,182,22,54,120,0.11369439,0.26876788,0.59898597,0.25377766,0.37155269,0.48002657
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-05-03 00:00:00.000000,0.21608890,0.49748242,0.89370819,43,100,179,23,53,120,0.11775771,0.26506093,0.59721110,0.24869332,0.36537404,0.46785178
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-05-04 00:00:00.000000,0.20939611,0.49254917,0.88528146,42,99,178,24,52,119,0.12183722,0.26029759,0.59520832,0.24858774,0.34988776,0.47706669
22083,0,USLouisianaRichland,Louisiana,Richland,2020-10-02 07:28:01.109177,2020-05-05 00:00:00.000000,0.20338762,0.47731477,0.87666921,40,96,176,24,52,123,0.12056962,0.25867142,0.61467175,0.24299092,0.33992300,0.47599432
