FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-09 00:00:00.000000,0.00166669,0.00441617,0.00997246,1,4,10,0,1,3,0.00002852,0.00103469,0.00330090,0.38201142,0.62623456,0.82547602
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-10 00:00:00.000000,0.00251097,0.00463717,0.01060515,2,5,11,0,2,5,0.00077167,0.00217120,0.00528174,0.38201112,0.62623462,0.82543062
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-11 00:00:00.000000,0.00291735,0.00591273,0.01478251,3,6,16,1,2,7,0.00122853,0.00262229,0.00675128,0.38201009,0.62623476,0.82535817
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-12 00:00:00.000000,0.00324894,0.00708705,0.01669923,3,7,18,1,3,9,0.00173191,0.00341540,0.00861264,0.38200662,0.62623508,0.82524253
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-13 00:00:00.000000,0.00345909,0.00834133,0.02010252,3,9,21,2,4,10,0.00203016,0.00396349,0.00998342,0.38199519,0.62623583,0.82505783
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-14 00:00:00.000000,0.00405764,0.00971496,0.02318601,4,10,25,2,5,12,0.00225555,0.00469619,0.01169692,0.38195791,0.62512620,0.82476259
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-15 00:00:00.000000,0.00472785,0.01100888,0.02598768,5,11,28,2,5,14,0.00243747,0.00540095,0.01333120,0.38183761,0.62508463,0.82428988
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-16 00:00:00.000000,0.00641625,0.01242246,0.02811407,6,13,30,2,6,16,0.00262428,0.00599150,0.01481738,0.38230268,0.62498276,0.82352943
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-17 00:00:00.000000,0.00724475,0.01402363,0.03010456,7,15,32,4,7,16,0.00383054,0.00686155,0.01560913,0.38517729,0.62473833,0.82228358
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-18 00:00:00.000000,0.00834066,0.01551426,0.03300485,9,16,35,4,8,17,0.00418985,0.00779825,0.01641100,0.39162430,0.60877363,0.82005690
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-19 00:00:00.000000,0.00938893,0.01712005,0.03532213,10,18,38,4,9,19,0.00456535,0.00871096,0.01789885,0.40049354,0.60702127,0.81559730
23001,0,USMaineAndroscoggin,Maine,Androscoggin,2020-10-02 07:15:26.589371,2020-03-20 00:00:00.000000,0.01010744,0.01891576,0.03846151,10,20,41,5,10,20,0.00510315,0.00963600,0.01893049,0.39737143,0.59527360,0.81046704
