FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-09 00:00:00.000000,0.00271206,0.01999174,0.08386512,0,6,25,0,1,13,0.00061031,0.00473177,0.04589237,0.51957746,0.77175573,0.95957458
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-10 00:00:00.000000,0.00241920,0.01460684,0.07093249,0,4,21,0,2,10,0.00125294,0.00737976,0.03334687,0.51957869,0.77175362,0.95957443
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-11 00:00:00.000000,0.00242989,0.01497053,0.06643245,0,4,20,0,1,9,0.00057961,0.00518489,0.03068473,0.51958141,0.77174716,0.95957413
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-12 00:00:00.000000,0.00186999,0.01191811,0.05758877,0,3,17,0,1,7,0.00086337,0.00505026,0.02386672,0.51958744,0.77172755,0.95957354
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-13 00:00:00.000000,0.00177101,0.01138880,0.04438228,0,3,13,0,1,6,0.00053706,0.00503423,0.02025660,0.51960080,0.77166832,0.95957233
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-14 00:00:00.000000,0.00127179,0.01078195,0.03922733,0,3,11,0,1,5,0.00052788,0.00474045,0.01971746,0.51963040,0.77148999,0.95956984
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-15 00:00:00.000000,0.00114061,0.00999252,0.04056566,0,3,12,0,1,5,0.00045830,0.00405989,0.01935613,0.51969597,0.77095576,0.95956462
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-16 00:00:00.000000,0.00309275,0.01280153,0.04592633,0,3,13,0,1,6,0.00037408,0.00418488,0.02051908,0.51974671,0.76937483,0.95955356
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-17 00:00:00.000000,0.00493038,0.01646367,0.05564035,1,4,16,0,2,8,0.00152215,0.00728316,0.02686090,0.51138654,0.76056389,0.95952997
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-18 00:00:00.000000,0.00715333,0.02074464,0.06766838,2,6,20,0,2,9,0.00211843,0.00808197,0.03301274,0.49311164,0.76276256,0.95947980
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-19 00:00:00.000000,0.00834497,0.02507731,0.07913027,2,7,23,0,2,11,0.00243332,0.00967184,0.03965910,0.49299509,0.75872581,0.96225411
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-20 00:00:00.000000,0.00950310,0.02866301,0.08899459,2,8,26,0,3,13,0.00282873,0.01129021,0.04606225,0.49547225,0.75368855,0.96823655
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-21 00:00:00.000000,0.01022897,0.03110324,0.09944271,3,9,30,0,3,15,0.00321700,0.01282958,0.05073321,0.48865000,0.75702816,0.98863007
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-22 00:00:00.000000,0.01083830,0.03364656,0.10707551,3,10,32,1,4,16,0.00343910,0.01369530,0.05484663,0.48276462,0.75785313,1.07139390
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-23 00:00:00.000000,0.01584095,0.03755372,0.11135290,4,11,33,1,4,18,0.00358888,0.01488449,0.06029961,0.48358272,0.75770535,1.14060190
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-24 00:00:00.000000,0.01651124,0.04526161,0.11585819,4,13,34,1,5,18,0.00542965,0.01845777,0.06155118,0.49115265,0.75456424,1.19011823
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-25 00:00:00.000000,0.01658406,0.05061606,0.11705223,5,15,35,1,5,18,0.00550669,0.01955436,0.06250416,0.46809467,0.74673044,1.20691103
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-26 00:00:00.000000,0.01672975,0.05404735,0.12407628,5,16,37,1,6,19,0.00553838,0.02242872,0.06512251,0.43084001,0.73576657,1.25980821
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-27 00:00:00.000000,0.01682816,0.05741014,0.12959290,5,17,39,1,7,20,0.00558755,0.02365264,0.06914072,0.42654557,0.73589474,1.28966655
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-28 00:00:00.000000,0.01682360,0.06280612,0.14254877,5,18,43,1,7,21,0.00546416,0.02515731,0.07124748,0.42487489,0.74399493,1.29789402
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-29 00:00:00.000000,0.01701634,0.06701348,0.15323330,5,20,46,1,8,22,0.00556908,0.02692027,0.07386900,0.42759545,0.75860815,1.31827903
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-30 00:00:00.000000,0.02112350,0.07272339,0.16336286,6,21,49,1,8,23,0.00543293,0.02840776,0.07753452,0.43402958,0.78130007,1.32292603
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-03-31 00:00:00.000000,0.02290370,0.07714317,0.17112590,6,23,51,2,9,25,0.00723856,0.03013456,0.08424993,0.46670394,0.78134457,1.37681616
23007,0,USMaineFranklin,Maine,Franklin,2020-09-22 15:19:22.906115,2020-04-01 00:00:00.000000,0.02082583,0.08078187,0.17718223,6,24,53,2,9,27,0.00695293,0.02996752,0.08951778,0.53113247,0.79300105,1.36699239
