FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-09 00:00:00.000000,0.00764483,0.02394733,0.05496038,3,9,21,0,1,3,0.00052017,0.00303408,0.00842048,0.56027277,0.71095412,1.01839952
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-10 00:00:00.000000,0.00809585,0.02283006,0.04587431,3,9,18,0,1,5,0.00101717,0.00460291,0.01415749,0.56027277,0.71095343,1.01841917
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-11 00:00:00.000000,0.00979647,0.02618026,0.05912734,3,10,23,0,2,6,0.00136288,0.00507268,0.01759337,0.56027278,0.71095151,1.01844376
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-12 00:00:00.000000,0.01062466,0.03018188,0.07060424,4,12,28,0,2,7,0.00168558,0.00559048,0.01905776,0.56027279,0.71094627,1.01847432
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-13 00:00:00.000000,0.01133976,0.03326605,0.08353025,4,13,33,0,2,7,0.00192806,0.00569583,0.01946445,0.56027283,0.71093200,1.01851220
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-14 00:00:00.000000,0.01196107,0.03402437,0.09517922,4,13,37,0,2,7,0.00222242,0.00619320,0.01996681,0.56027289,0.71089320,1.01855975
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-15 00:00:00.000000,0.01250319,0.03448138,0.10451590,4,13,41,0,2,8,0.00232885,0.00654096,0.02029996,0.56027306,0.71078650,1.01862252
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-16 00:00:00.000000,0.01641393,0.03641250,0.10235583,6,14,40,0,2,8,0.00242944,0.00682140,0.02056898,0.56027378,0.71047824,1.01871646
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-17 00:00:00.000000,0.01866817,0.03883439,0.09938317,7,15,39,1,2,6,0.00367827,0.00721254,0.01735844,0.56027865,0.70942659,1.01889062
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-18 00:00:00.000000,0.02105031,0.04685720,0.09507534,8,18,37,1,3,6,0.00404017,0.00788635,0.01733191,0.55631361,0.70303720,1.01929656
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-19 00:00:00.000000,0.02156488,0.05399524,0.09958593,8,21,39,1,3,7,0.00448757,0.00892128,0.01891807,0.55709554,0.70058903,1.02039222
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-20 00:00:00.000000,0.02184519,0.05807412,0.09949120,8,23,39,1,3,8,0.00484729,0.00984243,0.02041689,0.56177044,0.71185570,1.02346954
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-21 00:00:00.000000,0.02002745,0.06186072,0.10857629,7,24,43,2,4,8,0.00514134,0.01061470,0.02194116,0.55629013,0.70422555,1.06610629
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-22 00:00:00.000000,0.01854345,0.06564150,0.12062698,7,26,47,2,4,9,0.00508059,0.01142440,0.02316184,0.51929022,0.70631201,1.05870734
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-23 00:00:00.000000,0.02963817,0.07660321,0.13760593,11,30,54,1,4,9,0.00496161,0.01182489,0.02370391,0.50364569,0.71276990,1.06726531
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-24 00:00:00.000000,0.03906674,0.08736322,0.15294851,15,34,60,3,6,10,0.00866119,0.01635142,0.02643090,0.49782313,0.70935432,1.07705509
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-25 00:00:00.000000,0.05160107,0.10071891,0.16885813,20,40,67,4,7,11,0.01037609,0.01904922,0.02949639,0.49480887,0.71473987,1.06739182
23013,0,USMaineKnox,Maine,Knox,2020-09-17 05:56:05.918886,2020-03-26 00:00:00.000000,0.05906432,0.11064234,0.18372984,23,44,73,4,8,13,0.01187287,0.02178945,0.03285207,0.49067532,0.72192389,1.04282626
