FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-09 00:00:00.000000,0.00748455,0.02263065,0.06179696,2,7,20,0,2,10,0.00138650,0.00861408,0.03006897,0.49964812,0.62377723,0.81846238
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-10 00:00:00.000000,0.00884327,0.02547550,0.06579604,2,8,21,1,3,10,0.00328134,0.01127102,0.03164909,0.49961177,0.62378345,0.81846237
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-11 00:00:00.000000,0.01045853,0.03125759,0.07030403,3,10,23,1,4,11,0.00410521,0.01416569,0.03397479,0.49955584,0.62379219,0.81846228
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-12 00:00:00.000000,0.01200202,0.03407823,0.07626063,4,11,25,1,5,12,0.00478341,0.01653913,0.03632339,0.49946991,0.62380361,0.81846188
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-13 00:00:00.000000,0.01458284,0.03714440,0.08211551,4,12,27,1,6,12,0.00565553,0.01912799,0.03851548,0.49933815,0.62381628,0.81845994
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-14 00:00:00.000000,0.01679141,0.04284301,0.08992745,5,14,30,2,7,15,0.00659441,0.02119312,0.04723937,0.49913674,0.62382386,0.81845063
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-15 00:00:00.000000,0.01898969,0.04769052,0.10262284,6,15,34,2,7,19,0.00756864,0.02360579,0.05755170,0.49883033,0.62380644,0.81840600
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-16 00:00:00.000000,0.02240838,0.05322432,0.11663957,7,17,38,2,8,20,0.00857662,0.02603702,0.06251559,0.49836761,0.62370853,0.81819332
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-17 00:00:00.000000,0.02469999,0.05945739,0.13071843,8,19,43,3,9,22,0.01091247,0.02956892,0.06593549,0.48907296,0.62338501,0.81721281
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-18 00:00:00.000000,0.02773485,0.06513368,0.14166981,9,21,47,4,11,24,0.01352444,0.03323353,0.07246987,0.48901236,0.62247950,0.81329963
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-19 00:00:00.000000,0.03151836,0.06950686,0.14899782,10,23,49,5,12,27,0.01578100,0.03642181,0.08101361,0.46014744,0.61480795,0.80366021
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-20 00:00:00.000000,0.03346342,0.07423752,0.15601669,11,24,52,5,13,29,0.01650091,0.03973159,0.08800536,0.44960866,0.61662403,0.80258290
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-21 00:00:00.000000,0.03525757,0.07829900,0.16477507,11,26,55,6,14,30,0.01807674,0.04223284,0.09204757,0.42265990,0.61345152,0.84174421
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-22 00:00:00.000000,0.03875868,0.08220815,0.18563894,12,27,62,6,14,31,0.01860233,0.04449855,0.09576720,0.42217342,0.60902331,0.83536451
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-23 00:00:00.000000,0.04121549,0.08605892,0.20521121,13,28,68,6,15,33,0.01843643,0.04723211,0.09999911,0.42205942,0.60788323,0.81393774
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-24 00:00:00.000000,0.04134110,0.08977751,0.21950580,13,29,73,6,16,35,0.02034369,0.04850062,0.10634022,0.42206862,0.60929843,0.82121543
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-25 00:00:00.000000,0.04085927,0.09573944,0.24267606,13,31,81,7,16,38,0.02288749,0.05068009,0.11398639,0.42236109,0.61019330,0.82690629
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-26 00:00:00.000000,0.04054943,0.10092567,0.25561073,13,33,85,7,17,41,0.02317065,0.05167284,0.12413297,0.42455010,0.61454436,0.82752169
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-27 00:00:00.000000,0.04024162,0.10814358,0.26882822,13,36,89,7,18,44,0.02299208,0.05515163,0.13462406,0.43378611,0.61310004,0.85105305
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-28 00:00:00.000000,0.04144135,0.11774531,0.28311788,13,39,94,8,19,48,0.02402244,0.05914511,0.14543711,0.43820015,0.61465747,0.87868700
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-29 00:00:00.000000,0.04325685,0.12408043,0.29947900,14,41,100,8,20,52,0.02508481,0.06165215,0.15760308,0.44985927,0.62941133,0.89972037
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-30 00:00:00.000000,0.05309870,0.13158380,0.32124355,17,43,107,8,22,57,0.02547186,0.06643209,0.17158148,0.46037769,0.63612380,0.88339301
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-03-31 00:00:00.000000,0.05857130,0.13852675,0.35106274,19,46,117,10,24,59,0.03151831,0.07207365,0.17669099,0.47201148,0.64323790,0.88095614
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-01 00:00:00.000000,0.07073901,0.14536680,0.38417376,23,48,128,12,25,62,0.03645432,0.07749960,0.18650144,0.49808311,0.65872284,0.92093526
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-02 00:00:00.000000,0.07764347,0.15514022,0.42024737,25,51,140,13,28,66,0.03949875,0.08399704,0.19774647,0.50609571,0.67195318,0.92234370
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-03 00:00:00.000000,0.07910279,0.16588882,0.45877545,26,55,153,13,30,69,0.04105444,0.09030502,0.20832496,0.50637786,0.67310449,0.93115088
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-04 00:00:00.000000,0.08179863,0.18085609,0.49884636,27,60,166,13,32,72,0.04182277,0.09721129,0.21779174,0.51545660,0.69284224,0.97472429
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-05 00:00:00.000000,0.08559627,0.19603186,0.53952282,28,65,180,14,34,77,0.04337837,0.10427882,0.23246243,0.51526747,0.70064840,1.00549444
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-06 00:00:00.000000,0.10167517,0.20146260,0.58726278,33,67,196,15,37,84,0.04663566,0.11088509,0.25183069,0.51566418,0.72160733,1.02028634
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-07 00:00:00.000000,0.11893707,0.21934393,0.63331242,39,73,211,19,38,91,0.05703105,0.11438965,0.27363602,0.51565945,0.73299256,1.02123372
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-08 00:00:00.000000,0.13136707,0.23073611,0.67888649,43,77,226,21,41,98,0.06557777,0.12275445,0.29582008,0.51573037,0.73011445,1.03402066
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-09 00:00:00.000000,0.13321900,0.25405628,0.72433078,44,84,241,23,44,106,0.07133696,0.13397122,0.31778492,0.51333622,0.72942379,1.04233420
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-10 00:00:00.000000,0.13711008,0.27526897,0.76998991,45,91,257,25,48,113,0.07489981,0.14654165,0.33958803,0.51740783,0.73347251,1.04106576
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-11 00:00:00.000000,0.14334040,0.29774829,0.81586036,47,99,272,26,53,122,0.07814789,0.16124915,0.36708413,0.52408034,0.75636501,1.08002366
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-12 00:00:00.000000,0.15667847,0.32439493,0.86176884,52,108,287,28,57,133,0.08515972,0.17302390,0.39905277,0.54095014,0.77535882,1.07650444
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-13 00:00:00.000000,0.18447051,0.34640020,0.91389517,61,115,305,30,61,139,0.08987258,0.18377230,0.41654622,0.56566710,0.80269057,1.09836587
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-14 00:00:00.000000,0.20526744,0.37889637,0.96205256,68,126,321,33,64,146,0.09935680,0.19352660,0.43835433,0.59012362,0.81736485,1.13674379
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-15 00:00:00.000000,0.21879591,0.40539912,0.98647603,73,135,329,35,68,165,0.10671974,0.20419116,0.49603944,0.59397188,0.82613935,1.15638846
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-16 00:00:00.000000,0.22758372,0.43395099,1.07503403,76,144,359,38,72,187,0.11478788,0.21825756,0.56245561,0.59646566,0.82218738,1.17057275
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-17 00:00:00.000000,0.23701725,0.46687856,1.12702131,79,155,376,41,80,208,0.12431055,0.23981361,0.62413620,0.60020802,0.82443116,1.18993704
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-18 00:00:00.000000,0.24844641,0.49929330,1.18029560,82,166,394,44,87,226,0.13399942,0.26326403,0.67821376,0.59870881,0.82780291,1.19931818
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-19 00:00:00.000000,0.26604854,0.54002634,1.23533753,88,180,412,48,94,244,0.14481919,0.28173921,0.73247086,0.59746181,0.84817755,1.21209230
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-20 00:00:00.000000,0.29064861,0.58475861,1.30274358,97,195,435,53,101,261,0.15917517,0.30310918,0.78226013,0.59707639,0.83965464,1.22800621
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-21 00:00:00.000000,0.31722214,0.63384625,1.40318619,105,211,468,57,108,275,0.17085506,0.32474410,0.82525575,0.58629870,0.84223802,1.22855548
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-22 00:00:00.000000,0.34500930,0.68720845,1.48666035,115,229,496,61,116,289,0.18282392,0.34891868,0.86605561,0.57984444,0.84502798,1.22398208
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-23 00:00:00.000000,0.37205303,0.73975838,1.57067665,124,247,524,64,126,302,0.19446201,0.37749493,0.90455444,0.59576897,0.85013294,1.19939433
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-24 00:00:00.000000,0.39844801,0.79647433,1.65906092,133,266,554,70,135,314,0.21191660,0.40452839,0.94147002,0.59094868,0.85084057,1.17888174
24011,0,USMarylandCaroline,Maryland,Caroline,2020-08-21 17:20:39.913713,2020-04-25 00:00:00.000000,0.43109329,0.86368121,1.75480004,144,288,586,76,144,326,0.22864301,0.43352150,0.97703051,0.58918760,0.86574765,1.19100490
