FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-09 00:00:00.000000,0.00058297,0.00306308,0.00786883,1,7,20,0,3,11,0.00012809,0.00118800,0.00440952,0.55693563,0.74920557,1.12205827
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-10 00:00:00.000000,0.00084270,0.00370435,0.00945993,2,9,24,1,5,13,0.00044203,0.00201635,0.00506113,0.55694166,0.74919321,1.12205015
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-11 00:00:00.000000,0.00129167,0.00466433,0.01166709,3,12,30,1,7,15,0.00067301,0.00277437,0.00601729,0.55695463,0.74917688,1.12203682
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-12 00:00:00.000000,0.00175249,0.00609566,0.01392225,4,15,36,2,9,18,0.00100749,0.00353499,0.00726072,0.55698258,0.74915698,1.12201497
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-13 00:00:00.000000,0.00232412,0.00773034,0.01648047,6,20,42,3,11,22,0.00137059,0.00444918,0.00865130,0.55704277,0.74913677,1.12197936
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-14 00:00:00.000000,0.00298075,0.00928954,0.01962562,7,24,50,4,14,28,0.00181035,0.00552285,0.01099192,0.55717233,0.74912645,1.12192180
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-15 00:00:00.000000,0.00375806,0.01136120,0.02387796,9,29,61,6,17,35,0.00232013,0.00682516,0.01377648,0.55829881,0.74905042,1.12183019
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-16 00:00:00.000000,0.00512729,0.01489643,0.02822647,13,38,73,7,21,42,0.00292142,0.00836395,0.01646552,0.56118678,0.74848394,1.12168838
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-17 00:00:00.000000,0.00636072,0.01788810,0.03397157,16,46,88,10,27,51,0.00400256,0.01064268,0.01979896,0.56738009,0.74855788,1.12148014
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-18 00:00:00.000000,0.00782973,0.02145251,0.04084505,20,55,106,12,34,61,0.00494871,0.01317074,0.02386291,0.57832479,0.74780178,1.12120823
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-19 00:00:00.000000,0.00952019,0.02570661,0.04916676,24,66,127,15,42,74,0.00607387,0.01625224,0.02873601,0.57858576,0.74833896,1.12096713
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-20 00:00:00.000000,0.01155990,0.03093479,0.05915841,30,80,153,18,50,89,0.00727184,0.01935304,0.03458774,0.57872647,0.75893221,1.12033192
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-21 00:00:00.000000,0.01417037,0.03666519,0.07115723,36,95,184,22,59,108,0.00873169,0.02304926,0.04161466,0.59360927,0.76402235,1.09885054
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-22 00:00:00.000000,0.01724229,0.04298724,0.08529844,44,111,221,27,71,129,0.01077050,0.02754113,0.05005317,0.58792014,0.77064725,1.07682738
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-23 00:00:00.000000,0.02199056,0.05122735,0.10273791,57,132,266,34,84,155,0.01345280,0.03241313,0.05999935,0.58450771,0.77773801,1.07562648
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-24 00:00:00.000000,0.02730159,0.06131028,0.12324952,70,159,319,43,99,187,0.01674555,0.03827822,0.07224397,0.56640357,0.79439702,1.08027871
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-25 00:00:00.000000,0.03363581,0.07258002,0.14607257,87,188,379,52,117,225,0.02033738,0.04510842,0.08670364,0.57036406,0.80944586,1.08124860
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-26 00:00:00.000000,0.04039848,0.08569689,0.16562961,104,222,429,65,139,277,0.02535906,0.05361481,0.10677790,0.63111324,0.81624932,1.07859728
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-27 00:00:00.000000,0.04954383,0.10113541,0.19722207,128,262,511,80,168,322,0.03112785,0.06475452,0.12417516,0.66912436,0.82926648,1.07786037
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-28 00:00:00.000000,0.06064607,0.12081878,0.24360570,157,313,632,98,199,384,0.03796943,0.07695672,0.14808582,0.67425453,0.83289496,1.07437472
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-29 00:00:00.000000,0.07411125,0.14241779,0.29613409,192,369,768,119,228,456,0.04612032,0.08806920,0.17599061,0.67226853,0.83249836,1.06053087
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-30 00:00:00.000000,0.09047355,0.16945072,0.34944286,234,439,906,144,270,540,0.05559866,0.10416602,0.20828567,0.66924185,0.83268391,1.02855187
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-03-31 00:00:00.000000,0.10831775,0.20394444,0.41038107,281,529,1065,169,322,637,0.06542841,0.12443108,0.24551976,0.66657400,0.83205800,1.00054776
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-01 00:00:00.000000,0.12917538,0.24248915,0.47924036,335,629,1243,201,377,747,0.07761444,0.14550346,0.28816253,0.65598900,0.83363449,0.99072540
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-02 00:00:00.000000,0.15445072,0.28895272,0.55539365,400,749,1441,239,445,873,0.09215389,0.17161102,0.33637997,0.65423533,0.82141357,0.98600698
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-03 00:00:00.000000,0.18314558,0.33623200,0.63670190,475,872,1652,278,518,1011,0.10730516,0.19966180,0.38962681,0.64979681,0.80025300,0.99867721
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-04 00:00:00.000000,0.21708757,0.39697581,0.71931377,563,1030,1866,326,609,1181,0.12573804,0.23487381,0.45529248,0.63102468,0.76921446,1.00516810
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-05 00:00:00.000000,0.25713786,0.45271452,0.80579562,667,1175,2091,383,739,1384,0.14779276,0.28506635,0.53325807,0.56650087,0.73699167,1.00330023
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-06 00:00:00.000000,0.30123101,0.52410578,0.94309431,781,1360,2447,450,866,1614,0.17365241,0.33404018,0.62214300,0.54528730,0.69168141,0.95325437
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-07 00:00:00.000000,0.34846812,0.59671491,1.09790126,904,1548,2849,529,996,1856,0.20412146,0.38387610,0.71516566,0.48646917,0.63686327,0.87689240
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-08 00:00:00.000000,0.39238737,0.66875469,1.23323866,1018,1735,3200,622,1123,2073,0.23975187,0.43305801,0.79885052,0.42417742,0.59155778,0.79753956
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-09 00:00:00.000000,0.43416967,0.73946800,1.31859110,1126,1919,3422,704,1258,2337,0.27132561,0.48499505,0.90075067,0.38612920,0.54834459,0.73192781
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-10 00:00:00.000000,0.46796307,0.79847957,1.40981434,1214,2072,3659,778,1394,2653,0.29984286,0.53742145,1.02238771,0.35762927,0.48924292,0.62821522
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-11 00:00:00.000000,0.48705587,0.83207026,1.53918502,1264,2159,3994,822,1503,2874,0.31701249,0.57936258,1.10765782,0.31464368,0.45308906,0.59065869
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-12 00:00:00.000000,0.50312829,0.85760403,1.63652689,1305,2225,4247,858,1583,3013,0.33094432,0.61026617,1.16099395,0.29691322,0.40854445,0.57966679
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-13 00:00:00.000000,0.51371970,0.88715778,1.70649245,1333,2302,4429,892,1671,3249,0.34403147,0.64403079,1.25180744,0.28763744,0.38412787,0.52149711
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-14 00:00:00.000000,0.52015427,0.92189005,1.73203290,1350,2392,4495,927,1735,3484,0.35752446,0.66861128,1.34252271,0.28288976,0.36511621,0.51367940
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-15 00:00:00.000000,0.52609628,0.94334892,1.78331366,1365,2448,4628,947,1793,3645,0.36520852,0.69115071,1.40439399,0.27281032,0.34847921,0.49599746
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-16 00:00:00.000000,0.53125410,0.96310698,1.82865842,1378,2499,4746,951,1836,3763,0.36644841,0.70772610,1.45005291,0.26388764,0.33446460,0.45102738
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-17 00:00:00.000000,0.53346285,0.97948582,1.86026052,1384,2542,4828,954,1851,3810,0.36778404,0.71319778,1.46806931,0.25712364,0.32643343,0.43460840
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-18 00:00:00.000000,0.53694036,0.98481667,1.87702241,1393,2556,4871,959,1863,3846,0.36980748,0.71780437,1.48216576,0.25022172,0.31611015,0.44899479
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-19 00:00:00.000000,0.54125411,0.99640690,1.89350967,1404,2586,4914,964,1864,3882,0.37168541,0.71848634,1.49569796,0.24300112,0.30509157,0.45861689
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-20 00:00:00.000000,0.54659839,1.00201052,1.91002261,1418,2600,4957,973,1901,3916,0.37493854,0.73267782,1.50883061,0.23985527,0.30306668,0.46077167
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-21 00:00:00.000000,0.55199297,0.99459186,1.92601721,1432,2581,4998,984,1902,3950,0.37950306,0.73317393,1.52199859,0.23968437,0.29958337,0.46045495
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-22 00:00:00.000000,0.55749016,0.99968657,1.94130313,1446,2594,5038,988,1900,3983,0.38087614,0.73226222,1.53467929,0.23757807,0.29603776,0.45852591
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-23 00:00:00.000000,0.55463977,1.01188110,1.95512524,1439,2626,5074,982,1909,4014,0.37854370,0.73577679,1.54672026,0.23161845,0.29379091,0.44886788
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-24 00:00:00.000000,0.55860711,1.01448819,1.97815181,1449,2633,5134,982,1913,4083,0.37872851,0.73736596,1.57327775,0.22644296,0.28780450,0.42617533
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-25 00:00:00.000000,0.56114278,1.00992691,2.01086553,1456,2621,5219,978,1918,4161,0.37681591,0.73926080,1.60330257,0.22829606,0.28096341,0.41837792
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-26 00:00:00.000000,0.55020238,1.00513575,2.02842523,1428,2608,5264,963,1925,4228,0.37124610,0.74203820,1.62906595,0.22179910,0.28194897,0.41396776
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-27 00:00:00.000000,0.53625249,1.00080637,2.03637564,1391,2597,5285,963,1918,4274,0.37124790,0.73929497,1.64690574,0.21462139,0.27676086,0.40018666
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-28 00:00:00.000000,0.52239966,0.99705825,2.04295656,1355,2587,5302,964,1926,4289,0.37147739,0.74214651,1.65287158,0.21221294,0.27586615,0.39414127
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-29 00:00:00.000000,0.51524734,0.99711482,2.04817771,1337,2587,5315,960,1936,4303,0.37004610,0.74621698,1.65802936,0.20972538,0.27478964,0.40441686
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-04-30 00:00:00.000000,0.51119760,0.99719223,2.01890327,1326,2588,5240,941,1946,4250,0.36261430,0.74998651,1.63769681,0.21064672,0.27302491,0.40949089
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-01 00:00:00.000000,0.50882314,0.99364445,1.97960681,1320,2578,5138,923,1940,4169,0.35585095,0.74773171,1.60656946,0.21267284,0.27530374,0.41262219
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-02 00:00:00.000000,0.51046300,0.97909976,1.94002904,1324,2541,5035,907,1924,4088,0.34958005,0.74139796,1.57534743,0.21321304,0.27330103,0.42817166
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-03 00:00:00.000000,0.51113290,0.97698322,1.89940392,1326,2535,4929,891,1914,4006,0.34355987,0.73765810,1.54383242,0.21467996,0.27815672,0.43097799
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-04 00:00:00.000000,0.51351689,0.97934107,1.85713371,1332,2541,4820,888,1902,3922,0.34218502,0.73283425,1.51130004,0.21283704,0.28461936,0.43151631
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-05 00:00:00.000000,0.51481940,0.97064276,1.81599298,1336,2519,4713,879,1902,3834,0.33878271,0.73298244,1.47722298,0.21325990,0.28464715,0.42757573
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-06 00:00:00.000000,0.51612290,0.96307957,1.78596760,1339,2499,4635,870,1889,3748,0.33552093,0.72801303,1.44438457,0.21823601,0.28406803,0.44138612
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-07 00:00:00.000000,0.51218381,0.95084683,1.76253528,1329,2467,4574,864,1896,3691,0.33310486,0.73085792,1.42228000,0.21829191,0.28520788,0.45071035
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-08 00:00:00.000000,0.50827964,0.95031760,1.74089961,1319,2466,4518,862,1919,3647,0.33217937,0.73944119,1.40538121,0.21977394,0.28554241,0.45726273
24021,0,USMarylandFrederick,Maryland,Frederick,2020-10-02 07:17:05.320105,2020-05-09 00:00:00.000000,0.50492300,0.95612619,1.71991230,1310,2481,4463,864,1940,3603,0.33297630,0.74767412,1.38843162,0.21813501,0.28642376,0.46094352
