FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-09 00:00:00.000000,0.00401587,0.00713745,0.01057502,20,37,55,11,25,39,0.00219753,0.00481333,0.00765441,0.83256520,1.01358379,1.31014317
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-10 00:00:00.000000,0.00528180,0.00967408,0.01533152,27,50,79,15,26,50,0.00301293,0.00508777,0.00970837,0.83268309,1.01358314,1.31014333
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-11 00:00:00.000000,0.00657691,0.01087340,0.01768132,34,56,92,18,42,61,0.00358130,0.00813378,0.01174290,0.83296700,1.01358203,1.31014377
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-12 00:00:00.000000,0.00826170,0.01436503,0.02443248,43,74,127,24,42,90,0.00464588,0.00812935,0.01727401,0.83365021,1.01358017,1.31014491
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-13 00:00:00.000000,0.01081957,0.01653468,0.03113329,56,86,162,25,62,91,0.00498098,0.01194115,0.01759331,0.83443724,1.01357704,1.31014801
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-14 00:00:00.000000,0.01240747,0.02122604,0.03858124,64,110,201,35,65,155,0.00671999,0.01255401,0.02987209,0.83447388,1.01357184,1.31015663
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-15 00:00:00.000000,0.01388783,0.02492494,0.05376259,72,129,280,38,90,159,0.00745588,0.01731879,0.03067413,0.83456996,1.01356329,1.31018122
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-16 00:00:00.000000,0.01565289,0.03148904,0.06656660,81,164,346,44,98,265,0.00852058,0.01896241,0.05098657,0.83483103,1.01354915,1.31092106
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-17 00:00:00.000000,0.01751536,0.03726486,0.09198595,91,194,479,44,135,276,0.00859317,0.02608779,0.05309344,0.83558352,1.02154764,1.31451709
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-18 00:00:00.000000,0.01970444,0.04799322,0.11398597,102,250,594,56,151,451,0.01074725,0.02902321,0.08655019,0.83794290,1.02990150,1.32243940
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-19 00:00:00.000000,0.02214247,0.05702379,0.15655520,115,297,815,58,207,475,0.01122605,0.03988076,0.09130650,0.85345227,1.04095359,1.33778476
25023,0,USMassachusettsPlymouth,Massachusetts,Plymouth,2020-07-31 03:17:03.177843,2020-03-20 00:00:00.000000,0.02519523,0.07268357,0.19432981,131,378,1012,71,225,763,0.01365295,0.04323240,0.14641031,0.85339531,1.04367148,1.36124524
