FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-09 00:00:00.000000,0.00075260,0.01477796,0.05843999,0,1,5,0,0,3,0.00039329,0.00825226,0.03369984,0.35814292,0.53623881,0.76988920
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-10 00:00:00.000000,0.00092910,0.01621715,0.06143492,0,1,5,0,0,2,0.00040514,0.00833774,0.03154797,0.35812862,0.53623419,0.76935933
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-11 00:00:00.000000,0.00111645,0.01785803,0.06467948,0,1,5,0,0,2,0.00046860,0.00884010,0.03147172,0.35809544,0.53622301,0.76821435
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-12 00:00:00.000000,0.00132303,0.01958921,0.06815505,0,1,6,0,0,3,0.00056189,0.00977606,0.03456282,0.35801856,0.53619594,0.76575829
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-13 00:00:00.000000,0.00155525,0.02065511,0.07363639,0,1,6,0,0,3,0.00067155,0.01086186,0.03745847,0.35784085,0.53613052,0.76057340
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-14 00:00:00.000000,0.00181896,0.02206275,0.07984180,0,2,7,0,1,3,0.00079718,0.01203947,0.04136016,0.35743245,0.53530456,0.74999061
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-15 00:00:00.000000,0.00212017,0.02402438,0.08638837,0,2,7,0,1,4,0.00094021,0.01286793,0.04541987,0.35650646,0.53217843,0.72980847
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-16 00:00:00.000000,0.00246544,0.02608315,0.09331285,0,2,8,0,1,4,0.00110312,0.01356356,0.04959984,0.35446966,0.52852372,0.69992419
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-17 00:00:00.000000,0.00286213,0.02874657,0.10057685,0,2,9,0,1,4,0.00128913,0.01478737,0.05301431,0.35027427,0.51955798,0.69107180
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-18 00:00:00.000000,0.00331833,0.03166077,0.10831489,0,2,9,0,1,4,0.00150207,0.01609589,0.05470276,0.34228617,0.51429958,0.67361350
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-19 00:00:00.000000,0.00384224,0.03459590,0.10868117,0,3,9,0,1,5,0.00174629,0.01726206,0.05567113,0.33130603,0.49317278,0.67299844
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-20 00:00:00.000000,0.00443934,0.03600057,0.11312046,0,3,10,0,1,5,0.00202649,0.01825833,0.05594949,0.32591910,0.48815706,0.67329448
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-21 00:00:00.000000,0.00510665,0.03740746,0.11858056,0,3,10,0,1,5,0.00234686,0.01994224,0.05979118,0.32347406,0.45704684,0.67310846
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-22 00:00:00.000000,0.00575853,0.03899522,0.12386521,0,3,11,0,1,5,0.00270901,0.02081507,0.06464043,0.30519439,0.44460462,0.67285113
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-23 00:00:00.000000,0.00597326,0.04047671,0.12903085,0,3,11,0,1,6,0.00310114,0.02152550,0.06979305,0.29347468,0.42681681,0.67252393
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-24 00:00:00.000000,0.00619400,0.04212952,0.13407603,0,3,12,0,2,6,0.00322561,0.02301202,0.07526533,0.25617491,0.40938440,0.67046956
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-25 00:00:00.000000,0.00642003,0.04295598,0.13884922,0,3,12,0,2,7,0.00335076,0.02374881,0.08106716,0.24846428,0.38923814,0.64890866
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-26 00:00:00.000000,0.00664556,0.04352723,0.14289833,0,3,13,0,2,7,0.00347757,0.02440829,0.08669532,0.22738484,0.37969789,0.62337983
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-27 00:00:00.000000,0.00684715,0.04488801,0.14540024,0,4,13,0,2,8,0.00360522,0.02504504,0.08953462,0.19611691,0.37221298,0.59757835
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-28 00:00:00.000000,0.00698459,0.04679447,0.14624963,0,4,13,0,2,8,0.00372768,0.02540735,0.09171500,0.18626789,0.36231884,0.58805973
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-29 00:00:00.000000,0.00706644,0.04908829,0.15429450,0,4,14,0,2,8,0.00383181,0.02569629,0.09299170,0.18383850,0.34734095,0.57882673
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-30 00:00:00.000000,0.00712667,0.05098737,0.16253112,0,4,14,0,2,8,0.00391168,0.02612095,0.09343228,0.18292467,0.33130333,0.56896905
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-03-31 00:00:00.000000,0.00717919,0.05197046,0.17083742,0,4,15,0,2,8,0.00397203,0.02694557,0.09322118,0.18197927,0.32419442,0.55769451
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-01 00:00:00.000000,0.00722818,0.05296315,0.17909251,0,4,16,0,2,8,0.00401927,0.02733711,0.09256216,0.18034661,0.32297890,0.54230891
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-02 00:00:00.000000,0.00727682,0.05405142,0.18725663,0,4,17,0,2,8,0.00405820,0.02846720,0.09441185,0.17746737,0.31377674,0.51988987
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-03 00:00:00.000000,0.00732000,0.05323945,0.19538824,0,4,17,0,2,9,0.00409186,0.02896704,0.09894868,0.17121054,0.30923856,0.48902216
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-04 00:00:00.000000,0.00732040,0.05451437,0.20356464,0,4,18,0,2,9,0.00412119,0.02834148,0.10346961,0.16898749,0.29730053,0.45751916
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-05 00:00:00.000000,0.00719502,0.05387067,0.21165782,0,4,19,0,2,9,0.00413871,0.02905081,0.10799304,0.16508228,0.27862066,0.44889432
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-06 00:00:00.000000,0.00701470,0.05383741,0.21625990,0,4,19,0,2,10,0.00411956,0.03011249,0.11249692,0.16275483,0.26490542,0.42972555
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-07 00:00:00.000000,0.00682372,0.05360422,0.21571249,0,4,19,0,2,10,0.00406488,0.02966232,0.11666159,0.16157823,0.25546795,0.42123453
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-08 00:00:00.000000,0.00662971,0.05239462,0.21486530,0,4,19,0,2,10,0.00398689,0.02879831,0.11990314,0.15777970,0.24947077,0.40051375
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-09 00:00:00.000000,0.00643615,0.05112515,0.21379720,0,4,19,0,2,11,0.00389494,0.02852889,0.12230401,0.14421796,0.24319956,0.40015669
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-10 00:00:00.000000,0.00624528,0.04998814,0.21257081,0,4,19,0,2,11,0.00379519,0.02782991,0.12371255,0.14396914,0.23923116,0.40005226
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-11 00:00:00.000000,0.00605883,0.04854808,0.21123379,0,4,19,0,2,11,0.00369170,0.02773483,0.12321223,0.14394233,0.23577447,0.40000789
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-12 00:00:00.000000,0.00587856,0.04644200,0.20979096,0,4,19,0,2,11,0.00358716,0.02745702,0.12260466,0.13932235,0.23166650,0.39998887
26003,0,USMichiganAlger,Michigan,Alger,2020-10-11 17:25:50.122319,2020-04-13 00:00:00.000000,0.00570632,0.04527790,0.20824225,0,4,18,0,2,11,0.00348353,0.02750528,0.12190701,0.13684018,0.22942442,0.39996332
