FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-09 00:00:00.000000,0.00217564,0.00586811,0.01384468,1,4,11,0,0,4,0.00039610,0.00122129,0.00609806,0.55402103,0.79054110,1.00315486
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-10 00:00:00.000000,0.00281645,0.00762129,0.01661423,2,6,13,1,2,6,0.00136927,0.00352782,0.00768464,0.55416719,0.79054050,1.00315475
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-11 00:00:00.000000,0.00392785,0.01010404,0.02086364,3,8,16,1,3,7,0.00177222,0.00440376,0.00947056,0.55444631,0.79053983,1.00315455
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-12 00:00:00.000000,0.00482043,0.01232895,0.02431759,3,9,19,1,4,9,0.00226725,0.00574389,0.01184369,0.55497862,0.79053947,1.00315414
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-13 00:00:00.000000,0.00533599,0.01441354,0.03003327,4,11,23,1,5,11,0.00247717,0.00645662,0.01467518,0.55599099,0.79054080,1.00315332
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-14 00:00:00.000000,0.00578435,0.01627088,0.03579384,4,12,28,2,5,14,0.00271234,0.00746633,0.01770703,0.55790640,0.79054876,1.00315161
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-15 00:00:00.000000,0.00638129,0.01810871,0.04179718,5,14,33,2,6,16,0.00311310,0.00862791,0.02077721,0.56112972,0.79058145,1.00407129
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-16 00:00:00.000000,0.00869234,0.02084613,0.04611036,6,16,36,2,7,19,0.00364679,0.00992424,0.02396765,0.56252298,0.79070858,1.00660842
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-17 00:00:00.000000,0.01061407,0.02294945,0.05061610,8,18,40,3,8,20,0.00501299,0.01095755,0.02547417,0.56909369,0.79120068,1.01153791
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-18 00:00:00.000000,0.01173314,0.02598476,0.05876882,9,20,46,4,10,22,0.00526768,0.01259206,0.02833619,0.58820505,0.79699631,1.02080155
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-19 00:00:00.000000,0.01351954,0.03014358,0.06676939,10,23,53,4,11,27,0.00613936,0.01484729,0.03403990,0.61739432,0.80386015,1.02090647
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-20 00:00:00.000000,0.01432080,0.03365634,0.07683798,11,26,61,5,13,32,0.00642782,0.01684329,0.04026907,0.63983201,0.81344881,1.02499884
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-21 00:00:00.000000,0.01515026,0.03685920,0.08792444,12,29,69,5,14,37,0.00677771,0.01859949,0.04723530,0.66076006,0.82460696,1.04856411
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-22 00:00:00.000000,0.01598027,0.04048504,0.09845754,12,32,78,5,16,42,0.00719431,0.02066232,0.05320594,0.65680092,0.81436699,1.04478463
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-23 00:00:00.000000,0.02777269,0.05226676,0.10954002,22,41,87,6,18,46,0.00767297,0.02280859,0.05868528,0.65467306,0.82333820,1.07690369
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-24 00:00:00.000000,0.03929644,0.06311564,0.12060920,31,50,95,14,24,51,0.01784075,0.03042646,0.06531261,0.65881085,0.82987414,1.08282515
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-25 00:00:00.000000,0.05042369,0.07752271,0.14333267,40,61,114,16,29,61,0.02124857,0.03733663,0.07747060,0.65387619,0.83540481,1.09655849
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-26 00:00:00.000000,0.06298000,0.09146167,0.16529565,50,72,131,21,36,72,0.02696767,0.04552021,0.09158388,0.65374815,0.84289858,1.10850992
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-27 00:00:00.000000,0.07669908,0.10727219,0.18762992,61,85,149,25,41,84,0.03231558,0.05154666,0.10642631,0.65381063,0.84790821,1.11107302
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-28 00:00:00.000000,0.08906172,0.12265501,0.21066260,70,97,167,30,47,98,0.03771369,0.05981260,0.12400597,0.65452537,0.85382034,1.09314723
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-29 00:00:00.000000,0.10116039,0.13827164,0.23504296,80,110,187,34,53,111,0.04314407,0.06753183,0.14045610,0.65271235,0.85224514,1.08084619
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-30 00:00:00.000000,0.10955979,0.14943484,0.25339960,87,118,201,38,60,127,0.04860604,0.07564174,0.16036025,0.64470129,0.83845230,1.04699735
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-03-31 00:00:00.000000,0.11207105,0.15980598,0.27755275,89,127,220,36,63,137,0.04643403,0.08001505,0.17244082,0.63361206,0.82539062,1.04159217
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-04-01 00:00:00.000000,0.11443174,0.17079375,0.29992262,91,135,238,40,69,149,0.05050165,0.08718402,0.18825498,0.59426549,0.80110188,1.03576015
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-04-02 00:00:00.000000,0.11431245,0.17833753,0.32322653,90,141,257,39,73,161,0.04935540,0.09260567,0.20328685,0.58267589,0.79089754,1.02394286
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-04-03 00:00:00.000000,0.11067734,0.18993894,0.34418486,88,151,273,38,77,173,0.04898660,0.09725967,0.21834691,0.56036402,0.78111568,1.00445184
26037,0,USMichiganClinton,Michigan,Clinton,2020-08-09 22:22:17.040458,2020-04-04 00:00:00.000000,0.10504248,0.19815936,0.36063316,83,157,287,37,79,184,0.04650840,0.09998587,0.23193186,0.52723027,0.74493813,0.98653882
