FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-09 00:00:00.000000,0.00791987,0.03307354,0.09963916,1,4,13,0,2,7,0.00464543,0.01797397,0.05278510,0.38138504,0.52165363,0.69036063
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-10 00:00:00.000000,0.00815120,0.03542460,0.10266230,1,4,14,0,2,7,0.00456012,0.01812602,0.05116727,0.38137251,0.52165268,0.69035143
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-11 00:00:00.000000,0.00838306,0.03799937,0.10602929,1,5,14,0,2,7,0.00446118,0.01878519,0.05071220,0.38134880,0.52164867,0.69032902
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-12 00:00:00.000000,0.00859116,0.04064225,0.10949830,1,5,15,0,2,7,0.00455828,0.01945501,0.05136518,0.38129377,0.52163174,0.69027469
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-13 00:00:00.000000,0.00876905,0.04310415,0.11307797,1,6,15,0,2,7,0.00476790,0.02079386,0.05516771,0.38111558,0.51804108,0.68906530
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-14 00:00:00.000000,0.00891689,0.04694019,0.12089534,1,6,16,0,3,8,0.00504281,0.02220680,0.05918507,0.38033869,0.51497221,0.68070975
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-15 00:00:00.000000,0.00903643,0.05050192,0.12850446,1,7,17,0,3,9,0.00523319,0.02370273,0.06449096,0.37646842,0.51294978,0.68070885
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-16 00:00:00.000000,0.02194336,0.06109395,0.14758179,3,8,20,0,3,9,0.00531108,0.02597723,0.06965080,0.35838611,0.50608556,0.68070406
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-17 00:00:00.000000,0.02726600,0.07135775,0.17648238,3,9,24,1,4,10,0.00753455,0.02902782,0.07707225,0.33981242,0.49245310,0.68066804
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-18 00:00:00.000000,0.03296958,0.08653829,0.20075083,4,12,28,1,4,11,0.01053673,0.03395318,0.08400464,0.32756673,0.47613781,0.66181917
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-19 00:00:00.000000,0.03899299,0.10200096,0.22869950,5,14,31,1,5,12,0.01397762,0.04107481,0.09169687,0.31782780,0.46048059,0.65883311
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-20 00:00:00.000000,0.04528267,0.11524080,0.25676916,6,16,35,2,6,14,0.01738995,0.04895714,0.10023421,0.30218061,0.44567736,0.65249595
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-21 00:00:00.000000,0.05169889,0.13037755,0.28712608,7,18,40,2,7,16,0.02108746,0.05382751,0.11582238,0.28842135,0.41956106,0.64179225
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-22 00:00:00.000000,0.05788900,0.14208646,0.31715962,8,19,44,3,8,18,0.02453957,0.06041989,0.13252960,0.26979190,0.40167400,0.62253109
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-23 00:00:00.000000,0.07187699,0.15285051,0.33158334,10,21,46,3,9,20,0.02784584,0.07029441,0.14932476,0.25996972,0.38647953,0.59244060
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-24 00:00:00.000000,0.08370372,0.16785082,0.35045860,11,23,48,4,10,22,0.03299287,0.07739295,0.16146314,0.25929893,0.38090956,0.57295802
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-25 00:00:00.000000,0.08818740,0.18473711,0.36899036,12,25,51,5,11,23,0.03612238,0.08334180,0.17058288,0.25827431,0.37495021,0.52322259
26053,0,USMichiganGogebic,Michigan,Gogebic,2020-10-11 17:17:19.236524,2020-03-26 00:00:00.000000,0.09256654,0.19859950,0.38621985,12,27,53,5,12,24,0.03899113,0.09021753,0.17783705,0.24213179,0.36101663,0.52909558
