FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-09 00:00:00.000000,0.00269058,0.01504757,0.04435613,1,6,20,0,2,7,0.00115209,0.00560557,0.01716874,0.61454686,0.80707975,1.02116410
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-10 00:00:00.000000,0.00266669,0.01280135,0.03750598,1,5,17,0,3,8,0.00119060,0.00659138,0.01935143,0.61454694,0.80707977,1.02116410
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-11 00:00:00.000000,0.00254921,0.01322917,0.04217413,1,6,19,0,2,8,0.00120236,0.00583335,0.01786654,0.61454734,0.80707984,1.02116410
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-12 00:00:00.000000,0.00254170,0.01244751,0.04640478,1,5,21,0,2,7,0.00118380,0.00570282,0.01652922,0.61454921,0.80708004,1.02116412
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-13 00:00:00.000000,0.00251094,0.01252397,0.04339575,1,5,19,0,2,7,0.00118650,0.00556920,0.01611493,0.61455793,0.80708073,1.02116419
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-14 00:00:00.000000,0.00248288,0.01251548,0.04011845,1,5,18,0,2,8,0.00117289,0.00500638,0.01757437,0.61459878,0.80708303,1.02115272
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-15 00:00:00.000000,0.00249556,0.01189345,0.03772039,1,5,17,0,2,8,0.00113239,0.00485879,0.01916912,0.61478997,0.80709096,1.02106660
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-16 00:00:00.000000,0.00489075,0.01514375,0.04533082,2,6,20,0,2,9,0.00104423,0.00451935,0.02091112,0.61568242,0.80711993,1.02096469
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-17 00:00:00.000000,0.00697486,0.01956812,0.05326172,3,8,24,0,3,11,0.00219159,0.00837424,0.02552452,0.61979657,0.80723742,1.02086301
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-18 00:00:00.000000,0.00819033,0.02482693,0.06292062,3,11,28,1,4,13,0.00296556,0.01021101,0.03054000,0.62317133,0.81813148,1.02351900
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-19 00:00:00.000000,0.00812416,0.02839726,0.07335673,3,12,33,1,5,16,0.00349042,0.01204146,0.03628580,0.62507243,0.81769435,1.04011307
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-20 00:00:00.000000,0.00945347,0.03233406,0.08581185,4,14,39,1,5,19,0.00388398,0.01314979,0.04206235,0.63141839,0.84752214,1.05765380
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-21 00:00:00.000000,0.01058066,0.03610712,0.09749799,4,16,44,2,6,22,0.00439890,0.01509450,0.04921895,0.64472048,0.86109095,1.07946095
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-22 00:00:00.000000,0.01040949,0.03946288,0.11162320,4,17,50,1,7,25,0.00438000,0.01649346,0.05643480,0.64694255,0.85940596,1.10668252
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-23 00:00:00.000000,0.02440634,0.05489892,0.13600831,11,25,62,1,8,29,0.00438421,0.01787434,0.06412620,0.65302991,0.87300762,1.12795803
26059,0,USMichiganHillsdale,Michigan,Hillsdale,2020-09-22 14:25:20.369491,2020-03-24 00:00:00.000000,0.03453148,0.07216760,0.16606906,15,32,75,6,12,32,0.01338490,0.02834077,0.07230301,0.64381194,0.89480309,1.13620239
