FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-09 00:00:00.000000,0.00210659,0.00852494,0.02246642,1,5,14,0,2,8,0.00100171,0.00448249,0.01281909,0.42778474,0.58193110,0.81671108
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-10 00:00:00.000000,0.00240302,0.00968897,0.02590646,1,6,16,0,3,8,0.00107846,0.00464621,0.01295620,0.42778489,0.58199665,0.81669485
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-11 00:00:00.000000,0.00264515,0.01087934,0.02932719,1,7,18,0,3,9,0.00121886,0.00514838,0.01408375,0.42778542,0.58208778,0.81665980
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-12 00:00:00.000000,0.00283337,0.01230359,0.03232218,1,7,20,0,3,10,0.00138352,0.00559497,0.01576259,0.42778726,0.58221397,0.81658417
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-13 00:00:00.000000,0.00303338,0.01386271,0.03552587,1,8,22,0,4,11,0.00153027,0.00636701,0.01778712,0.42779367,0.58238775,0.81642115
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-14 00:00:00.000000,0.00329282,0.01542942,0.03870539,2,9,25,1,4,12,0.00168559,0.00715364,0.02007681,0.42781599,0.58262498,0.81607068
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-15 00:00:00.000000,0.00357389,0.01730933,0.04215594,2,11,27,1,5,14,0.00184944,0.00808630,0.02181579,0.42789369,0.58294440,0.81532133
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-16 00:00:00.000000,0.00710549,0.02311123,0.04814795,4,14,31,1,5,15,0.00202163,0.00894919,0.02378071,0.42816265,0.58336442,0.81373700
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-17 00:00:00.000000,0.01017393,0.02818954,0.05551351,6,18,35,1,6,17,0.00301944,0.01060362,0.02652945,0.42608446,0.58195805,0.81046349
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-18 00:00:00.000000,0.01287993,0.03259205,0.06264520,8,21,40,2,8,19,0.00444873,0.01278133,0.03040213,0.41112830,0.56997601,0.80400721
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-19 00:00:00.000000,0.01616170,0.03856247,0.07029809,10,24,45,3,10,22,0.00597457,0.01583940,0.03479473,0.41060597,0.55296108,0.79236636
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-20 00:00:00.000000,0.01981713,0.04444820,0.07833798,12,28,50,4,12,25,0.00750909,0.01914043,0.03985672,0.40559933,0.54701447,0.79071520
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-21 00:00:00.000000,0.02389397,0.05220401,0.08884952,15,33,57,5,14,29,0.00921951,0.02289753,0.04524526,0.38303996,0.53772317,0.78652254
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-22 00:00:00.000000,0.02845619,0.05904748,0.10196242,18,38,65,7,17,32,0.01110274,0.02663054,0.05090163,0.36766240,0.52497005,0.75176219
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-23 00:00:00.000000,0.03480568,0.06705676,0.11705414,22,43,75,8,20,36,0.01334896,0.03106804,0.05690311,0.35801739,0.51116465,0.72403363
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-24 00:00:00.000000,0.04017356,0.07588768,0.12928819,25,49,83,10,22,41,0.01579036,0.03494786,0.06420947,0.35202697,0.50665051,0.72542301
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-25 00:00:00.000000,0.04440003,0.08467894,0.14250500,28,54,92,12,25,46,0.01886956,0.03982715,0.07251892,0.34786701,0.49701266,0.73204129
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-26 00:00:00.000000,0.05185322,0.09454951,0.15990485,33,61,103,14,28,52,0.02235794,0.04454318,0.08177572,0.34343125,0.48916812,0.72883763
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-27 00:00:00.000000,0.05895922,0.10518803,0.17774079,38,68,114,16,31,59,0.02604861,0.04914455,0.09189455,0.34171202,0.48574221,0.68860946
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-28 00:00:00.000000,0.06665425,0.11628578,0.19926329,43,75,128,18,35,66,0.02824338,0.05410693,0.10296922,0.32347448,0.48894769,0.67170290
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-29 00:00:00.000000,0.07272101,0.12718736,0.22367543,47,82,144,19,38,74,0.03043069,0.05941622,0.11521485,0.31526409,0.48428329,0.62645630
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-30 00:00:00.000000,0.07682689,0.13807596,0.24206654,49,89,156,21,42,83,0.03263203,0.06578063,0.12868027,0.31154966,0.46893167,0.62262809
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-03-31 00:00:00.000000,0.08090165,0.15095898,0.25978382,52,97,168,22,47,91,0.03502182,0.07282680,0.14157583,0.30951296,0.45949787,0.64776851
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-01 00:00:00.000000,0.08512727,0.16344749,0.27729412,55,105,179,24,51,99,0.03828969,0.08025506,0.15392464,0.30854976,0.45622520,0.66261161
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-02 00:00:00.000000,0.08959271,0.17744807,0.29666463,57,114,191,27,56,107,0.04191558,0.08723424,0.16590698,0.30801756,0.45225958,0.60462240
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-03 00:00:00.000000,0.09431956,0.19248990,0.31707706,61,124,205,29,62,115,0.04585150,0.09658154,0.17792895,0.30781368,0.44506210,0.58368145
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-04 00:00:00.000000,0.10002357,0.20824827,0.34429385,64,134,222,32,69,123,0.05035331,0.10799765,0.19036017,0.30788773,0.43878509,0.58858598
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-05 00:00:00.000000,0.10811961,0.22629251,0.37596709,69,146,243,36,77,131,0.05581151,0.11946928,0.20344123,0.30831031,0.42987016,0.58813720
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-06 00:00:00.000000,0.11718413,0.24759790,0.40727945,75,160,263,39,83,145,0.06076564,0.12963915,0.22449411,0.30464778,0.41960230,0.58713718
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-07 00:00:00.000000,0.12660322,0.26914134,0.44116135,81,174,285,42,91,153,0.06515936,0.14158887,0.23744005,0.29982411,0.41112468,0.58717600
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-08 00:00:00.000000,0.13643620,0.29275183,0.46758095,88,189,302,45,99,163,0.07047230,0.15312483,0.25345237,0.29406887,0.40629721,0.58748720
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-09 00:00:00.000000,0.14665030,0.31342868,0.50240925,94,202,325,49,105,176,0.07654815,0.16322966,0.27239874,0.28907310,0.40519212,0.57335867
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-10 00:00:00.000000,0.15729197,0.33780231,0.53916976,101,218,348,53,114,186,0.08317164,0.17636052,0.28821382,0.28635386,0.39927723,0.55026234
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-11 00:00:00.000000,0.16847013,0.36109557,0.57647459,108,233,372,57,122,197,0.08867945,0.19004931,0.30464648,0.28213713,0.38457952,0.54553086
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-12 00:00:00.000000,0.18253194,0.38351197,0.61159236,118,248,395,60,131,208,0.09418581,0.20395357,0.32177687,0.27947960,0.38568876,0.54719705
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-13 00:00:00.000000,0.20200266,0.40659721,0.64604126,130,263,417,64,141,220,0.09978947,0.21940640,0.34102542,0.27805654,0.38264446,0.54838290
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-14 00:00:00.000000,0.22260571,0.43234587,0.68228917,144,279,441,69,150,232,0.10675458,0.23328881,0.35962308,0.27729148,0.38172333,0.54076796
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-15 00:00:00.000000,0.24129815,0.45873598,0.72054287,156,296,466,74,159,247,0.11456274,0.24674540,0.38184421,0.26710945,0.38188326,0.53369047
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-16 00:00:00.000000,0.26239817,0.48314695,0.76221479,169,312,493,79,168,264,0.12316958,0.26039363,0.40869486,0.24844859,0.37249195,0.52736073
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-17 00:00:00.000000,0.28283866,0.50716813,0.81552256,182,328,527,86,177,282,0.13375941,0.27507858,0.43660484,0.23885819,0.36207692,0.51645217
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-18 00:00:00.000000,0.29425104,0.54298755,0.84703522,190,351,548,94,190,299,0.14616637,0.29412373,0.46286913,0.22689894,0.34777172,0.49836495
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-19 00:00:00.000000,0.30652158,0.57297135,0.88615097,198,370,573,101,203,317,0.15713161,0.31462206,0.49008840,0.21250005,0.33962866,0.49649084
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-20 00:00:00.000000,0.32205391,0.60343446,0.92620221,208,390,599,105,215,337,0.16346689,0.33300173,0.52164234,0.20439004,0.33283743,0.46412864
26067,0,USMichiganIonia,Michigan,Ionia,2020-10-11 17:14:31.202887,2020-04-21 00:00:00.000000,0.32585586,0.62720948,0.96790842,210,405,626,110,227,356,0.17091003,0.35230659,0.55077668,0.20206398,0.32445692,0.46249124
