FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-09 00:00:00.000000,0.01273998,0.07879929,0.21776522,0,4,13,0,2,9,0.00810808,0.04334450,0.14796320,0.35498524,0.51848570,0.69280989
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-10 00:00:00.000000,0.01294073,0.07634318,0.21083129,0,4,13,0,2,8,0.00843055,0.04357363,0.14053050,0.35498523,0.51848120,0.69277614
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-11 00:00:00.000000,0.01330251,0.07354636,0.21045884,0,4,13,0,2,8,0.00862578,0.04099686,0.13093812,0.35498522,0.51847219,0.69271912
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-12 00:00:00.000000,0.01362456,0.07176406,0.21144593,0,4,13,0,2,7,0.00796491,0.03945877,0.11780165,0.35498518,0.51845297,0.69262248
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-13 00:00:00.000000,0.01395135,0.06872069,0.20551427,0,4,12,0,2,7,0.00702591,0.03917045,0.11547800,0.35498510,0.51840960,0.69245634
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-14 00:00:00.000000,0.01336077,0.06608836,0.18703742,0,4,11,0,2,7,0.00614656,0.03809764,0.12096954,0.35498492,0.51830727,0.69215850
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-15 00:00:00.000000,0.01164839,0.06497079,0.19237817,0,4,11,0,2,7,0.00535226,0.03728313,0.12556921,0.35498444,0.51805798,0.69157017
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-16 00:00:00.000000,0.03713212,0.08207166,0.20854245,2,5,12,0,2,8,0.00464892,0.03594082,0.12929386,0.35498277,0.51743865,0.69020071
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-17 00:00:00.000000,0.04517088,0.09862271,0.22316925,2,6,13,1,3,8,0.02146496,0.05168226,0.14258685,0.33986951,0.51383720,0.67062032
26095,0,USMichiganLuce,Michigan,Luce,2020-08-21 16:44:43.216682,2020-03-18 00:00:00.000000,0.05734717,0.12484255,0.23872779,3,7,14,1,4,9,0.02515127,0.06724167,0.15275336,0.30377605,0.51061622,0.64789352
