FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-09 00:00:00.000000,0.00170011,0.00996509,0.02623950,1,6,17,0,2,7,0.00066419,0.00396301,0.01145418,0.54781853,0.68014763,1.02675766
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-10 00:00:00.000000,0.00187359,0.00822775,0.02605653,1,5,17,0,2,7,0.00071446,0.00411197,0.01129416,0.54781958,0.68014803,1.02675763
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-11 00:00:00.000000,0.00183996,0.00796082,0.02565337,1,5,17,0,2,7,0.00070663,0.00377658,0.01161095,0.54782236,0.68014893,1.02675751
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-12 00:00:00.000000,0.00189946,0.00757255,0.02528957,1,5,16,0,2,7,0.00070987,0.00363313,0.01107048,0.54782977,0.68015091,1.02675697
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-13 00:00:00.000000,0.00178177,0.00737124,0.02487607,1,4,16,0,2,7,0.00070796,0.00352506,0.01099904,0.54784946,0.68015533,1.02675407
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-14 00:00:00.000000,0.00165901,0.00722071,0.02442779,1,4,16,0,2,7,0.00070092,0.00350321,0.01124731,0.54790143,0.68016512,1.02673768
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-15 00:00:00.000000,0.00154850,0.00713756,0.02396327,1,4,15,0,2,7,0.00069079,0.00348743,0.01149729,0.54801468,0.67997943,1.02664288
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-16 00:00:00.000000,0.00278512,0.00928181,0.02659434,1,6,17,0,2,7,0.00066252,0.00338483,0.01172639,0.54789413,0.67161255,1.02609119
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-17 00:00:00.000000,0.00381002,0.01103813,0.02922774,2,7,19,1,3,9,0.00166942,0.00506547,0.01391669,0.53421337,0.66728880,1.02293486
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-18 00:00:00.000000,0.00533725,0.01392696,0.03238223,3,9,21,1,4,10,0.00202085,0.00630967,0.01549749,0.51026188,0.65058231,1.00676930
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-19 00:00:00.000000,0.00656703,0.01584560,0.03556623,4,10,23,1,4,11,0.00263403,0.00734969,0.01722349,0.50785198,0.65662870,0.95526303
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-20 00:00:00.000000,0.00753032,0.01759083,0.03938295,5,11,26,1,5,12,0.00292866,0.00850283,0.01883808,0.49587994,0.67453185,0.95329345
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-21 00:00:00.000000,0.00814043,0.01979691,0.04235656,5,13,28,2,6,13,0.00319631,0.00942446,0.02042558,0.48758407,0.67985938,0.95103703
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-22 00:00:00.000000,0.00858390,0.02242754,0.04599756,5,14,30,2,6,14,0.00343651,0.01028761,0.02191576,0.47917918,0.67685135,0.94304229
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-23 00:00:00.000000,0.01158994,0.02443760,0.04982093,7,16,33,2,7,15,0.00363790,0.01104346,0.02332479,0.47832940,0.68023204,0.89882339
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-24 00:00:00.000000,0.01326738,0.02697852,0.05476672,8,17,36,3,8,16,0.00475292,0.01281352,0.02474331,0.47798167,0.68220125,0.89942518
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-25 00:00:00.000000,0.01589367,0.02868387,0.06294510,10,19,41,4,9,20,0.00621838,0.01433569,0.03004059,0.47775990,0.68737387,0.89169140
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-26 00:00:00.000000,0.01679705,0.03213111,0.07275963,11,21,48,4,10,23,0.00695325,0.01514054,0.03556119,0.46189993,0.68034102,0.89340874
26103,0,USMichiganMarquette,Michigan,Marquette,2020-08-31 18:07:43.170650,2020-03-27 00:00:00.000000,0.01749310,0.03385751,0.08188709,11,22,54,5,10,27,0.00796837,0.01633734,0.04054648,0.43517855,0.67601253,0.89697568
