FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-09 00:00:00.000000,0.00145911,0.01191821,0.03333056,0,3,9,0,1,4,0.00069755,0.00640395,0.01571711,0.40951082,0.54184671,0.74539143
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-10 00:00:00.000000,0.00165891,0.01376226,0.03623582,0,4,10,0,1,4,0.00075944,0.00633050,0.01548235,0.40951064,0.54184552,0.74539138
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-11 00:00:00.000000,0.00187133,0.01539937,0.03941128,0,4,11,0,1,4,0.00084992,0.00659525,0.01685691,0.40951027,0.54184256,0.74539119
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-12 00:00:00.000000,0.00210171,0.01680016,0.04287771,0,4,12,0,2,5,0.00095976,0.00702749,0.01834323,0.40950946,0.54183512,0.74539043
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-13 00:00:00.000000,0.00235429,0.01824801,0.04665872,0,5,13,0,2,5,0.00108507,0.00753057,0.01995793,0.40950736,0.54107721,0.74538698
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-14 00:00:00.000000,0.00263286,0.01937614,0.05290004,0,5,15,0,2,6,0.00122472,0.00810137,0.02171562,0.40934965,0.54102474,0.74536999
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-15 00:00:00.000000,0.00294114,0.02046653,0.05763346,0,5,16,0,2,6,0.00137909,0.00853189,0.02363031,0.40439933,0.54088952,0.74510992
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-16 00:00:00.000000,0.00546768,0.02515401,0.06593521,1,7,19,0,2,7,0.00154938,0.00927505,0.02571586,0.38914901,0.53882745,0.74356969
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-17 00:00:00.000000,0.00886973,0.03092579,0.07335117,2,9,21,0,3,8,0.00231960,0.01063213,0.02911850,0.38523116,0.53860525,0.73887223
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-18 00:00:00.000000,0.01316591,0.03672797,0.08820408,3,10,25,0,3,10,0.00305223,0.01260470,0.03503098,0.30984322,0.53476448,0.72589874
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-19 00:00:00.000000,0.01776921,0.04267181,0.10313287,5,12,30,1,4,11,0.00501892,0.01485040,0.03939685,0.30087554,0.52576180,0.71409854
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-20 00:00:00.000000,0.02264952,0.04756859,0.11787846,6,13,34,2,5,13,0.00711416,0.01733504,0.04718363,0.29672631,0.50773181,0.70444539
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-21 00:00:00.000000,0.02606285,0.05171151,0.13251478,7,15,38,2,6,15,0.00912249,0.02060493,0.05489115,0.27767394,0.48303117,0.67362409
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-22 00:00:00.000000,0.02907176,0.05694207,0.14718947,8,16,42,3,6,18,0.01128528,0.02349777,0.06304963,0.26491443,0.45682459,0.63704779
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-23 00:00:00.000000,0.03427997,0.06361628,0.15660882,9,18,45,3,7,20,0.01349705,0.02659978,0.07129844,0.26107300,0.43567685,0.62339050
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-24 00:00:00.000000,0.03711981,0.07213450,0.17547494,10,21,51,4,8,22,0.01557957,0.02970385,0.07775139,0.25813786,0.42144680,0.60330504
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-25 00:00:00.000000,0.04002608,0.08169206,0.19509922,11,23,56,5,9,24,0.01746905,0.03382392,0.08310726,0.24702628,0.40732836,0.59022359
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-26 00:00:00.000000,0.04386060,0.09052951,0.21212302,12,26,61,5,11,25,0.01926064,0.03839539,0.08777160,0.24129311,0.39520184,0.57254533
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-27 00:00:00.000000,0.05092665,0.09982722,0.22609192,14,29,65,6,12,28,0.02099541,0.04306699,0.09640581,0.23063640,0.37683153,0.56345687
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-28 00:00:00.000000,0.05407696,0.10943208,0.24026484,15,31,70,6,13,30,0.02270228,0.04759970,0.10635284,0.21831708,0.36881930,0.53245791
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-29 00:00:00.000000,0.05780338,0.11835089,0.25508062,16,34,74,7,15,33,0.02537357,0.05190250,0.11659404,0.20334116,0.35700753,0.49899323
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-30 00:00:00.000000,0.06246806,0.12354803,0.27719461,18,36,80,8,16,36,0.02831281,0.05713762,0.12693301,0.19280202,0.34965020,0.48763727
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-03-31 00:00:00.000000,0.06752221,0.13400307,0.30008488,19,39,87,9,18,40,0.03220506,0.06271959,0.13889055,0.19443851,0.33871068,0.47982451
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-01 00:00:00.000000,0.07279145,0.14672479,0.32258407,21,42,94,10,19,44,0.03437826,0.06825863,0.15144363,0.20155902,0.32268829,0.47647049
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-02 00:00:00.000000,0.07831953,0.15868702,0.33622039,22,46,97,10,20,47,0.03647890,0.07200426,0.16419267,0.19966000,0.31402705,0.47633734
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-03 00:00:00.000000,0.08416525,0.16747922,0.34890525,24,48,101,11,22,51,0.03849573,0.07618122,0.17652151,0.19378763,0.29422121,0.47243886
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-04 00:00:00.000000,0.09032721,0.17731023,0.36682510,26,51,106,11,24,54,0.04043383,0.08457206,0.18745769,0.17411112,0.28234169,0.46360587
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-05 00:00:00.000000,0.09645832,0.18556641,0.37435424,28,54,109,12,26,57,0.04246101,0.09207680,0.19651310,0.17249362,0.27989674,0.47857577
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-06 00:00:00.000000,0.10073665,0.19631611,0.38333563,29,57,111,13,28,59,0.04525045,0.09684817,0.20384678,0.16954097,0.27922825,0.47769736
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-07 00:00:00.000000,0.10403819,0.21015759,0.40207368,30,61,117,14,29,61,0.04882183,0.10213050,0.21016776,0.16218825,0.27585861,0.47192490
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-08 00:00:00.000000,0.10675121,0.22347364,0.42335463,31,65,123,15,31,62,0.05287372,0.10743357,0.21570863,0.15935437,0.27487851,0.46471577
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-09 00:00:00.000000,0.10936856,0.23188855,0.43524754,31,67,126,16,32,64,0.05528379,0.11236830,0.22067528,0.15810175,0.26843172,0.44857786
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-10 00:00:00.000000,0.11183699,0.24141835,0.44619491,32,70,130,16,33,65,0.05678840,0.11643024,0.22522871,0.15536322,0.26004650,0.40874147
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-11 00:00:00.000000,0.11402172,0.24908513,0.45554985,33,72,132,16,35,66,0.05821651,0.12071929,0.22948709,0.14182562,0.25463873,0.39302352
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-12 00:00:00.000000,0.11586485,0.25441961,0.46280236,33,74,134,17,36,68,0.05953045,0.12535873,0.23353557,0.13900434,0.25039382,0.39850459
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-13 00:00:00.000000,0.12126712,0.26474513,0.47519180,35,77,138,17,37,69,0.06069561,0.12924118,0.23807002,0.13785482,0.24912148,0.40162902
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-14 00:00:00.000000,0.11997749,0.27537240,0.50118070,34,80,146,18,39,72,0.06370388,0.13396668,0.24874443,0.13218090,0.24555956,0.40262218
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-15 00:00:00.000000,0.12112012,0.28364750,0.53336309,35,82,155,18,40,75,0.06346818,0.13961167,0.25845408,0.12352596,0.24244104,0.40293968
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-16 00:00:00.000000,0.12068179,0.29287784,0.54415702,35,85,158,18,42,79,0.06312940,0.14412365,0.27186299,0.12232760,0.23614329,0.40302587
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-17 00:00:00.000000,0.12344457,0.30503476,0.54894369,35,88,159,18,43,84,0.06277670,0.14910876,0.28882482,0.12116345,0.23316746,0.40271059
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-18 00:00:00.000000,0.12596158,0.31300851,0.55327802,36,91,161,19,44,87,0.06525853,0.15386029,0.30129108,0.11403748,0.22839324,0.38143674
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-19 00:00:00.000000,0.12827297,0.31869700,0.55741293,37,92,162,20,47,88,0.06932519,0.16178684,0.30280379,0.11162709,0.22884143,0.38505231
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-20 00:00:00.000000,0.13604999,0.33000231,0.56020537,39,96,163,21,48,88,0.07330819,0.16772978,0.30388707,0.10867955,0.21711250,0.35734537
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-21 00:00:00.000000,0.14819666,0.34248990,0.56284694,43,99,164,21,50,88,0.07475989,0.17408019,0.30475689,0.10506831,0.21738666,0.31675057
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-22 00:00:00.000000,0.16377102,0.35034306,0.58149338,47,102,169,22,52,89,0.07672048,0.17963533,0.30540694,0.10150951,0.21688056,0.31645134
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-23 00:00:00.000000,0.16493415,0.36135269,0.60845377,48,105,177,23,53,89,0.07904234,0.18514022,0.30585808,0.09870564,0.21541737,0.32120053
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-24 00:00:00.000000,0.16532392,0.36502771,0.63264585,48,106,184,24,55,89,0.08459222,0.19145756,0.30606984,0.09724547,0.21158324,0.32225013
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-25 00:00:00.000000,0.17202027,0.37459799,0.65374376,50,109,190,25,57,89,0.08885316,0.19638268,0.30606454,0.09601174,0.20948563,0.31600314
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-26 00:00:00.000000,0.17852236,0.37901191,0.67292979,52,110,196,25,58,89,0.08781284,0.20042047,0.30588444,0.09550541,0.20353937,0.29142806
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-27 00:00:00.000000,0.18573326,0.38014146,0.69228448,54,110,201,26,59,92,0.08996357,0.20487615,0.31823986,0.09528915,0.20131969,0.28535335
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-28 00:00:00.000000,0.18572556,0.37927918,0.71085607,54,110,207,27,60,97,0.09373820,0.20904367,0.33368757,0.09526272,0.19851819,0.28622984
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-29 00:00:00.000000,0.18485728,0.37823704,0.70698815,53,110,206,28,62,101,0.09683590,0.21331974,0.34845009,0.09531636,0.19391838,0.28601475
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-04-30 00:00:00.000000,0.18383443,0.38399944,0.70511275,53,111,205,28,63,105,0.09828843,0.21734954,0.36253842,0.09541684,0.18934428,0.28791729
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-01 00:00:00.000000,0.18268744,0.37862393,0.72628372,53,110,211,28,63,108,0.09891057,0.21770770,0.37284635,0.09280055,0.18240408,0.29139235
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-02 00:00:00.000000,0.18090391,0.37979000,0.74714641,52,110,217,28,63,109,0.09947721,0.21663637,0.37734469,0.08899864,0.17875068,0.29533365
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-03 00:00:00.000000,0.17988873,0.37956009,0.76736925,52,110,223,28,63,111,0.09873901,0.21737167,0.38141747,0.08639123,0.17434798,0.29643064
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-04 00:00:00.000000,0.17901939,0.38083329,0.76515453,52,110,222,28,63,111,0.09622141,0.21751725,0.38387058,0.08406443,0.16935520,0.28927064
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-05 00:00:00.000000,0.17465600,0.38425742,0.77453282,50,111,225,28,63,113,0.09651717,0.21829223,0.38864291,0.08279795,0.16664931,0.28892996
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-06 00:00:00.000000,0.17000820,0.38559813,0.78214827,49,112,227,27,63,114,0.09567361,0.21797005,0.39206258,0.08242335,0.16298926,0.28172020
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-07 00:00:00.000000,0.16681162,0.38631938,0.78748770,48,112,229,27,63,114,0.09411376,0.21768460,0.39366677,0.08264912,0.16106858,0.27882099
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-08 00:00:00.000000,0.16613389,0.38795232,0.78992316,48,113,230,26,62,114,0.09212274,0.21515205,0.39415357,0.08082672,0.16047244,0.28289206
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-09 00:00:00.000000,0.16587151,0.38747800,0.78930287,48,112,230,26,61,114,0.08992219,0.21167513,0.39401861,0.07984689,0.15499257,0.30244319
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-10 00:00:00.000000,0.16669075,0.38887415,0.78670107,48,113,229,25,61,114,0.08776035,0.21080446,0.39357205,0.07962515,0.15260145,0.29340283
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-11 00:00:00.000000,0.16242542,0.38153576,0.76394715,47,111,222,25,61,114,0.08704981,0.21088969,0.39297857,0.07958220,0.15208412,0.28667564
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-12 00:00:00.000000,0.16237822,0.37434907,0.74074920,47,109,215,25,61,114,0.08733137,0.21014946,0.39186255,0.07962246,0.15523608,0.28704419
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-13 00:00:00.000000,0.15819417,0.36967192,0.71714136,46,107,209,25,60,113,0.08587138,0.20823959,0.39028774,0.07984886,0.15576014,0.29725493
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-14 00:00:00.000000,0.15530261,0.36514314,0.69358200,45,106,202,24,60,113,0.08391842,0.20703692,0.38813718,0.08070653,0.15572373,0.29207221
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-15 00:00:00.000000,0.15587435,0.36393492,0.67038141,45,106,195,24,58,112,0.08389116,0.20226651,0.38512339,0.08331695,0.15662243,0.28465557
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-16 00:00:00.000000,0.15643248,0.36088386,0.64776298,45,105,188,24,57,110,0.08399754,0.19889902,0.37804136,0.08684670,0.15719880,0.25975579
26105,0,USMichiganMason,Michigan,Mason,2020-10-11 17:07:35.642738,2020-05-17 00:00:00.000000,0.15306532,0.35553636,0.62707610,44,103,182,24,58,106,0.08418790,0.19911526,0.36676461,0.08688428,0.15639822,0.25121237
