FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-09 00:00:00.000000,0.01114951,0.04996587,0.15437867,0,2,8,0,1,6,0.00284712,0.02615755,0.10587871,0.34297038,0.51962835,0.69423848
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-10 00:00:00.000000,0.00698129,0.04746023,0.14781482,0,2,8,0,1,5,0.00456788,0.02979604,0.10285512,0.34297033,0.51962825,0.69413776
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-11 00:00:00.000000,0.00753964,0.04999011,0.15316276,0,2,8,0,1,5,0.00485466,0.03154973,0.09941302,0.34297013,0.51962787,0.69398324
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-12 00:00:00.000000,0.00786345,0.05427972,0.16034459,0,3,9,0,1,5,0.00505491,0.03340321,0.10481641,0.34296930,0.51962644,0.69373958
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-13 00:00:00.000000,0.00831526,0.05812134,0.17495685,0,3,10,0,2,6,0.00520882,0.03502089,0.11519893,0.34296581,0.51962109,0.69334299
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-14 00:00:00.000000,0.00851051,0.06020540,0.19229423,0,3,10,0,2,7,0.00535181,0.03792839,0.12662549,0.34295115,0.51792400,0.69267555
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-15 00:00:00.000000,0.00872402,0.06334955,0.21133214,0,3,12,0,2,7,0.00576681,0.03959347,0.13919065,0.34288970,0.51781335,0.68682524
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-16 00:00:00.000000,0.00925708,0.06513670,0.23152126,0,3,13,0,2,8,0.00646802,0.04183842,0.15287858,0.33638932,0.51747367,0.67479705
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-17 00:00:00.000000,0.01034670,0.06747123,0.25313236,0,3,14,0,2,9,0.00691791,0.04299953,0.16731446,0.33163439,0.51428078,0.66546110
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-18 00:00:00.000000,0.01096190,0.06990225,0.25718217,0,3,14,0,2,9,0.00730544,0.04427348,0.17049874,0.32940711,0.51085549,0.65462672
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-19 00:00:00.000000,0.01156849,0.07189732,0.23802541,0,4,13,0,2,9,0.00772173,0.04639842,0.15825149,0.31966722,0.49816012,0.63761365
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-20 00:00:00.000000,0.01221480,0.07327288,0.21968899,0,4,12,0,2,8,0.00815879,0.04763263,0.14629479,0.30493121,0.48900213,0.62822560
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-21 00:00:00.000000,0.01288442,0.07394549,0.20617010,0,4,11,0,2,8,0.00861449,0.04807591,0.14142994,0.29045896,0.45910230,0.62568169
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-22 00:00:00.000000,0.01356962,0.07481773,0.22065196,0,4,12,0,2,8,0.00902816,0.04799350,0.15160126,0.28532921,0.42595122,0.61037060
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-23 00:00:00.000000,0.03526596,0.09736313,0.24956802,2,5,14,0,2,9,0.00897592,0.04936785,0.16200282,0.27695919,0.40279914,0.59602203
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-24 00:00:00.000000,0.04579663,0.12035668,0.27185201,2,6,15,1,3,10,0.02000534,0.06817388,0.18608723,0.26942416,0.38856065,0.58042984
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-25 00:00:00.000000,0.05366679,0.14146835,0.30738404,3,8,17,1,4,11,0.02497548,0.08235021,0.20168352,0.24975725,0.37165783,0.58598637
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-26 00:00:00.000000,0.06098522,0.16300855,0.36526710,3,9,20,1,5,12,0.03034712,0.09840481,0.21383081,0.23509570,0.35753021,0.56186517
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-27 00:00:00.000000,0.06798277,0.18174566,0.38507796,3,10,22,2,6,14,0.03801091,0.11217604,0.24944632,0.22014865,0.35133811,0.53664007
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-28 00:00:00.000000,0.07874457,0.19832512,0.42598899,4,11,24,2,7,15,0.04537515,0.12529371,0.26377052,0.20553816,0.34467276,0.51749783
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-29 00:00:00.000000,0.08821034,0.21541873,0.46934719,5,12,26,2,7,15,0.05209993,0.13470494,0.26469392,0.20202291,0.33448086,0.51430877
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-30 00:00:00.000000,0.10886145,0.23787441,0.47616853,6,13,27,3,8,16,0.05789537,0.14946367,0.28640804,0.20129836,0.32862085,0.50624353
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-03-31 00:00:00.000000,0.12197520,0.26330605,0.48039676,6,15,27,4,9,17,0.07397636,0.16204118,0.30157780,0.19884691,0.32073412,0.49967355
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-01 00:00:00.000000,0.14734280,0.28712042,0.49049821,8,16,28,5,10,18,0.08831189,0.18149620,0.31859658,0.19560340,0.30882835,0.47998571
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-02 00:00:00.000000,0.16785800,0.30332403,0.50198733,9,17,28,5,11,19,0.09333342,0.19676792,0.33695078,0.19513882,0.29504132,0.46989069
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-03 00:00:00.000000,0.17512452,0.32332212,0.52513189,10,18,30,5,11,19,0.10385360,0.20861842,0.33814383,0.18765912,0.28494133,0.46616982
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-04 00:00:00.000000,0.18823935,0.33382580,0.53481730,10,19,30,6,12,21,0.11216833,0.21978533,0.37067988,0.17619752,0.28589547,0.42404207
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-05 00:00:00.000000,0.20186932,0.33630283,0.53757400,11,19,30,6,12,21,0.11741892,0.22336813,0.38456043,0.17502165,0.28199431,0.39130877
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-06 00:00:00.000000,0.18910464,0.32809101,0.51877488,10,18,29,6,13,22,0.11729352,0.23343305,0.39479183,0.17267886,0.26999848,0.36214328
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-07 00:00:00.000000,0.16636685,0.30907892,0.49734591,9,17,28,5,12,21,0.09767316,0.21469425,0.37928557,0.17176531,0.26571793,0.35886570
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-08 00:00:00.000000,0.14601643,0.28287851,0.47542759,8,16,27,4,11,20,0.08421501,0.19839975,0.35249261,0.17000124,0.25511751,0.35652925
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-09 00:00:00.000000,0.13308812,0.26611816,0.45314698,7,15,25,4,10,19,0.07361448,0.17975893,0.34123831,0.16573559,0.24647431,0.35756271
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-10 00:00:00.000000,0.11496801,0.23717060,0.42950124,6,13,24,3,9,18,0.06916056,0.16141718,0.32188583,0.16084728,0.24469412,0.35839843
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-11 00:00:00.000000,0.09831386,0.21709365,0.40454710,5,12,23,3,8,17,0.06392785,0.14577711,0.30276112,0.15851601,0.23414153,0.35070436
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-12 00:00:00.000000,0.08347963,0.20042542,0.38319568,4,11,21,3,7,16,0.05455771,0.13480165,0.28436312,0.15010586,0.22842447,0.35037970
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-13 00:00:00.000000,0.07290771,0.18554960,0.37049698,4,10,21,2,6,15,0.04632690,0.12082700,0.26773170,0.14536780,0.22989178,0.37190809
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-14 00:00:00.000000,0.06669028,0.17071687,0.36051694,3,9,20,2,6,14,0.04056488,0.11457805,0.25442423,0.14144365,0.22839817,0.37024223
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-15 00:00:00.000000,0.06174556,0.15694866,0.35174048,3,8,20,2,6,14,0.03666191,0.10772345,0.24498801,0.13719234,0.22889985,0.35590526
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-16 00:00:00.000000,0.05667986,0.14439777,0.32965899,3,8,18,1,5,13,0.03331113,0.10184464,0.23571114,0.13234422,0.22870955,0.35676547
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-17 00:00:00.000000,0.04876463,0.13403519,0.30622257,2,7,17,1,5,12,0.03058349,0.09407859,0.22186491,0.12949283,0.22852423,0.38387786
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-18 00:00:00.000000,0.04479131,0.12712236,0.28415691,2,7,16,1,5,11,0.02616585,0.08778755,0.20967839,0.12637495,0.22723617,0.39934718
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-19 00:00:00.000000,0.03946880,0.11703447,0.26616136,2,6,15,1,4,11,0.02493919,0.08017647,0.20069867,0.12566477,0.23073191,0.40636662
26131,0,USMichiganOntonagon,Michigan,Ontonagon,2020-08-09 21:28:21.753877,2020-04-20 00:00:00.000000,0.03476600,0.10829965,0.24746710,1,6,14,1,4,10,0.02331812,0.07382222,0.18857343,0.12242695,0.22994942,0.40979165
