FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-09 00:00:00.000000,0.00291359,0.01364229,0.03989220,1,7,20,0,2,9,0.00062821,0.00506013,0.01774650,0.55223461,0.77855513,1.05599579
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-10 00:00:00.000000,0.00280344,0.01275973,0.04042410,1,6,21,0,2,8,0.00106306,0.00554374,0.01546106,0.55224545,0.77855518,1.05599583
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-11 00:00:00.000000,0.00294811,0.01281818,0.03542413,1,6,18,0,2,8,0.00115926,0.00534720,0.01654997,0.55227577,0.77855540,1.05599593
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-12 00:00:00.000000,0.00295988,0.01196805,0.03287097,1,6,17,0,2,8,0.00119752,0.00532574,0.01639158,0.55236047,0.77855640,1.05599619
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-13 00:00:00.000000,0.00296585,0.01150142,0.03285332,1,6,17,0,2,8,0.00120854,0.00501303,0.01672889,0.55259673,0.77856126,1.05599694
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-14 00:00:00.000000,0.00296619,0.01139615,0.03386065,1,5,17,0,2,8,0.00121213,0.00481989,0.01687381,0.55325282,0.77858761,1.05865928
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-15 00:00:00.000000,0.00296834,0.01102523,0.03672863,1,5,19,0,2,8,0.00121278,0.00460200,0.01612937,0.55505226,0.77860470,1.08141572
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-16 00:00:00.000000,0.00487414,0.01278348,0.04111676,2,6,21,0,2,8,0.00121369,0.00450721,0.01642066,0.55982418,0.77983513,1.13988195
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-17 00:00:00.000000,0.00629794,0.01418627,0.04615418,3,7,24,1,3,9,0.00229925,0.00600434,0.01831024,0.56539492,0.79145678,1.16030461
26157,0,USMichiganTuscola,Michigan,Tuscola,2020-09-09 11:38:47.161937,2020-03-18 00:00:00.000000,0.00903157,0.01702903,0.05395194,4,8,28,1,3,10,0.00317291,0.00694231,0.02041894,0.56544962,0.81236684,1.17776381
