FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-09 00:00:00.000000,0.00933854,0.04178297,0.11897794,1,4,13,0,0,2,0.00140662,0.00661999,0.02229430,0.56238832,0.68124813,0.82273519
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-10 00:00:00.000000,0.00533597,0.02329335,0.05322889,0,2,5,0,0,2,0.00193939,0.00842621,0.02460034,0.56238341,0.68124273,0.82273165
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-11 00:00:00.000000,0.00473549,0.01888029,0.04446115,0,2,4,0,0,1,0.00123684,0.00491778,0.01346668,0.56237514,0.68122882,0.82272075
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-12 00:00:00.000000,0.00347192,0.01224740,0.03005076,0,1,3,0,0,1,0.00106108,0.00413169,0.01037372,0.56236122,0.68119300,0.82268723
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-13 00:00:00.000000,0.00276924,0.00931880,0.02314575,0,1,2,0,0,0,0.00079553,0.00237015,0.00790432,0.56233792,0.68110080,0.82258414
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-14 00:00:00.000000,0.00206986,0.00564378,0.01771661,0,0,1,0,0,0,0.00062808,0.00202956,0.00603951,0.56229943,0.68086388,0.82226741
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-15 00:00:00.000000,0.00165452,0.00421599,0.01357237,0,0,1,0,0,0,0.00048329,0.00114668,0.00465257,0.56223852,0.68025763,0.82129719
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-16 00:00:00.000000,0.00508789,0.00874887,0.01664951,0,0,1,0,0,0,0.00037798,0.00092889,0.00356373,0.56215594,0.67872256,0.81835155
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-17 00:00:00.000000,0.00777531,0.01395688,0.02075137,0,1,2,0,0,0,0.00220330,0.00507631,0.00842741,0.56211793,0.67215466,0.81002464
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-18 00:00:00.000000,0.01112769,0.02127746,0.02859223,1,2,3,0,0,1,0.00298354,0.00617034,0.00904023,0.56256144,0.66028224,0.78829226
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-19 00:00:00.000000,0.01336344,0.02479550,0.03280479,1,2,3,0,0,1,0.00371253,0.00779738,0.01142068,0.56577969,0.64374158,0.73759829
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-20 00:00:00.000000,0.01511299,0.02778694,0.03637825,1,3,4,0,0,1,0.00423289,0.00850438,0.01187105,0.58003800,0.62810114,0.65807407
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-21 00:00:00.000000,0.01631302,0.02935876,0.03910133,1,3,4,0,1,1,0.00460351,0.00908119,0.01278473,0.57659121,0.60725310,0.65290134
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-22 00:00:00.000000,0.01710312,0.03055898,0.04171794,1,3,4,0,1,1,0.00484185,0.00932838,0.01334481,0.53809237,0.62246559,0.71109048
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-23 00:00:00.000000,0.02666190,0.03853886,0.05210563,2,4,5,0,1,1,0.00498767,0.00959698,0.01416478,0.51798794,0.62570514,0.73512551
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-24 00:00:00.000000,0.03602732,0.04393959,0.06392040,4,4,7,1,1,2,0.01014590,0.01435025,0.02081452,0.50902238,0.61906060,0.74313546
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-25 00:00:00.000000,0.04314088,0.04925423,0.07824386,4,5,8,1,1,2,0.01288523,0.01539907,0.02313464,0.50531334,0.60097662,0.72680831
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-26 00:00:00.000000,0.04587716,0.05462383,0.08600139,5,6,9,1,1,2,0.01509015,0.01656352,0.02612204,0.50385040,0.58701959,0.69644070
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-27 00:00:00.000000,0.04820017,0.05979240,0.09191000,5,6,10,1,1,3,0.01563615,0.01698006,0.02769000,0.50335960,0.57720898,0.66568865
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-28 00:00:00.000000,0.04940227,0.06338249,0.09539932,5,7,10,1,2,3,0.01609963,0.01794834,0.02881440,0.50344893,0.56605153,0.65523992
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-29 00:00:00.000000,0.05026989,0.06607925,0.09772394,5,7,10,1,2,3,0.01633170,0.01871883,0.02947997,0.50435727,0.56020239,0.64653047
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-30 00:00:00.000000,0.04818561,0.06372324,0.09096744,5,7,10,1,2,3,0.01650584,0.01930836,0.02992249,0.50724578,0.55698246,0.63887150
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-03-31 00:00:00.000000,0.04597343,0.06096366,0.08368509,5,6,9,1,1,2,0.01448782,0.01747402,0.02449518,0.51457339,0.55437223,0.63295855
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-01 00:00:00.000000,0.04271376,0.05736418,0.07388387,4,6,8,1,1,2,0.01398113,0.01672191,0.02263984,0.52772693,0.55126927,0.62072996
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-02 00:00:00.000000,0.04069200,0.05508654,0.06850604,4,6,7,1,1,2,0.01288481,0.01600461,0.02159763,0.53052317,0.55187168,0.60399872
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-03 00:00:00.000000,0.03804041,0.05319322,0.06511416,4,5,7,1,1,2,0.01215986,0.01536283,0.02119908,0.50161639,0.56020503,0.59225029
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-04 00:00:00.000000,0.03594381,0.05215836,0.06387664,4,5,7,1,1,2,0.01142398,0.01492812,0.02079735,0.46527087,0.56782100,0.58548647
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-05 00:00:00.000000,0.03418063,0.05151622,0.06296981,3,5,7,1,1,2,0.01085459,0.01468545,0.02044553,0.44370099,0.57382520,0.58241581
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-06 00:00:00.000000,0.03569676,0.05012300,0.06057889,3,5,6,1,1,2,0.01043384,0.01457566,0.02016265,0.43346394,0.57445425,0.58634944
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-07 00:00:00.000000,0.03655421,0.04888998,0.05774585,4,5,6,1,1,2,0.01181201,0.01393077,0.01889535,0.42912823,0.57380796,0.58918814
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-08 00:00:00.000000,0.03564178,0.04752970,0.05637177,3,5,6,1,1,2,0.01166390,0.01359784,0.01819795,0.42752663,0.57354534,0.59010746
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-09 00:00:00.000000,0.03538550,0.04662119,0.05684468,3,5,6,1,1,1,0.01149676,0.01359173,0.01778168,0.42690831,0.57343903,0.59028940
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-10 00:00:00.000000,0.03541754,0.04590489,0.05724358,3,5,6,1,1,1,0.01154504,0.01346533,0.01747747,0.42669050,0.57339725,0.59293202
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-11 00:00:00.000000,0.03569896,0.04536557,0.05753000,3,5,6,1,1,1,0.01163093,0.01337724,0.01725183,0.42667161,0.57538975,0.59343566
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-12 00:00:00.000000,0.03602314,0.04505996,0.05774318,4,5,6,1,1,1,0.01148551,0.01320671,0.01708639,0.42704442,0.57588588,0.59366919
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-13 00:00:00.000000,0.03574503,0.04738800,0.06342498,4,5,7,1,1,1,0.01134275,0.01307464,0.01697473,0.43094773,0.57699046,0.59401876
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-14 00:00:00.000000,0.03397152,0.04820776,0.07494088,3,5,8,1,1,2,0.00967372,0.01329668,0.02393670,0.47021867,0.58413640,0.62948218
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-15 00:00:00.000000,0.03093667,0.04883513,0.09123518,3,5,10,0,1,3,0.00891775,0.01337585,0.02847366,0.53897821,0.60194217,0.68803879
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-16 00:00:00.000000,0.02897468,0.04959439,0.10352790,3,5,11,0,1,3,0.00828765,0.01375582,0.03283255,0.54110624,0.62885701,0.71713341
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-17 00:00:00.000000,0.02754505,0.05042544,0.11332987,3,5,12,0,1,4,0.00788101,0.01412745,0.03626697,0.54550346,0.63331596,0.72937301
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-18 00:00:00.000000,0.02662309,0.05115722,0.12081327,2,5,13,0,1,4,0.00760126,0.01442911,0.03901132,0.55476277,0.63949244,0.72941698
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-19 00:00:00.000000,0.02608132,0.05185116,0.12708086,2,5,14,0,1,4,0.00743085,0.01468895,0.04116825,0.57391820,0.64913235,0.71976231
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-20 00:00:00.000000,0.05793196,0.06950400,0.12919468,6,7,14,0,1,4,0.00735778,0.01493883,0.04285123,0.60968051,0.66922664,0.72226220
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-21 00:00:00.000000,0.08199915,0.09058153,0.13013524,9,10,14,2,3,4,0.02439506,0.03092197,0.04231298,0.65022463,0.70792124,0.71568636
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-22 00:00:00.000000,0.09510193,0.11787003,0.13186839,10,13,14,3,3,4,0.02806780,0.03252499,0.04226387,0.64497469,0.70718621,0.76544153
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-23 00:00:00.000000,0.09764166,0.12900407,0.15967400,10,14,17,3,4,5,0.02873395,0.04008350,0.04866878,0.64165239,0.71866015,0.81579817
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-24 00:00:00.000000,0.09995546,0.13685439,0.18443789,11,15,20,3,4,5,0.02930039,0.04429873,0.05352960,0.63968972,0.74640530,0.86122977
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-25 00:00:00.000000,0.10123659,0.14191330,0.20505470,11,15,22,3,5,6,0.02956182,0.04705288,0.05873142,0.63846948,0.76327809,0.89794421
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-26 00:00:00.000000,0.10077742,0.14660057,0.22306260,11,16,24,3,5,7,0.02923786,0.04857952,0.06278005,0.63771153,0.77297943,0.92387404
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-27 00:00:00.000000,0.16821481,0.21627779,0.29139239,18,24,32,3,5,7,0.02902214,0.05004361,0.06731363,0.63724917,0.77924257,0.94037322
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-28 00:00:00.000000,0.23299500,0.28545012,0.35764407,26,31,40,7,11,12,0.06787748,0.09922027,0.11354596,0.63697248,0.78304569,0.95003262
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-29 00:00:00.000000,0.31408794,0.37528638,0.44473661,35,42,49,9,13,14,0.08825590,0.11721806,0.12555218,0.63681194,0.78537335,0.95518854
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-04-30 00:00:00.000000,0.35816018,0.43004999,0.51067329,40,48,57,11,15,16,0.10683956,0.13887331,0.14810931,0.63673552,0.78700624,0.95740475
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-01 00:00:00.000000,0.39656301,0.47921790,0.56972622,44,53,63,13,17,17,0.11840946,0.15420247,0.15895825,0.63678734,0.78860037,0.95751418
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-02 00:00:00.000000,0.42301815,0.51359773,0.61942965,47,57,69,14,18,19,0.12724518,0.16643987,0.17323098,0.63733782,0.79101811,0.95584180
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-03 00:00:00.000000,0.44323693,0.54790945,0.66216114,49,61,74,14,19,20,0.13357925,0.17422527,0.18572083,0.64043110,0.79654165,0.97074281
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-04 00:00:00.000000,0.39907304,0.49209516,0.62010577,44,55,69,15,20,21,0.13858775,0.18113976,0.19641380,0.65602561,0.82204255,1.00427256
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-05 00:00:00.000000,0.35143188,0.43534715,0.57269425,39,48,64,10,14,18,0.09731653,0.12570543,0.16165409,0.69267743,0.86873162,1.03715817
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-06 00:00:00.000000,0.27913674,0.35486731,0.49683240,31,39,55,9,12,16,0.08367777,0.11594604,0.14616420,0.77320292,0.89415952,1.06439769
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-07 00:00:00.000000,0.24381874,0.31485331,0.44379453,27,35,49,7,10,14,0.07072845,0.09460806,0.12860155,0.83733807,0.90145589,1.08147705
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-08 00:00:00.000000,0.20652717,0.28170021,0.39403047,23,31,44,7,9,12,0.06316286,0.08658096,0.11487682,0.86618184,0.91126889,1.07210228
27033,0,USMinnesotaCottonwood,Minnesota,Cottonwood,2020-09-09 11:41:07.343809,2020-05-09 00:00:00.000000,0.18776936,0.25716135,0.35083210,21,28,39,6,8,11,0.05656194,0.07835029,0.10226588,0.86747258,0.93430541,0.97908835
