FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-09 00:00:00.000000,0.00439401,0.01752172,0.07261127,1,6,27,0,1,7,0.00034551,0.00380874,0.01908530,0.46935168,0.64652915,0.93878351
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-10 00:00:00.000000,0.00234031,0.01117592,0.04248608,0,4,16,0,1,5,0.00092247,0.00453808,0.01495506,0.46928343,0.64652917,0.93873649
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-11 00:00:00.000000,0.00225238,0.01014425,0.03706026,0,3,14,0,1,3,0.00053531,0.00299062,0.01048365,0.46914668,0.64652925,0.93863575
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-12 00:00:00.000000,0.00135743,0.00770045,0.02844403,0,2,10,0,1,3,0.00044831,0.00263144,0.00861233,0.46887238,0.64652950,0.93842015
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-13 00:00:00.000000,0.00104340,0.00640650,0.02539247,0,2,9,0,0,2,0.00026546,0.00208480,0.00756921,0.46832271,0.64653030,0.93795970
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-14 00:00:00.000000,0.00067227,0.00519321,0.02258463,0,1,8,0,0,2,0.00022509,0.00168886,0.00669622,0.46722655,0.64653282,0.93698071
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-15 00:00:00.000000,0.00047476,0.00418609,0.01596614,0,1,6,0,0,2,0.00014212,0.00136081,0.00577923,0.46506678,0.64654065,0.93491905
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-16 00:00:00.000000,0.00203535,0.00641219,0.01573281,0,2,6,0,0,1,0.00010003,0.00110887,0.00412360,0.46091885,0.64656438,0.93066455
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-17 00:00:00.000000,0.00317280,0.00857715,0.01971966,1,3,7,0,1,2,0.00070843,0.00270323,0.00682692,0.45334246,0.64663307,0.92225309
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-18 00:00:00.000000,0.00459765,0.01136795,0.02948121,1,4,11,0,1,3,0.00088783,0.00327615,0.00864029,0.44070950,0.64681108,0.91335987
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-19 00:00:00.000000,0.00456504,0.01216191,0.03468890,1,4,13,0,1,4,0.00105265,0.00386388,0.01101821,0.42820227,0.64176346,0.92021738
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-20 00:00:00.000000,0.00460523,0.01362509,0.03916191,1,5,14,0,1,4,0.00119848,0.00404153,0.01218749,0.41957948,0.62956176,0.93352396
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-21 00:00:00.000000,0.00456273,0.01472462,0.04210355,1,5,16,0,1,4,0.00132789,0.00430448,0.01308094,0.40435595,0.62050222,0.94499614
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-22 00:00:00.000000,0.00453276,0.01553797,0.04447916,1,5,16,0,1,5,0.00143768,0.00460171,0.01349108,0.39611935,0.61737373,0.95374978
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-23 00:00:00.000000,0.00636079,0.01672064,0.04030212,2,6,15,0,1,5,0.00152068,0.00482801,0.01405103,0.37259556,0.61008224,0.95934450
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-24 00:00:00.000000,0.00778100,0.01746300,0.03585111,2,6,13,0,1,4,0.00200164,0.00512651,0.01229749,0.36093586,0.59275102,0.96252093
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-25 00:00:00.000000,0.00843725,0.01813471,0.03474839,3,6,13,0,2,4,0.00238279,0.00526474,0.01236635,0.35831630,0.58979113,0.96419825
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-26 00:00:00.000000,0.00880081,0.01861174,0.03630349,3,7,13,1,2,4,0.00269942,0.00548985,0.01136488,0.35587927,0.58207254,0.96504569
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-27 00:00:00.000000,0.00908094,0.01896406,0.03790025,3,7,14,1,2,4,0.00270221,0.00564279,0.01184696,0.35095673,0.57879203,0.96459434
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-28 00:00:00.000000,0.00937264,0.01934968,0.03934782,3,7,15,0,2,4,0.00255453,0.00555380,0.01229223,0.33850173,0.57156304,0.96547893
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-29 00:00:00.000000,0.00968098,0.01932926,0.04068903,3,7,15,1,2,4,0.00263271,0.00556906,0.01261113,0.32433109,0.57037273,0.98903689
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-30 00:00:00.000000,0.00794677,0.01619188,0.03752054,3,6,14,0,2,4,0.00260007,0.00557030,0.01299612,0.31844399,0.56389504,0.96867479
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-03-31 00:00:00.000000,0.00563021,0.01307860,0.03229237,2,4,12,0,1,3,0.00134491,0.00390671,0.01029240,0.31589711,0.56306624,0.99564390
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-01 00:00:00.000000,0.00262697,0.00933798,0.02655180,1,3,10,0,1,3,0.00092174,0.00307859,0.00915330,0.31437633,0.56159861,1.06782189
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-02 00:00:00.000000,0.00154656,0.00720920,0.02329962,0,2,8,0,0,2,0.00043397,0.00229152,0.00783823,0.31549413,0.56043687,1.10272205
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-03 00:00:00.000000,0.00081293,0.00557619,0.02065678,0,2,7,0,0,2,0.00030031,0.00178809,0.00714714,0.31512195,0.55971555,1.13424023
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-04 00:00:00.000000,0.00054418,0.00442346,0.01832160,0,1,6,0,0,2,0.00015305,0.00139554,0.00643893,0.31191801,0.56375583,1.13767943
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-05 00:00:00.000000,0.00030655,0.00338451,0.01567600,0,1,5,0,0,2,0.00010794,0.00113828,0.00544025,0.30810522,0.56229039,1.11428005
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-06 00:00:00.000000,0.00221746,0.00494702,0.01664672,0,1,6,0,0,1,0.00005581,0.00088688,0.00463773,0.30558426,0.56314056,1.10143935
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-07 00:00:00.000000,0.00382719,0.00717530,0.01812972,1,2,6,0,0,2,0.00122079,0.00244940,0.00567654,0.30414502,0.57017147,1.09538914
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-08 00:00:00.000000,0.00487343,0.01026488,0.02161918,1,3,8,0,1,2,0.00148276,0.00301761,0.00640435,0.30353312,0.55912017,1.08709090
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-09 00:00:00.000000,0.00533388,0.01177637,0.02398900,2,4,9,0,1,2,0.00173326,0.00368338,0.00747222,0.30353869,0.55947344,1.06802522
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-10 00:00:00.000000,0.00569007,0.01312328,0.02776565,2,5,10,0,1,3,0.00185617,0.00401020,0.00798129,0.30417879,0.56645413,1.04710317
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-11 00:00:00.000000,0.00593902,0.01390161,0.03115651,2,5,11,0,1,3,0.00194214,0.00438633,0.00856882,0.30897862,0.55472216,1.04825514
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-12 00:00:00.000000,0.00611627,0.01454740,0.03424735,2,5,13,0,1,3,0.00200259,0.00461435,0.00870338,0.31737322,0.53420503,1.04853743
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-13 00:00:00.000000,0.00772831,0.01515739,0.03096886,2,5,11,0,1,3,0.00203633,0.00481303,0.00911570,0.32089748,0.52589906,1.04896910
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-14 00:00:00.000000,0.00836076,0.01532185,0.02943153,3,5,11,1,1,3,0.00263928,0.00476442,0.01012798,0.30747461,0.54309248,1.06016747
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-15 00:00:00.000000,0.00760833,0.01484163,0.03304468,2,5,12,0,1,4,0.00257847,0.00473835,0.01127166,0.30418683,0.55363214,1.04574437
27041,0,USMinnesotaDouglas,Minnesota,Douglas,2020-09-17 06:07:16.772860,2020-04-16 00:00:00.000000,0.00642191,0.01459179,0.03605624,2,5,13,0,1,4,0.00244540,0.00457461,0.01243281,0.30429928,0.56309121,1.02063650
