FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-09 00:00:00.000000,0.00230695,0.01144590,0.05796257,0,1,9,0,1,5,0.00092764,0.00641689,0.03392873,0.37629079,0.58021770,0.77268247
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-10 00:00:00.000000,0.00285846,0.01271090,0.06087258,0,2,9,0,1,4,0.00105741,0.00630653,0.03045708,0.37634911,0.58021761,0.77262064
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-11 00:00:00.000000,0.00341456,0.01439291,0.06381703,0,2,10,0,1,4,0.00124582,0.00676903,0.03002420,0.37644035,0.58021738,0.77245723
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-12 00:00:00.000000,0.00400163,0.01610155,0.06954514,0,2,11,0,1,5,0.00144165,0.00708163,0.03317480,0.37658276,0.58021688,0.77202416
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-13 00:00:00.000000,0.00443234,0.01764275,0.07661290,0,2,12,0,1,5,0.00165110,0.00737854,0.03669340,0.37680419,0.58021575,0.77087740
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-14 00:00:00.000000,0.00464256,0.01910501,0.08412137,0,3,13,0,1,6,0.00187849,0.00787432,0.03930422,0.37714649,0.57897649,0.76786369
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-15 00:00:00.000000,0.00485118,0.02030053,0.09209649,0,3,15,0,1,6,0.00212727,0.00841723,0.04138425,0.37767088,0.57248101,0.76012581
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-16 00:00:00.000000,0.00542694,0.02176991,0.10052639,0,3,16,0,1,7,0.00239658,0.00908865,0.04371769,0.37846321,0.56645458,0.74999621
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-17 00:00:00.000000,0.00605591,0.02410796,0.10933305,0,3,17,0,1,7,0.00267352,0.00997631,0.04624514,0.37963559,0.56346839,0.74424738
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-18 00:00:00.000000,0.00672483,0.02593088,0.11547831,1,4,18,0,1,7,0.00296835,0.01123270,0.04892623,0.37091471,0.56156707,0.76646067
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-19 00:00:00.000000,0.00742441,0.02763373,0.12161015,1,4,19,0,2,8,0.00328416,0.01258185,0.05169066,0.36984420,0.55144634,0.73244355
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-20 00:00:00.000000,0.00815248,0.02961681,0.12754027,1,4,20,0,2,9,0.00362129,0.01388005,0.05631984,0.35024036,0.54216521,0.71695319
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-21 00:00:00.000000,0.00891519,0.03167707,0.13581516,1,5,22,0,2,10,0.00397660,0.01497910,0.06143606,0.33165291,0.53086912,0.76577724
27065,0,USMinnesotaKanabec,Minnesota,Kanabec,2020-10-11 16:52:20.648533,2020-03-22 00:00:00.000000,0.00971707,0.03409086,0.14523242,1,5,23,0,2,10,0.00434059,0.01605698,0.06669212,0.32047692,0.49332810,0.75070199
