FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-09 00:00:00.000000,0.00405555,0.04381524,0.17987716,0,4,19,0,1,5,0.00111127,0.01154031,0.04900578,0.46498916,0.68060679,0.99942175
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-10 00:00:00.000000,0.00467114,0.03453526,0.15162512,0,3,16,0,1,4,0.00089268,0.01064201,0.04420254,0.46495813,0.68031321,0.99938485
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-11 00:00:00.000000,0.00443855,0.03592000,0.14127333,0,3,15,0,0,4,0.00077416,0.00939580,0.03761980,0.46488466,0.67997153,0.99932140
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-12 00:00:00.000000,0.00424672,0.03472663,0.13723694,0,3,14,0,0,3,0.00073645,0.00860972,0.03419513,0.46471105,0.68015093,0.99501666
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-13 00:00:00.000000,0.00422991,0.03423662,0.13568506,0,3,14,0,0,3,0.00074468,0.00816920,0.03126781,0.46430259,0.68053391,0.98774420
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-14 00:00:00.000000,0.00441153,0.03292621,0.13519985,0,3,14,0,0,3,0.00075961,0.00740079,0.02912659,0.46335117,0.68133061,0.97655312
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-15 00:00:00.000000,0.00384550,0.03174420,0.13961346,0,3,14,0,0,3,0.00075710,0.00701177,0.02944394,0.46118563,0.68292400,0.96059477
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-16 00:00:00.000000,0.00372370,0.03044345,0.14811020,0,3,15,0,0,3,0.00074693,0.00664078,0.02981632,0.46067116,0.68377612,0.94873058
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-17 00:00:00.000000,0.00271957,0.02812436,0.15635044,0,2,16,0,0,3,0.00077974,0.00608295,0.03058099,0.46172536,0.68220990,0.99922847
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-18 00:00:00.000000,0.00225096,0.02668176,0.16438382,0,2,17,0,0,3,0.00065269,0.00580466,0.03145556,0.46372534,0.68713792,0.99857804
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-19 00:00:00.000000,0.00213098,0.02682658,0.17225599,0,2,18,0,0,3,0.00058155,0.00552118,0.03230276,0.46751168,0.66310848,0.99364539
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-20 00:00:00.000000,0.00219856,0.02653151,0.18002378,0,2,19,0,0,3,0.00038770,0.00533183,0.03153607,0.45568783,0.65707569,0.97878814
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-21 00:00:00.000000,0.00226667,0.02702050,0.18785758,0,2,19,0,0,3,0.00033296,0.00513257,0.03079962,0.45269670,0.65339662,0.96525627
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-22 00:00:00.000000,0.00221110,0.02611069,0.19622985,0,2,20,0,0,3,0.00029616,0.00509648,0.03041599,0.45308825,0.64534383,0.99579076
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-23 00:00:00.000000,0.00189714,0.02553007,0.20504247,0,2,21,0,0,3,0.00029366,0.00484872,0.03063375,0.42661070,0.63943021,1.00112131
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-24 00:00:00.000000,0.00161787,0.02642521,0.21391875,0,2,22,0,0,3,0.00029216,0.00496075,0.03114989,0.40535536,0.63525645,0.97760776
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-25 00:00:00.000000,0.00137800,0.02803523,0.22276557,0,2,23,0,0,3,0.00029154,0.00497953,0.03168617,0.38034128,0.62678361,0.93905500
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-26 00:00:00.000000,0.00116975,0.02833826,0.23150508,0,3,24,0,0,3,0.00029172,0.00511318,0.03224132,0.37720722,0.62585405,0.94013453
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-27 00:00:00.000000,0.00082686,0.02773992,0.24001381,0,2,25,0,0,3,0.00025360,0.00528658,0.03281671,0.37258381,0.61944119,0.95079828
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-28 00:00:00.000000,0.00058450,0.02845333,0.24826682,0,3,26,0,0,3,0.00021805,0.00535575,0.03341335,0.34544502,0.61563988,0.96210148
27075,0,USMinnesotaLake,Minnesota,Lake,2020-09-09 11:29:33.288839,2020-03-29 00:00:00.000000,0.00041559,0.02850794,0.25639587,0,3,27,0,0,3,0.00015763,0.00554531,0.03402978,0.34167473,0.60062548,0.97025356
