FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-09 00:00:00.000000,0.00542767,0.02768238,0.09060128,1,7,26,0,3,16,0.00192959,0.01153905,0.05802867,0.45289029,0.64888125,0.86475105
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-10 00:00:00.000000,0.00465450,0.02654206,0.08774553,1,7,25,0,3,15,0.00223331,0.01256663,0.05505593,0.45288621,0.64887603,0.86475117
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-11 00:00:00.000000,0.00482733,0.02904829,0.08444277,1,8,24,0,3,16,0.00228565,0.01336235,0.05575392,0.45287934,0.64886472,0.86475123
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-12 00:00:00.000000,0.00514239,0.03020821,0.08397520,1,8,24,0,4,15,0.00217748,0.01397354,0.05503781,0.45286774,0.64884022,0.86475086
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-13 00:00:00.000000,0.00540203,0.03169140,0.08313516,1,9,24,0,4,15,0.00218288,0.01400206,0.05469792,0.45284819,0.64878717,0.86470595
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-14 00:00:00.000000,0.00561339,0.03225018,0.08249958,1,9,23,0,4,15,0.00225643,0.01398059,0.05329602,0.45281532,0.64827479,0.86441380
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-15 00:00:00.000000,0.00579895,0.03395113,0.08368719,1,9,24,0,3,14,0.00234357,0.01383507,0.05103178,0.45276036,0.64697581,0.86318989
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-16 00:00:00.000000,0.01532983,0.04539547,0.09782755,4,13,28,0,3,14,0.00244000,0.01380194,0.05181517,0.45266935,0.64455672,0.85841188
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-17 00:00:00.000000,0.02113758,0.05423287,0.11250448,6,15,32,1,4,17,0.00351862,0.01723143,0.06080775,0.45252115,0.64114968,0.84065134
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-18 00:00:00.000000,0.02631331,0.06528865,0.13319367,7,18,38,1,6,19,0.00516978,0.02330993,0.06922291,0.42525489,0.63911169,0.83383174
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-19 00:00:00.000000,0.02961918,0.07642038,0.16395425,8,22,47,1,7,23,0.00644085,0.02644198,0.08138122,0.40345809,0.63114670,0.83459144
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-20 00:00:00.000000,0.03285605,0.08728675,0.18237909,9,25,52,1,8,26,0.00689841,0.03003811,0.09338391,0.39063927,0.61354618,0.83362327
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-21 00:00:00.000000,0.03554688,0.09897214,0.20478894,10,28,59,2,10,31,0.00750581,0.03526809,0.10998668,0.38026938,0.59306586,0.82226742
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-22 00:00:00.000000,0.03660070,0.10915110,0.23052251,10,31,66,2,11,35,0.00907538,0.03929667,0.12335361,0.36616697,0.56662989,0.80230263
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-23 00:00:00.000000,0.04307869,0.12373090,0.24639398,12,35,71,2,12,39,0.00992041,0.04166993,0.13774526,0.34226700,0.54641938,0.79803952
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-24 00:00:00.000000,0.04962250,0.13419817,0.26260645,14,38,75,3,13,42,0.01071932,0.04835363,0.14730045,0.31499053,0.52105079,0.79062922
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-25 00:00:00.000000,0.05595713,0.14617842,0.27682552,16,42,79,3,16,45,0.01148209,0.05708723,0.15741903,0.30154638,0.50855713,0.79565186
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-26 00:00:00.000000,0.05939700,0.15963445,0.28686246,17,46,82,3,18,47,0.01222143,0.06318653,0.16401528,0.28849222,0.49464063,0.78827643
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-27 00:00:00.000000,0.06270944,0.16657148,0.30395474,18,48,87,3,18,49,0.01315399,0.06415909,0.17191409,0.27657092,0.46939521,0.78671612
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-28 00:00:00.000000,0.06587204,0.17688540,0.31315309,19,51,90,4,18,50,0.01422963,0.06478480,0.17414343,0.26982830,0.46270355,0.77208734
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-29 00:00:00.000000,0.06881850,0.18907234,0.32124197,19,54,92,4,18,49,0.01527579,0.06507153,0.17230447,0.27138463,0.44348657,0.72118843
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-30 00:00:00.000000,0.07189155,0.19191219,0.33139325,20,55,95,4,19,49,0.01626489,0.06623311,0.17014230,0.24306472,0.42019719,0.69231267
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-03-31 00:00:00.000000,0.06892732,0.18553339,0.34016824,19,53,98,4,18,46,0.01720616,0.06279023,0.16091224,0.23426432,0.39933451,0.68002688
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-01 00:00:00.000000,0.06290867,0.18013057,0.34861730,18,52,100,5,17,43,0.01807937,0.06213172,0.15101478,0.21920126,0.39378876,0.66619101
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-02 00:00:00.000000,0.06497195,0.17346725,0.35518873,18,50,102,5,17,43,0.01894109,0.06193003,0.15196358,0.21074536,0.38945830,0.65604314
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-03 00:00:00.000000,0.06690494,0.17452190,0.35830254,19,50,103,5,17,44,0.01979142,0.06226275,0.15397591,0.17490614,0.38009051,0.65050130
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-04 00:00:00.000000,0.06513220,0.17063782,0.35616228,18,49,102,5,18,44,0.02060388,0.06325269,0.15277200,0.15451999,0.37759842,0.62325572
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-05 00:00:00.000000,0.06206954,0.17247972,0.36906188,17,49,106,6,17,43,0.02132725,0.06067334,0.14916372,0.15102819,0.35473425,0.62579305
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-06 00:00:00.000000,0.06016232,0.16869437,0.38282220,17,48,110,6,16,41,0.02189994,0.05869194,0.14402298,0.14982932,0.34582758,0.62688197
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-07 00:00:00.000000,0.05860171,0.16041684,0.39975490,16,46,115,6,17,41,0.02208608,0.05908525,0.14321238,0.14906625,0.34136826,0.62728522
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-08 00:00:00.000000,0.05625325,0.15352723,0.41715057,16,44,120,6,17,40,0.02218980,0.05959227,0.14076630,0.14796100,0.32776128,0.62020924
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-09 00:00:00.000000,0.05213869,0.14626688,0.43504761,15,42,125,6,17,39,0.02265467,0.05979149,0.13687334,0.14600010,0.32281578,0.60106825
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-10 00:00:00.000000,0.05009762,0.14705788,0.45040571,14,42,130,7,17,38,0.02425923,0.05989413,0.13353081,0.14946528,0.31323414,0.60709070
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-11 00:00:00.000000,0.04786109,0.14100369,0.46349523,13,40,133,6,16,37,0.02379212,0.05798705,0.13024004,0.15679087,0.31088429,0.61289068
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-12 00:00:00.000000,0.04325141,0.13626348,0.49150200,12,39,141,6,16,36,0.02259605,0.05770585,0.12626841,0.15565882,0.31095018,0.61502172
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-13 00:00:00.000000,0.04294714,0.13784786,0.51194644,12,39,147,6,16,35,0.02086274,0.05576564,0.12408777,0.14998935,0.31301962,0.62493742
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-14 00:00:00.000000,0.04226764,0.13892552,0.53337100,12,40,154,6,16,35,0.02093462,0.05606808,0.12210896,0.14571099,0.31043966,0.62657105
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-15 00:00:00.000000,0.04232853,0.13445033,0.55377008,12,38,159,6,16,35,0.02092498,0.05687867,0.12173767,0.14228662,0.30865314,0.59950447
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-16 00:00:00.000000,0.04114402,0.13392971,0.57119296,11,38,165,6,16,34,0.02123709,0.05828976,0.11977769,0.14382035,0.30811322,0.58016660
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-17 00:00:00.000000,0.03942845,0.13020073,0.59143824,11,37,170,6,16,37,0.02126268,0.05821110,0.12918720,0.14578473,0.30629948,0.55323759
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-18 00:00:00.000000,0.03790262,0.12769375,0.62746401,10,36,181,6,16,40,0.02107144,0.05657248,0.13879295,0.14654641,0.30821593,0.52909562
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-19 00:00:00.000000,0.03634027,0.12814154,0.65300297,10,37,188,6,16,38,0.02079801,0.05731391,0.13250853,0.14680339,0.31027271,0.58292235
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-20 00:00:00.000000,0.03504100,0.12443324,0.70003429,10,35,202,5,16,39,0.02045450,0.05755045,0.13569591,0.14688206,0.31175389,0.61983496
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-21 00:00:00.000000,0.03490100,0.11991043,0.73284504,10,34,211,5,16,41,0.01844279,0.05567998,0.14392981,0.14690411,0.31340097,0.63119574
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-22 00:00:00.000000,0.03028816,0.11711289,0.76698263,8,33,221,4,16,44,0.01672519,0.05636685,0.15263155,0.14691285,0.31661548,0.63325766
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-23 00:00:00.000000,0.02655392,0.11749141,0.80208696,7,33,231,4,16,46,0.01532329,0.05753578,0.16174253,0.14693205,0.31479469,0.63297048
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-24 00:00:00.000000,0.02414269,0.11903219,0.85146944,6,34,245,4,16,49,0.01423136,0.05773164,0.17119796,0.14700601,0.31241844,0.62953419
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-25 00:00:00.000000,0.02279654,0.11919598,0.90859242,6,34,262,3,16,52,0.01339540,0.05687477,0.18088726,0.14591977,0.31243519,0.57260906
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-26 00:00:00.000000,0.02175390,0.11738775,0.97025163,6,33,280,3,16,55,0.01274700,0.05783812,0.19062904,0.13768740,0.31598577,0.58138403
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-27 00:00:00.000000,0.02137743,0.11860847,1.02592498,6,34,296,3,16,57,0.01223824,0.05708640,0.20032945,0.14138587,0.31928991,0.57474048
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-28 00:00:00.000000,0.02120011,0.12172504,1.08308707,6,35,312,3,17,60,0.01226242,0.06055343,0.21061754,0.14691060,0.32468508,0.57478862
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-29 00:00:00.000000,0.02124759,0.13086205,1.13921061,6,37,329,3,17,63,0.01226365,0.06164987,0.22145849,0.15416373,0.31803506,0.57664843
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-04-30 00:00:00.000000,0.02115239,0.13506622,1.19353755,6,39,344,3,17,67,0.01230582,0.06186604,0.23283287,0.15292968,0.30615041,0.56773603
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-01 00:00:00.000000,0.01864983,0.13836328,1.24733271,5,39,360,3,18,70,0.01190248,0.06283257,0.24472799,0.15253312,0.31763692,0.52738032
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-02 00:00:00.000000,0.01663548,0.13810276,1.30295294,4,39,376,3,18,74,0.01053568,0.06330997,0.25713578,0.15215238,0.32904588,0.51290021
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-03 00:00:00.000000,0.01519575,0.13783049,1.36217747,4,39,393,2,18,78,0.00943344,0.06316813,0.27005289,0.15200010,0.33350490,0.52320678
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-04 00:00:00.000000,0.02603161,0.14118022,1.44678417,7,40,417,2,18,81,0.00864465,0.06271813,0.28348373,0.15858858,0.33199205,0.53295396
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-05 00:00:00.000000,0.03027604,0.13894654,1.53696270,8,40,443,4,18,85,0.01658426,0.06373981,0.29686176,0.16697594,0.33778119,0.53908368
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-06 00:00:00.000000,0.03499858,0.13940025,1.63366950,10,40,471,5,18,89,0.01938175,0.06237655,0.31027230,0.17276164,0.34527843,0.54809068
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-07 00:00:00.000000,0.03418009,0.14107600,1.70825583,9,40,493,5,18,93,0.02048925,0.06239903,0.32378182,0.17588335,0.34686670,0.54026147
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-08 00:00:00.000000,0.03759330,0.14395468,1.76164208,10,41,508,5,18,97,0.02076435,0.06337601,0.33744629,0.18290972,0.35144383,0.54009158
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-09 00:00:00.000000,0.03472685,0.14680427,1.81603340,10,42,524,6,18,101,0.02147940,0.06440877,0.35071934,0.18762469,0.36199823,0.53826480
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-10 00:00:00.000000,0.03233247,0.14921403,1.87168716,9,43,540,5,18,104,0.01994793,0.06476734,0.36101192,0.19176206,0.36751592,0.53332906
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-11 00:00:00.000000,0.04229638,0.14904386,1.92109946,12,43,554,5,19,107,0.01863016,0.06598119,0.37138837,0.19282198,0.36638575,0.53359861
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-12 00:00:00.000000,0.04581907,0.14806498,1.97090697,13,42,569,7,18,110,0.02631567,0.06376398,0.38204510,0.19367564,0.36517412,0.54184251
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-13 00:00:00.000000,0.05207734,0.14415948,2.02029933,15,41,583,8,18,113,0.02850572,0.06537933,0.39298540,0.19716539,0.36500835,0.55000735
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-14 00:00:00.000000,0.05766254,0.14229888,2.06896189,16,41,597,8,19,116,0.02884112,0.06665495,0.40425528,0.19764715,0.36736196,0.55758221
27079,0,USMinnesotaLeSueur,Minnesota,Le Sueur,2020-08-31 18:03:01.293914,2020-05-15 00:00:00.000000,0.05824404,0.14376427,2.11724745,16,41,611,8,19,120,0.02915594,0.06912254,0.41607386,0.20054265,0.37260437,0.56388121
