FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-09 00:00:00.000000,0.01015786,0.02807826,0.08547321,2,7,22,0,1,7,0.00216093,0.00651304,0.02786335,0.45663343,0.75146666,1.28530473
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-10 00:00:00.000000,0.00929474,0.02381202,0.08959991,2,6,23,0,1,6,0.00149689,0.00580696,0.02352277,0.45667489,0.75146665,1.28530280
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-11 00:00:00.000000,0.00995692,0.02554950,0.09487934,2,6,24,0,1,5,0.00136512,0.00539460,0.02049109,0.45674337,0.75146663,1.28529700
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-12 00:00:00.000000,0.01000408,0.02754092,0.09994440,2,7,26,0,1,5,0.00139757,0.00533455,0.01959288,0.45685603,0.75146660,1.28527730
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-13 00:00:00.000000,0.01001265,0.03012642,0.10480678,2,7,27,0,1,4,0.00145035,0.00516368,0.01890980,0.45704022,0.75146652,1.28508646
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-14 00:00:00.000000,0.01008955,0.03266228,0.10949169,2,8,28,0,1,4,0.00145436,0.00504250,0.01840667,0.45733820,0.75146623,1.28475625
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-15 00:00:00.000000,0.01021865,0.03433152,0.11402276,2,9,29,0,1,4,0.00138691,0.00505769,0.01805472,0.45781232,0.75146502,1.28408982
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-16 00:00:00.000000,0.01039325,0.03576513,0.11841640,2,9,31,0,1,4,0.00140546,0.00506004,0.01783023,0.45854702,0.74655860,1.28252806
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-17 00:00:00.000000,0.01060394,0.03803951,0.12512520,2,9,32,0,1,4,0.00142341,0.00502723,0.01771349,0.45964025,0.74371943,1.27788090
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-18 00:00:00.000000,0.01082863,0.03974970,0.13204474,2,10,34,0,1,4,0.00144087,0.00502162,0.01768787,0.46117281,0.74028267,1.23088250
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-19 00:00:00.000000,0.01103287,0.04049104,0.13893538,2,10,36,0,1,4,0.00142407,0.00499918,0.01773927,0.46315157,0.74547417,1.20350567
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-20 00:00:00.000000,0.01115921,0.04097084,0.14576887,2,10,38,0,1,4,0.00140014,0.00500512,0.01786113,0.46545359,0.75705431,1.18740757
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-21 00:00:00.000000,0.01091055,0.04115834,0.15409742,2,10,40,0,1,4,0.00138331,0.00496723,0.01862896,0.46783197,0.73652749,1.11819450
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-22 00:00:00.000000,0.01067202,0.04187553,0.16158012,2,11,42,0,1,5,0.00137246,0.00492079,0.01943531,0.47001040,0.73641418,1.09223035
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-23 00:00:00.000000,0.01045222,0.04325325,0.16901185,2,11,44,0,1,5,0.00136779,0.00486174,0.02025284,0.47178148,0.72931031,1.10528174
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-24 00:00:00.000000,0.01025851,0.04467453,0.17645602,2,11,46,0,1,5,0.00136791,0.00480784,0.02107327,0.47249949,0.71448153,1.15958618
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-25 00:00:00.000000,0.01006597,0.04547291,0.18391623,2,11,48,0,1,5,0.00137183,0.00488584,0.02201049,0.46970708,0.71327252,1.24252644
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-26 00:00:00.000000,0.00987727,0.04621587,0.19136301,2,12,50,0,1,6,0.00137881,0.00501055,0.02321323,0.47067758,0.71819008,1.24765348
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-27 00:00:00.000000,0.00967861,0.04710841,0.19876306,2,12,52,0,1,6,0.00138831,0.00513106,0.02452322,0.46349709,0.72202678,1.24902250
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-28 00:00:00.000000,0.00945886,0.04843288,0.20612210,2,12,54,0,1,6,0.00139990,0.00519767,0.02596711,0.46125566,0.71401964,1.25063158
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-29 00:00:00.000000,0.00921230,0.04925903,0.21348523,2,12,56,0,1,7,0.00141327,0.00526396,0.02751675,0.43898020,0.70746382,1.25381507
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-30 00:00:00.000000,0.01032667,0.06198737,0.22527318,2,16,59,0,1,7,0.00142817,0.00542096,0.02915684,0.43102978,0.70552551,1.25977992
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-03-31 00:00:00.000000,0.01141620,0.07089634,0.23713122,2,18,62,0,1,8,0.00168820,0.00588992,0.03339705,0.42371975,0.69472482,1.27253892
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-01 00:00:00.000000,0.01261774,0.07853512,0.26343238,3,20,69,0,1,9,0.00211247,0.00648625,0.03688099,0.42032969,0.70174741,1.29923424
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-02 00:00:00.000000,0.01373328,0.09066000,0.30112542,3,23,79,0,1,10,0.00231094,0.00754166,0.03874646,0.40744746,0.69453438,1.33979602
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-03 00:00:00.000000,0.01480453,0.09911939,0.33906613,3,26,89,0,2,10,0.00247032,0.00826268,0.04114154,0.39979403,0.68064233,1.37700986
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-04 00:00:00.000000,0.01582842,0.11014134,0.37732071,4,28,99,0,2,11,0.00265126,0.00894751,0.04373592,0.37920879,0.66534845,1.39734698
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-05 00:00:00.000000,0.01679813,0.11787107,0.41594747,4,30,109,0,2,12,0.00277618,0.00963994,0.04652524,0.36227180,0.65687047,1.40296146
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-06 00:00:00.000000,0.02552843,0.12838852,0.43079742,6,33,113,0,2,13,0.00306957,0.01043851,0.04950654,0.35660581,0.65631409,1.39906647
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-07 00:00:00.000000,0.03411150,0.13728138,0.44612585,8,36,117,0,3,13,0.00353401,0.01150556,0.05250735,0.35168531,0.65421803,1.39298184
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-08 00:00:00.000000,0.04574155,0.14142655,0.46190832,12,37,121,1,3,14,0.00409333,0.01325698,0.05557628,0.34245729,0.65805874,1.38944548
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-09 00:00:00.000000,0.05721131,0.14981533,0.47817499,15,39,125,1,3,15,0.00431451,0.01432667,0.05872707,0.34395943,0.65589529,1.38808864
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-10 00:00:00.000000,0.06843984,0.15957579,0.49492410,17,41,130,1,4,16,0.00454416,0.01541630,0.06198142,0.33320328,0.65610774,1.38774851
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-11 00:00:00.000000,0.07966326,0.17079470,0.51214256,20,44,134,1,4,17,0.00484328,0.01648628,0.06536000,0.32353557,0.65157362,1.38779115
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-12 00:00:00.000000,0.08719256,0.18090986,0.52982475,22,47,139,1,4,18,0.00532959,0.01734745,0.06887617,0.31564141,0.64887895,1.38796598
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-13 00:00:00.000000,0.09159928,0.18905577,0.55819031,24,49,146,1,4,19,0.00584446,0.01824293,0.07253961,0.31020355,0.64712560,1.41850232
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-14 00:00:00.000000,0.09686051,0.20302863,0.58702136,25,53,154,1,5,20,0.00634998,0.01920740,0.07635272,0.30738121,0.64466370,1.44714971
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-15 00:00:00.000000,0.10125478,0.21482969,0.61635433,26,56,161,1,5,21,0.00684464,0.02024196,0.08033574,0.30459843,0.63924961,1.39385685
27095,0,USMinnesotaMilleLacs,Minnesota,Mille Lacs,2020-09-09 11:22:57.949006,2020-04-16 00:00:00.000000,0.10576666,0.22336045,0.64620449,27,58,169,1,5,22,0.00733180,0.02134491,0.08449611,0.29825549,0.62075108,1.39263310
