FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-09 00:00:00.000000,0.01097434,0.04803367,0.35169326,0,3,22,0,0,9,0.00047684,0.00541057,0.14347094,0.54986594,0.82155828,1.18164861
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-10 00:00:00.000000,0.00612926,0.02644838,0.29131372,0,1,18,0,0,8,0.00060937,0.00612740,0.12709064,0.54986583,0.82149600,1.17974567
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-11 00:00:00.000000,0.00598005,0.02546514,0.24387327,0,1,15,0,0,6,0.00058333,0.00478665,0.10559522,0.54986554,0.82138725,1.17681986
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-12 00:00:00.000000,0.00568960,0.02183493,0.21086791,0,1,13,0,0,5,0.00055484,0.00394897,0.08874766,0.54986476,0.82119719,1.17236199
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-13 00:00:00.000000,0.00540969,0.01957385,0.18088758,0,1,11,0,0,4,0.00052753,0.00325610,0.07397889,0.54986263,0.82057328,1.16568210
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-14 00:00:00.000000,0.00462810,0.01806814,0.15590099,0,1,9,0,0,3,0.00050156,0.00281499,0.06208419,0.54985697,0.81872803,1.15597689
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-15 00:00:00.000000,0.00373182,0.01754274,0.13512006,0,1,8,0,0,3,0.00047686,0.00246745,0.05213770,0.54273263,0.81509500,1.14239944
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-16 00:00:00.000000,0.00227701,0.01696322,0.11740875,0,1,7,0,0,2,0.00045338,0.00199167,0.04384262,0.52500212,0.80854907,1.12437784
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-17 00:00:00.000000,0.00146124,0.01627276,0.11140985,0,1,7,0,0,2,0.00037281,0.00161128,0.03719270,0.49552329,0.80972099,1.10427230
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-18 00:00:00.000000,0.00095948,0.01546988,0.11033289,0,0,7,0,0,2,0.00031407,0.00141143,0.03450941,0.47121899,0.80717941,1.09446673
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-19 00:00:00.000000,0.00061901,0.01511886,0.10887410,0,0,6,0,0,2,0.00020795,0.00124772,0.03194086,0.45892348,0.80322594,1.10333489
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-20 00:00:00.000000,0.00040577,0.01477867,0.10718887,0,0,6,0,0,1,0.00013350,0.00113843,0.02986723,0.45397830,0.78456197,1.15879320
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-21 00:00:00.000000,0.00026285,0.01445528,0.10538456,0,0,6,0,0,1,0.00008792,0.00110560,0.02596788,0.45205658,0.76788929,1.20692370
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-22 00:00:00.000000,0.00017189,0.01391540,0.10360065,0,0,6,0,0,1,0.00005348,0.00106221,0.02258738,0.45123748,0.77846078,1.23495256
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-23 00:00:00.000000,0.00010334,0.01277756,0.10207096,0,0,6,0,0,1,0.00003154,0.00098770,0.02127795,0.45076008,0.77069322,1.24785176
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-24 00:00:00.000000,0.00006099,0.01064259,0.10110449,0,0,6,0,0,1,0.00001865,0.00092596,0.02090145,0.45024067,0.76421025,1.25427853
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-25 00:00:00.000000,0.00003603,0.00986571,0.10080782,0,0,6,0,0,1,0.00001100,0.00088351,0.02063894,0.44185527,0.76380089,1.26212205
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-26 00:00:00.000000,0.00002125,0.00935136,0.10095728,0,0,6,0,0,1,0.00000671,0.00083963,0.02051023,0.43754631,0.78888744,1.27465516
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-27 00:00:00.000000,0.00001349,0.00910650,0.10128877,0,0,6,0,0,1,0.00000429,0.00078273,0.02046567,0.43278438,0.76550760,1.28109760
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-28 00:00:00.000000,0.00000879,0.00887750,0.10165313,0,0,6,0,0,1,0.00000290,0.00074251,0.02046716,0.40559749,0.71429658,1.28266793
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-29 00:00:00.000000,0.00000585,0.00835298,0.10198842,0,0,6,0,0,1,0.00000187,0.00072483,0.02048418,0.39577128,0.67946342,1.28291576
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-30 00:00:00.000000,0.00999228,0.04245576,0.11296693,0,2,7,0,0,1,0.00000126,0.00068663,0.02050486,0.39278119,0.66310247,1.28283031
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-03-31 00:00:00.000000,0.01635548,0.07668125,0.16317242,1,4,10,0,0,2,0.00209591,0.00630836,0.03581318,0.37202236,0.64660440,1.28248442
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-01 00:00:00.000000,0.02666137,0.11162473,0.21510409,1,7,13,0,0,2,0.00373252,0.00942519,0.04600888,0.35477328,0.64648452,1.28161342
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-02 00:00:00.000000,0.03007586,0.14469785,0.28340799,1,9,18,0,0,3,0.00533012,0.01173659,0.05914142,0.34639337,0.64430705,1.27957006
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-03 00:00:00.000000,0.03323224,0.17493243,0.34939862,2,11,22,0,0,4,0.00646470,0.01359508,0.07208208,0.34092203,0.63811627,1.27522465
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-04 00:00:00.000000,0.03594790,0.19819190,0.41212235,2,12,26,0,1,5,0.00726772,0.01607154,0.08379602,0.33463503,0.62432869,1.26836665
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-05 00:00:00.000000,0.03866750,0.22423007,0.47173951,2,14,30,0,1,6,0.00790756,0.01833000,0.09443281,0.33224992,0.60788278,1.39307161
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-06 00:00:00.000000,0.05829888,0.23956152,0.49608139,3,15,31,0,1,6,0.00841018,0.01998265,0.10891527,0.33060260,0.58947852,1.49226834
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-07 00:00:00.000000,0.07280133,0.24936235,0.51587080,4,15,32,0,1,6,0.01280684,0.02706349,0.09891880,0.32913213,0.58369444,1.53344166
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-08 00:00:00.000000,0.07326407,0.28138859,0.53088402,4,17,33,0,2,6,0.01463853,0.03156237,0.09709222,0.32812211,0.57666492,1.57791773
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-09 00:00:00.000000,0.07434315,0.29555032,0.54518598,4,18,34,0,1,6,0.01517884,0.03014690,0.09719711,0.31666953,0.56347489,1.66453987
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-10 00:00:00.000000,0.07588965,0.30557521,0.55866918,4,19,35,0,1,6,0.01505075,0.03134388,0.09779659,0.30636256,0.55979739,1.70155010
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-11 00:00:00.000000,0.07508098,0.31778466,0.57168793,4,20,36,1,2,6,0.01582034,0.03164247,0.09815740,0.29329039,0.56191935,1.70410726
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-12 00:00:00.000000,0.07182019,0.33068920,0.58949098,4,21,37,1,2,6,0.01658504,0.03294123,0.10056949,0.29357132,0.57297451,1.70201042
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-13 00:00:00.000000,0.13484711,0.34250887,0.62068997,8,21,39,1,2,7,0.01705329,0.03285449,0.10986566,0.29367146,0.58553169,1.69732452
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-14 00:00:00.000000,0.16476196,0.35341730,0.65013527,10,22,41,1,3,7,0.01785283,0.04776920,0.11585594,0.27403500,0.59816544,1.68872937
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-15 00:00:00.000000,0.21733654,0.38343445,0.67726568,13,24,43,1,3,8,0.01826362,0.05475721,0.14109666,0.25692271,0.59841124,1.67365328
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-16 00:00:00.000000,0.23004867,0.39794761,0.70790634,14,25,45,1,3,10,0.01877113,0.06116348,0.16911010,0.25620667,0.59300201,1.65244040
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-17 00:00:00.000000,0.24163542,0.42225181,0.72747633,15,26,46,1,4,12,0.01926620,0.06641592,0.19159234,0.25590065,0.58057347,1.68847164
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-18 00:00:00.000000,0.24939837,0.44401313,0.74135590,15,28,47,1,4,12,0.01974912,0.06828087,0.19856413,0.22164764,0.58033497,1.77285338
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-19 00:00:00.000000,0.25612439,0.45887623,0.78477788,16,29,50,1,4,13,0.02022020,0.06903884,0.21009459,0.21098113,0.57392769,1.85305270
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-20 00:00:00.000000,0.22059142,0.45220374,0.76270857,14,28,48,1,4,14,0.02067971,0.06968446,0.22581489,0.20497416,0.56025068,1.91064942
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-21 00:00:00.000000,0.18405329,0.43212733,0.75142079,11,27,47,1,4,13,0.02094613,0.06436135,0.21210127,0.20002349,0.55216761,1.94339808
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-22 00:00:00.000000,0.13897189,0.41011761,0.72953401,8,26,46,1,3,12,0.02120225,0.05949300,0.20098219,0.19584051,0.54433764,1.95202716
27107,0,USMinnesotaNorman,Minnesota,Norman,2020-09-29 05:41:29.321828,2020-04-23 00:00:00.000000,0.12576428,0.40646060,0.70592244,8,25,45,1,3,11,0.02146215,0.05475251,0.18555341,0.19232018,0.53255802,1.92604492
