FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-09 00:00:00.000000,0.00135840,0.01348429,0.02913113,0,7,17,0,2,7,0.00042312,0.00438247,0.01360733,0.49478752,0.62188514,0.90075197
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-10 00:00:00.000000,0.00139432,0.01056056,0.02419198,0,6,14,0,2,6,0.00049006,0.00411529,0.01136465,0.49478737,0.62188381,0.90074474
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-11 00:00:00.000000,0.00141377,0.00995227,0.02352007,0,5,13,0,2,6,0.00046612,0.00370423,0.01104139,0.49478693,0.62187556,0.90073042
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-12 00:00:00.000000,0.00138500,0.00920411,0.02275246,0,5,13,0,2,6,0.00045076,0.00350663,0.01073252,0.49478567,0.62182416,0.90070213
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-13 00:00:00.000000,0.00132458,0.00856108,0.02156704,0,5,12,0,1,6,0.00043487,0.00320375,0.01036881,0.49478198,0.61989198,0.89922101
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-14 00:00:00.000000,0.00124681,0.00767262,0.02114728,0,4,12,0,1,5,0.00042190,0.00302064,0.00957538,0.49477123,0.61411261,0.89513059
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-15 00:00:00.000000,0.00116123,0.00704107,0.02038158,0,4,11,0,1,5,0.00041330,0.00278909,0.00867067,0.49473991,0.60896823,0.88752040
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-16 00:00:00.000000,0.00298529,0.00949165,0.02160367,1,5,12,0,1,4,0.00040473,0.00261241,0.00821871,0.49464874,0.60879531,0.87418472
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-17 00:00:00.000000,0.00413420,0.01085343,0.02285208,2,6,13,0,2,5,0.00092999,0.00383097,0.01017632,0.48777998,0.60350750,0.85469366
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-18 00:00:00.000000,0.00502476,0.01294052,0.02704666,2,7,15,0,2,6,0.00126531,0.00407826,0.01099516,0.48581216,0.60623574,0.86535083
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-19 00:00:00.000000,0.00612108,0.01432037,0.03015195,3,8,17,0,2,7,0.00168413,0.00467834,0.01246229,0.48069505,0.59566814,0.87650951
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-20 00:00:00.000000,0.00746224,0.01588827,0.03334277,4,9,19,1,2,8,0.00206528,0.00507950,0.01480293,0.47102008,0.58894342,0.87845739
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-21 00:00:00.000000,0.00833033,0.01702481,0.03554493,4,10,20,1,3,9,0.00225757,0.00565419,0.01662056,0.46699445,0.57749352,0.87996312
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-22 00:00:00.000000,0.00868654,0.01793984,0.03854099,5,10,22,1,3,10,0.00238632,0.00616489,0.01832316,0.44529067,0.57185112,0.88054332
27111,0,USMinnesotaOtterTail,Minnesota,Otter Tail,2020-09-17 05:10:28.460314,2020-03-23 00:00:00.000000,0.00862144,0.01874721,0.03996643,5,11,23,1,3,11,0.00250868,0.00673288,0.01961248,0.43551508,0.56721594,0.88080906
