FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-09 00:00:00.000000,0.01249856,0.05123775,0.10550625,2,9,20,0,2,6,0.00319963,0.01487999,0.03598123,0.47988957,0.68545616,1.00727067
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-10 00:00:00.000000,0.01465210,0.05250833,0.11631544,2,10,22,0,2,7,0.00396426,0.01522590,0.03628970,0.47989373,0.68543024,1.00722570
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-11 00:00:00.000000,0.01831244,0.06016544,0.13246086,3,11,25,1,3,7,0.00581571,0.01582464,0.03632151,0.47990461,0.68538017,1.00712281
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-12 00:00:00.000000,0.02262899,0.06722316,0.15170609,4,12,29,1,3,6,0.00705575,0.01712803,0.03569194,0.47993062,0.68528356,1.00688209
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-13 00:00:00.000000,0.02706145,0.07336154,0.17546743,5,14,33,1,3,7,0.00758813,0.01793447,0.04035880,0.47999055,0.68509760,1.00631446
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-14 00:00:00.000000,0.03156146,0.07915632,0.20491442,6,15,39,1,3,8,0.00823380,0.02008336,0.04527398,0.48012599,0.68474157,1.00502005
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-15 00:00:00.000000,0.03610414,0.08473708,0.23395785,6,16,45,1,4,9,0.00895698,0.02149597,0.05044316,0.48042577,0.68406838,0.97498822
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-16 00:00:00.000000,0.04586984,0.09492685,0.24905728,8,18,48,1,4,11,0.00973854,0.02373997,0.05712155,0.48106225,0.68283334,0.97221478
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-17 00:00:00.000000,0.04908439,0.10493468,0.27244503,9,20,52,2,5,12,0.01125867,0.02625722,0.06466689,0.48229730,0.67940046,0.96707221
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-18 00:00:00.000000,0.05308167,0.11536031,0.30223004,10,22,58,2,5,14,0.01280559,0.02767370,0.07378261,0.48431792,0.67093889,0.95863126
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-19 00:00:00.000000,0.05617895,0.12222416,0.31996252,10,23,61,2,5,15,0.01421098,0.03030899,0.08154845,0.48687885,0.66957741,0.95308807
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-20 00:00:00.000000,0.05585570,0.12656955,0.34852147,10,24,67,3,6,17,0.01561878,0.03203617,0.09093609,0.48169827,0.67054492,0.94175804
28025,0,USMississippiClay,Mississippi,Clay,2020-08-09 17:20:19.083384,2020-03-21 00:00:00.000000,0.05566038,0.13575489,0.37631329,10,26,72,3,6,19,0.01696456,0.03408284,0.10264893,0.47924527,0.66041429,0.93469528
