FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-09 00:00:00.000000,0.00512745,0.01327058,0.03598541,3,8,22,0,2,10,0.00069733,0.00439306,0.01643877,0.57642755,0.79346188,1.10334509
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-10 00:00:00.000000,0.00619486,0.01455855,0.04087272,3,9,25,0,2,9,0.00126151,0.00448888,0.01440598,0.57642873,0.79351358,1.10334458
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-11 00:00:00.000000,0.00841951,0.01754744,0.04597911,5,11,29,1,2,8,0.00158564,0.00449379,0.01389795,0.57643147,0.79362459,1.10334354
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-12 00:00:00.000000,0.01050621,0.02018132,0.05143521,6,12,32,1,3,9,0.00202686,0.00534738,0.01494678,0.57643803,0.79386335,1.10334140
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-13 00:00:00.000000,0.01276035,0.02359146,0.05869076,8,14,37,1,3,10,0.00244523,0.00611706,0.01729520,0.57645428,0.79437677,1.10333695
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-14 00:00:00.000000,0.01523169,0.02646963,0.06656628,9,16,42,1,4,11,0.00295891,0.00705346,0.01842794,0.57649595,0.79547524,1.10332744
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-15 00:00:00.000000,0.01776566,0.03027993,0.07512322,11,19,47,2,5,13,0.00348237,0.00801084,0.02119311,0.57660657,0.79778764,1.10330546
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-16 00:00:00.000000,0.02007999,0.03371453,0.08434972,12,21,53,2,5,15,0.00422799,0.00902343,0.02417371,0.57690905,0.80247092,1.10324525
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-17 00:00:00.000000,0.02257122,0.03807315,0.09441488,14,24,59,2,6,16,0.00465125,0.01017675,0.02650439,0.57775321,0.80766735,1.10303032
28073,0,USMississippiLamar,Mississippi,Lamar,2020-07-31 02:35:54.760189,2020-03-18 00:00:00.000000,0.02523385,0.04218139,0.10539853,15,26,66,3,7,18,0.00578299,0.01149566,0.02881873,0.58010959,0.80099199,1.10204350
