FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-09 00:00:00.000000,0.00720897,0.01510403,0.04789114,2,4,13,0,1,5,0.00112118,0.00504936,0.02027273,0.45551012,0.61875961,0.83452591
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-10 00:00:00.000000,0.00869871,0.01859286,0.05132037,2,5,14,0,2,6,0.00271120,0.00861551,0.02333500,0.45550982,0.61873226,0.83434333
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-11 00:00:00.000000,0.01150461,0.02384108,0.07110198,3,6,20,1,3,8,0.00461450,0.01144617,0.03117652,0.45550934,0.61863280,0.83397838
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-12 00:00:00.000000,0.01423050,0.02956299,0.08240271,4,8,23,1,4,13,0.00684423,0.01494773,0.04921125,0.45550846,0.61827254,0.83322552
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-13 00:00:00.000000,0.01729087,0.03638374,0.09412680,4,10,26,2,5,16,0.00840320,0.01884598,0.05794089,0.45550595,0.61682842,0.83164195
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-14 00:00:00.000000,0.02062791,0.04315487,0.10645483,5,12,30,2,6,18,0.01002598,0.02209716,0.06606018,0.45549406,0.61530292,0.82829051
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-15 00:00:00.000000,0.02427012,0.04967735,0.11987225,6,14,33,3,7,21,0.01169882,0.02668662,0.07458087,0.45542101,0.61440837,0.82108599
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-16 00:00:00.000000,0.02876751,0.05936160,0.13591887,8,16,38,3,8,23,0.01341646,0.03114145,0.08340041,0.45494136,0.60827345,0.81356403
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-17 00:00:00.000000,0.03288926,0.07137710,0.15188003,9,20,42,4,10,24,0.01525472,0.03659808,0.08858278,0.45178900,0.60524821,0.81260086
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-18 00:00:00.000000,0.03935471,0.08402538,0.15889423,11,23,44,4,12,28,0.01715938,0.04341647,0.09975421,0.44545578,0.60054881,0.81121948
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-19 00:00:00.000000,0.04469800,0.09608833,0.17621708,12,27,49,5,14,31,0.01911734,0.05056152,0.11062706,0.43427058,0.59705428,0.79436503
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-20 00:00:00.000000,0.04903871,0.10982746,0.20065620,13,30,56,5,15,32,0.02110985,0.05573241,0.11640351,0.42716412,0.58239982,0.76330332
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-21 00:00:00.000000,0.05192546,0.11969060,0.22763320,14,33,64,6,17,38,0.02460241,0.06382815,0.13670635,0.41622067,0.56482223,0.75778394
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-22 00:00:00.000000,0.05708915,0.13147252,0.25771738,16,37,72,7,20,42,0.02685983,0.07196547,0.14967487,0.40315079,0.54568722,0.74203389
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-23 00:00:00.000000,0.06492489,0.14728998,0.29353901,18,41,82,8,22,45,0.02856203,0.07898002,0.16150077,0.38350442,0.53525717,0.76983103
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-24 00:00:00.000000,0.07234310,0.16364958,0.33298398,20,46,93,9,24,49,0.03282815,0.08700451,0.17683448,0.37155305,0.52232760,0.78036705
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-25 00:00:00.000000,0.08068237,0.17752866,0.37662256,22,50,106,10,26,56,0.03663920,0.09339503,0.19953414,0.35402778,0.51516494,0.78038574
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-26 00:00:00.000000,0.08813176,0.19818716,0.42491693,24,55,119,11,29,63,0.04016267,0.10527043,0.22396236,0.34833596,0.50700950,0.78012180
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-27 00:00:00.000000,0.09489538,0.21200458,0.47832591,26,59,134,13,33,70,0.04660013,0.11857329,0.25016608,0.34891280,0.49837194,0.77936905
28083,0,USMississippiLeflore,Mississippi,Leflore,2020-09-29 05:54:25.822217,2020-03-28 00:00:00.000000,0.10054233,0.22318218,0.53536982,28,62,150,15,36,78,0.05373729,0.13042394,0.27821686,0.35325518,0.49726905,0.77904320
