FIPS,HR_UID,nameid,province,region,analysisTime,dates,pointprevalence_025,pointprevalence_50,pointprevalence_975,pointinfections_025,pointinfections_50,pointinfections_975,pointinfectious_025,pointinfectious_50,pointinfectious_975,pointinfectiousprevalence_05,pointinfectiousprevalence_50,pointinfectiousprevalence_95,infectrate_025,infectrate_50,infectrate_975
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-09 00:00:00.000000,0.00416911,0.03246757,0.06756505,1,7,16,0,2,8,0.00161796,0.01136904,0.03421877,0.46824468,0.67486415,0.94190612
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-10 00:00:00.000000,0.00390604,0.02974340,0.06975824,0,7,17,0,2,8,0.00172390,0.01102125,0.03494678,0.46824514,0.67476402,0.94187302
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-11 00:00:00.000000,0.00454851,0.03021306,0.07828650,1,7,19,0,2,8,0.00181893,0.01128482,0.03624146,0.46824571,0.67454856,0.94181097
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-12 00:00:00.000000,0.00504827,0.03122872,0.08221149,1,7,20,0,2,9,0.00192576,0.01176539,0.03799531,0.46824627,0.67411005,0.94169472
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-13 00:00:00.000000,0.00548694,0.03245710,0.08432097,1,7,20,0,2,9,0.00204353,0.01205893,0.04021922,0.46824640,0.67322506,0.94147717
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-14 00:00:00.000000,0.00588874,0.03411134,0.08649802,1,8,21,0,2,10,0.00216202,0.01211694,0.04154871,0.46824489,0.66972871,0.94107091
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-15 00:00:00.000000,0.00627186,0.03557701,0.08874814,1,8,21,0,3,10,0.00228309,0.01272128,0.04257500,0.46823842,0.66520379,0.94031547
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-16 00:00:00.000000,0.01218964,0.04413275,0.09652617,2,10,23,0,3,10,0.00241107,0.01308034,0.04365718,0.46821813,0.65963610,0.93892333
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-17 00:00:00.000000,0.01522825,0.05131312,0.10513714,3,12,25,1,4,11,0.00434559,0.01682099,0.04682006,0.46816083,0.65926876,0.93640887
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-18 00:00:00.000000,0.02013122,0.06075417,0.11946163,4,14,29,1,4,13,0.00546376,0.02025126,0.05343311,0.46800689,0.65312800,0.94091313
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-19 00:00:00.000000,0.02456220,0.07122792,0.13547894,6,17,33,1,6,15,0.00676592,0.02481107,0.06382345,0.46760817,0.65846452,0.95159634
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-20 00:00:00.000000,0.02879696,0.07955537,0.15259513,7,19,37,2,7,18,0.00817819,0.02904006,0.07341037,0.46653717,0.65169774,0.97346205
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-21 00:00:00.000000,0.03295415,0.08886897,0.17086987,8,21,41,2,8,20,0.00964699,0.03326542,0.08254364,0.46351511,0.64278249,0.97483983
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-22 00:00:00.000000,0.03711578,0.09973654,0.19038081,9,24,46,2,9,22,0.01104641,0.03711096,0.09123924,0.45625553,0.63612356,0.97520438
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-23 00:00:00.000000,0.04460869,0.11381327,0.21857605,10,27,53,2,10,24,0.01190473,0.04128600,0.09968262,0.44673799,0.62523679,0.97529141
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-24 00:00:00.000000,0.04923507,0.12415952,0.25726243,12,30,63,3,11,26,0.01508479,0.04657411,0.10781421,0.43556231,0.61542883,0.97529904
28091,0,USMississippiMarion,Mississippi,Marion,2020-08-31 17:52:59.588819,2020-03-25 00:00:00.000000,0.06020873,0.13353729,0.29994779,14,32,73,4,12,30,0.01853668,0.05216581,0.12593461,0.42094533,0.60606684,0.97527137
